spec,proposal_size,verifier_size,verifier,seed,train_loss,validation_loss,train_accuracy,validation_accuracy,optimizer_steps,committed_programs,committed_primitives,proposal_evaluations,proposal_sample_evaluations,compound_evaluations,compound_sample_evaluations,schedule_pair_events,full_train_utility_sum,full_train_positive_commits,harmful_commits,mean_harmful_magnitude,p90_harmful_magnitude,p95_harmful_magnitude,p99_harmful_magnitude,max_harmful_magnitude,regret_audits,full_reference_candidate_evaluations,mean_sampled_reference_regret,cumulative_sampled_reference_regret,p90_sampled_reference_regret,p95_sampled_reference_regret,p99_sampled_reference_regret,max_sampled_reference_regret,pairs_seen,pairs_possible,elapsed_seconds
p16_v16_margin_weighted,16,16,class_bayes_margin_weighted,1111222233334444,0.401119083,0.524071634,0.854167,0.812500,4800,4800,9564,4132800,66124800,1176000,18816000,292800,0.707644730806,3028,1771,0.000761683027,0.001750528812,0.002471864223,0.003917753696,0.005586326122,96,287616,0.001473816733,0.141486406326,0.003387898207,0.003804743290,0.005175054073,0.005175054073,7503,7503,7.312758
p16_v48_random,16,48,random,2b7e151628aed2a6,0.427395910,0.459001690,0.854167,0.833333,4800,4800,9580,4132800,66124800,1176000,56448000,292800,0.681367903948,2947,1852,0.000792503582,0.001826763153,0.002579569817,0.004185736179,0.006064027548,96,287616,0.001237637674,0.118813216686,0.002574056387,0.003173410892,0.007465898991,0.007465898991,7503,7503,9.547916
p16_v48_random,16,48,random,77a19d3c4e280b51,0.366866469,0.461264849,0.895833,0.875000,4800,4800,9574,4132800,66124800,1176000,56448000,292800,0.741897344589,2991,1809,0.000685913959,0.001592576504,0.002110838890,0.003227412701,0.009482234716,96,287616,0.001406318508,0.135006576777,0.003190696239,0.003751277924,0.007617801428,0.007617801428,7503,7503,10.173409
p16_v48_random,16,48,random,1111222233334444,0.366324812,0.432410359,0.875000,0.854167,4800,4800,9570,4132800,66124800,1176000,56448000,292800,0.742439001799,2941,1858,0.000704393513,0.001640707254,0.002286076546,0.003192335367,0.004874736071,96,287616,0.000996444995,0.095658719540,0.002208918333,0.002757281065,0.003740429878,0.003740429878,7503,7503,9.868196
p16_v48_class_weighted,16,48,class_weighted,2b7e151628aed2a6,0.393660307,0.438593417,0.895833,0.833333,4800,4800,9576,4132800,66124800,1176000,56448000,292800,0.715103507042,2983,1816,0.000931189498,0.002264082432,0.003021150827,0.004283577204,0.007913351059,96,287616,0.001709708323,0.164131999016,0.003509461880,0.005600899458,0.007204473019,0.007204473019,7503,7503,9.551652
p16_v48_class_weighted,16,48,class_weighted,77a19d3c4e280b51,0.389589906,0.385998815,0.843750,0.854167,4800,4800,9574,4132800,66124800,1176000,56448000,292800,0.719173908234,2989,1811,0.000838334343,0.001908183098,0.002411007881,0.003358602524,0.006180047989,96,287616,0.001294377570,0.124260246754,0.002731591463,0.003759324551,0.005047142506,0.005047142506,7503,7503,9.522539
p16_v48_class_weighted,16,48,class_weighted,1111222233334444,0.378005862,0.387731165,0.843750,0.833333,4800,4800,9571,4132800,66124800,1176000,56448000,292800,0.730757951736,2984,1816,0.000895731857,0.002170443535,0.002888202667,0.004151761532,0.007465064526,96,287616,0.001542315818,0.148062318563,0.003504753113,0.005294680595,0.006770312786,0.006770312786,7503,7503,9.648141
p16_v48_cell_weighted,16,48,cell_population_weighted,2b7e151628aed2a6,0.349332690,0.356051177,0.864583,0.875000,4800,4800,9572,4132800,66124800,1176000,56448000,292800,0.759431123734,3079,1721,0.000812317901,0.001843929291,0.002397209406,0.003481954336,0.007500082254,96,287616,0.001230838088,0.118160456419,0.002720355988,0.003251343966,0.003679424524,0.003679424524,7503,7503,9.405670
p16_v48_cell_weighted,16,48,cell_population_weighted,77a19d3c4e280b51,0.304315507,0.343984753,0.906250,0.854167,4800,4800,9575,4132800,66124800,1176000,56448000,292800,0.804448306561,3068,1732,0.000898061187,0.002134412527,0.002805024385,0.004421472549,0.007324278355,96,287616,0.001319789638,0.126699805260,0.002885013819,0.003245592117,0.007247209549,0.007247209549,7503,7503,9.492301
p16_v48_cell_weighted,16,48,cell_population_weighted,1111222233334444,0.240859732,0.380810291,0.947917,0.854167,4800,4800,9572,4132800,66124800,1176000,56448000,292800,0.867904081941,3174,1626,0.000742660228,0.001780331135,0.002334237099,0.003764629364,0.005389809608,96,287616,0.001122587671,0.107768416405,0.002365946770,0.003010064363,0.003817766905,0.003817766905,7503,7503,9.422947
p16_v48_margin_weighted,16,48,class_bayes_margin_weighted,2b7e151628aed2a6,0.356631726,0.452785492,0.906250,0.854167,4800,4800,9569,4132800,66124800,1176000,56448000,292800,0.752132087946,3030,1769,0.000907674912,0.002138614655,0.002724319696,0.003876447678,0.007357835770,96,287616,0.001367183713,0.131249636412,0.003243595362,0.004026830196,0.006478011608,0.006478011608,7503,7503,9.568767
p16_v48_margin_weighted,16,48,class_bayes_margin_weighted,77a19d3c4e280b51,0.252962172,0.400383115,0.927083,0.895833,4800,4800,9563,4132800,66124800,1176000,56448000,292800,0.855801641941,3156,1644,0.000651837592,0.001486539841,0.001945257187,0.003231406212,0.005179047585,96,287616,0.000997219545,0.095733076334,0.001748800278,0.002927184105,0.005548208952,0.005548208952,7503,7503,9.459835
p16_v48_margin_weighted,16,48,class_bayes_margin_weighted,1111222233334444,0.346388221,0.399591058,0.885417,0.895833,4800,4800,9571,4132800,66124800,1176000,56448000,292800,0.762375593185,3003,1796,0.000817833439,0.001887142658,0.002469182014,0.003841847181,0.006322592497,96,287616,0.001335779205,0.128234803677,0.002935528755,0.004146784544,0.006153225899,0.006153225899,7503,7503,9.711197
p16_v96_full,16,96,full_training,2b7e151628aed2a6,0.056787547,0.177857697,1.000000,0.895833,4800,4777,9514,4132800,66124800,1176000,112896000,292800,1.051976267248,4777,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,96,287616,0.000075090250,0.007208663970,0.000226065516,0.000255003572,0.000343024731,0.000343024731,7503,7503,12.074933
p16_v96_full,16,96,full_training,77a19d3c4e280b51,0.101697437,0.285397440,0.979167,0.895833,4800,4771,9506,4132800,66124800,1176000,112896000,292800,1.007066376507,4771,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,96,287616,0.000072597914,0.006969399750,0.000198602676,0.000331997871,0.000615417957,0.000615417957,7503,7503,12.315496
p16_v96_full,16,96,full_training,1111222233334444,0.048564453,0.275860786,1.000000,0.937500,4800,4791,9549,4132800,66124800,1176000,112896000,292800,1.060199361295,4791,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,96,287616,0.000074074836,0.007111184299,0.000213995576,0.000246882439,0.000497505069,0.000497505069,7503,7503,12.100469
p96_v16_random,96,16,random,2b7e151628aed2a6,0.146437392,0.340661675,0.947917,0.916667,4800,4800,9584,4132800,396748800,1176000,18816000,292800,0.962326422334,4376,424,0.000046770493,0.000113517046,0.000152647495,0.000220865011,0.000337600708,96,287616,0.000347391857,0.033349618316,0.000676333904,0.000751674175,0.001102030277,0.001102030277,7503,7503,27.470537
p96_v16_random,96,16,random,77a19d3c4e280b51,0.145257235,0.310177594,0.958333,0.937500,4800,4800,9584,4132800,396748800,1176000,18816000,292800,0.963506579399,4417,382,0.000058174679,0.000138223171,0.000165760517,0.000284150243,0.000393405557,96,287616,0.000375924322,0.036088734865,0.000672519207,0.000829935074,0.001048088074,0.001048088074,7503,7503,27.935654
p96_v16_random,96,16,random,1111222233334444,0.125212148,0.198242590,0.968750,0.937500,4800,4800,9569,4132800,396748800,1176000,18816000,292800,0.983551666141,4652,148,0.000030508215,0.000074267387,0.000088766217,0.000167310238,0.000190675259,96,287616,0.000367334268,0.035264089704,0.000654041767,0.000821769238,0.000961422920,0.000961422920,7503,7503,27.811696
p96_v96_full,96,96,full_training,2b7e151628aed2a6,0.062250849,0.344531924,1.000000,0.916667,4800,4800,9595,4132800,396748800,1176000,112896000,292800,1.046512965113,4800,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,96,287616,0.000003842947,0.000368922949,0.000014066696,0.000026687980,0.000062584877,0.000062584877,7503,7503,31.388064
p96_v96_full,96,96,full_training,77a19d3c4e280b51,0.062250849,0.344531924,1.000000,0.916667,4800,4800,9595,4132800,396748800,1176000,112896000,292800,1.046512965113,4800,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,96,287616,0.000003842947,0.000368922949,0.000014066696,0.000026687980,0.000062584877,0.000062584877,7503,7503,30.963516
p96_v96_full,96,96,full_training,1111222233334444,0.062250849,0.344531924,1.000000,0.916667,4800,4800,9595,4132800,396748800,1176000,112896000,292800,1.046512965113,4800,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,96,287616,0.000003842947,0.000368922949,0.000014066696,0.000026687980,0.000062584877,0.000062584877,7503,7503,30.856684
