mode,width,seed,first,second,joint_evaluations
equal-steps,1,2b7e151628aed2a6,7,9,0
equal-steps,1,2b7e151628aed2a6,7,10,0
equal-steps,1,2b7e151628aed2a6,7,11,0
equal-steps,1,2b7e151628aed2a6,7,12,0
equal-steps,1,2b7e151628aed2a6,7,13,0
equal-steps,1,2b7e151628aed2a6,7,14,0
equal-steps,1,2b7e151628aed2a6,7,15,0
equal-steps,1,2b7e151628aed2a6,7,16,0
equal-steps,1,2b7e151628aed2a6,8,9,0
equal-steps,1,2b7e151628aed2a6,8,10,0
equal-steps,1,2b7e151628aed2a6,8,11,0
equal-steps,1,2b7e151628aed2a6,8,12,0
equal-steps,1,2b7e151628aed2a6,8,13,0
equal-steps,1,2b7e151628aed2a6,8,14,0
equal-steps,1,2b7e151628aed2a6,8,15,0
equal-steps,1,2b7e151628aed2a6,8,16,0
equal-steps,1,2b7e151628aed2a6,9,10,0
equal-steps,1,2b7e151628aed2a6,9,11,0
equal-steps,1,2b7e151628aed2a6,9,12,0
equal-steps,1,2b7e151628aed2a6,9,13,0
equal-steps,1,2b7e151628aed2a6,9,14,0
equal-steps,1,2b7e151628aed2a6,9,15,0
equal-steps,1,2b7e151628aed2a6,9,16,0
equal-steps,1,2b7e151628aed2a6,10,11,0
equal-steps,1,2b7e151628aed2a6,10,12,0
equal-steps,1,2b7e151628aed2a6,10,13,0
equal-steps,1,2b7e151628aed2a6,10,14,0
equal-steps,1,2b7e151628aed2a6,10,15,0
equal-steps,1,2b7e151628aed2a6,10,16,0
equal-steps,1,2b7e151628aed2a6,11,12,0
equal-steps,1,2b7e151628aed2a6,11,13,0
equal-steps,1,2b7e151628aed2a6,11,14,0
equal-steps,1,2b7e151628aed2a6,11,15,0
equal-steps,1,2b7e151628aed2a6,11,16,0
equal-steps,1,2b7e151628aed2a6,12,13,0
equal-steps,1,2b7e151628aed2a6,12,14,0
equal-steps,1,2b7e151628aed2a6,12,15,0
equal-steps,1,2b7e151628aed2a6,12,16,0
equal-steps,1,2b7e151628aed2a6,13,14,0
equal-steps,1,2b7e151628aed2a6,13,15,0
equal-steps,1,2b7e151628aed2a6,13,16,0
equal-steps,1,2b7e151628aed2a6,14,15,0
equal-steps,1,2b7e151628aed2a6,14,16,0
equal-steps,1,2b7e151628aed2a6,15,16,0
equal-steps,1,77a19d3c4e280b51,0,1,0
equal-steps,1,77a19d3c4e280b51,0,2,0
equal-steps,1,77a19d3c4e280b51,0,3,0
equal-steps,1,77a19d3c4e280b51,0,4,0
equal-steps,1,77a19d3c4e280b51,0,5,0
equal-steps,1,77a19d3c4e280b51,0,6,0
equal-steps,1,77a19d3c4e280b51,0,7,0
equal-steps,1,77a19d3c4e280b51,0,8,0
equal-steps,1,77a19d3c4e280b51,0,9,0
equal-steps,1,77a19d3c4e280b51,0,10,0
equal-steps,1,77a19d3c4e280b51,0,11,0
equal-steps,1,77a19d3c4e280b51,0,12,0
equal-steps,1,77a19d3c4e280b51,0,13,0
equal-steps,1,77a19d3c4e280b51,0,14,0
equal-steps,1,77a19d3c4e280b51,0,15,0
equal-steps,1,77a19d3c4e280b51,0,16,0
equal-steps,1,77a19d3c4e280b51,1,2,0
equal-steps,1,77a19d3c4e280b51,1,3,0
equal-steps,1,77a19d3c4e280b51,1,4,0
equal-steps,1,77a19d3c4e280b51,1,5,0
equal-steps,1,77a19d3c4e280b51,1,6,0
equal-steps,1,77a19d3c4e280b51,1,7,0
equal-steps,1,77a19d3c4e280b51,1,8,0
equal-steps,1,77a19d3c4e280b51,1,9,0
equal-steps,1,77a19d3c4e280b51,1,10,0
equal-steps,1,77a19d3c4e280b51,1,11,0
equal-steps,1,77a19d3c4e280b51,1,12,0
equal-steps,1,77a19d3c4e280b51,1,13,0
equal-steps,1,77a19d3c4e280b51,1,14,0
equal-steps,1,77a19d3c4e280b51,1,15,0
equal-steps,1,77a19d3c4e280b51,1,16,0
equal-steps,1,77a19d3c4e280b51,2,3,0
equal-steps,1,77a19d3c4e280b51,2,4,0
equal-steps,1,77a19d3c4e280b51,2,5,0
equal-steps,1,77a19d3c4e280b51,2,6,0
equal-steps,1,77a19d3c4e280b51,2,7,0
equal-steps,1,77a19d3c4e280b51,2,8,0
equal-steps,1,77a19d3c4e280b51,2,9,0
equal-steps,1,77a19d3c4e280b51,2,10,0
equal-steps,1,77a19d3c4e280b51,2,11,0
equal-steps,1,77a19d3c4e280b51,2,12,0
equal-steps,1,77a19d3c4e280b51,2,13,0
equal-steps,1,77a19d3c4e280b51,2,14,0
equal-steps,1,77a19d3c4e280b51,2,15,0
equal-steps,1,77a19d3c4e280b51,2,16,0
equal-steps,1,77a19d3c4e280b51,3,4,0
equal-steps,1,77a19d3c4e280b51,3,5,0
equal-steps,1,77a19d3c4e280b51,3,6,0
equal-steps,1,77a19d3c4e280b51,3,7,0
equal-steps,1,77a19d3c4e280b51,3,8,0
equal-steps,1,77a19d3c4e280b51,3,9,0
equal-steps,1,77a19d3c4e280b51,3,10,0
equal-steps,1,77a19d3c4e280b51,3,11,0
equal-steps,1,77a19d3c4e280b51,3,12,0
equal-steps,1,77a19d3c4e280b51,3,13,0
equal-steps,1,77a19d3c4e280b51,3,14,0
equal-steps,1,77a19d3c4e280b51,3,15,0
equal-steps,1,77a19d3c4e280b51,3,16,0
equal-steps,1,77a19d3c4e280b51,4,5,0
equal-steps,1,77a19d3c4e280b51,4,6,0
equal-steps,1,77a19d3c4e280b51,4,7,0
equal-steps,1,77a19d3c4e280b51,4,8,0
equal-steps,1,77a19d3c4e280b51,4,9,0
equal-steps,1,77a19d3c4e280b51,4,10,0
equal-steps,1,77a19d3c4e280b51,4,11,0
equal-steps,1,77a19d3c4e280b51,4,12,0
equal-steps,1,77a19d3c4e280b51,4,13,0
equal-steps,1,77a19d3c4e280b51,4,14,0
equal-steps,1,77a19d3c4e280b51,4,15,0
equal-steps,1,77a19d3c4e280b51,4,16,0
equal-steps,1,77a19d3c4e280b51,5,6,0
equal-steps,1,77a19d3c4e280b51,5,7,0
equal-steps,1,77a19d3c4e280b51,5,8,0
equal-steps,1,77a19d3c4e280b51,5,9,0
equal-steps,1,77a19d3c4e280b51,5,10,0
equal-steps,1,77a19d3c4e280b51,5,11,0
equal-steps,1,77a19d3c4e280b51,5,12,0
equal-steps,1,77a19d3c4e280b51,5,13,0
equal-steps,1,77a19d3c4e280b51,5,14,0
equal-steps,1,77a19d3c4e280b51,5,15,0
equal-steps,1,77a19d3c4e280b51,5,16,0
equal-steps,1,77a19d3c4e280b51,6,7,0
equal-steps,1,77a19d3c4e280b51,6,8,0
equal-steps,1,77a19d3c4e280b51,6,9,0
equal-steps,1,77a19d3c4e280b51,6,10,0
equal-steps,1,77a19d3c4e280b51,6,11,0
equal-steps,1,77a19d3c4e280b51,6,12,0
equal-steps,1,77a19d3c4e280b51,6,13,0
equal-steps,1,77a19d3c4e280b51,6,14,0
equal-steps,1,77a19d3c4e280b51,6,15,0
equal-steps,1,77a19d3c4e280b51,6,16,0
equal-steps,1,77a19d3c4e280b51,7,8,0
equal-steps,1,77a19d3c4e280b51,7,9,0
equal-steps,1,77a19d3c4e280b51,7,10,0
equal-steps,1,77a19d3c4e280b51,7,11,0
equal-steps,1,77a19d3c4e280b51,7,12,0
equal-steps,1,77a19d3c4e280b51,7,13,0
equal-steps,1,77a19d3c4e280b51,7,14,0
equal-steps,1,77a19d3c4e280b51,7,15,0
equal-steps,1,77a19d3c4e280b51,7,16,0
equal-steps,1,77a19d3c4e280b51,8,9,0
equal-steps,1,77a19d3c4e280b51,8,10,0
equal-steps,1,77a19d3c4e280b51,8,11,0
equal-steps,1,77a19d3c4e280b51,8,12,0
equal-steps,1,77a19d3c4e280b51,8,13,0
equal-steps,1,77a19d3c4e280b51,8,14,0
equal-steps,1,77a19d3c4e280b51,8,15,0
equal-steps,1,77a19d3c4e280b51,8,16,0
equal-steps,1,77a19d3c4e280b51,9,10,0
equal-steps,1,77a19d3c4e280b51,9,11,0
equal-steps,1,77a19d3c4e280b51,9,12,0
equal-steps,1,77a19d3c4e280b51,9,13,0
equal-steps,1,77a19d3c4e280b51,9,14,0
equal-steps,1,77a19d3c4e280b51,9,15,0
equal-steps,1,77a19d3c4e280b51,9,16,0
equal-steps,1,77a19d3c4e280b51,10,11,0
equal-steps,1,77a19d3c4e280b51,10,12,0
equal-steps,1,77a19d3c4e280b51,10,13,0
equal-steps,1,77a19d3c4e280b51,10,14,0
equal-steps,1,77a19d3c4e280b51,10,15,0
equal-steps,1,77a19d3c4e280b51,10,16,0
equal-steps,1,77a19d3c4e280b51,11,12,0
equal-steps,1,77a19d3c4e280b51,11,13,0
equal-steps,1,77a19d3c4e280b51,11,14,0
equal-steps,1,77a19d3c4e280b51,11,15,0
equal-steps,1,77a19d3c4e280b51,11,16,0
equal-steps,1,77a19d3c4e280b51,12,13,0
equal-steps,1,77a19d3c4e280b51,12,14,0
equal-steps,1,77a19d3c4e280b51,12,15,0
equal-steps,1,77a19d3c4e280b51,12,16,0
equal-steps,1,77a19d3c4e280b51,13,14,0
equal-steps,1,77a19d3c4e280b51,13,15,0
equal-steps,1,77a19d3c4e280b51,13,16,0
equal-steps,1,77a19d3c4e280b51,14,15,0
equal-steps,1,77a19d3c4e280b51,14,16,0
equal-steps,1,77a19d3c4e280b51,15,16,0
equal-steps,1,1111222233334444,0,1,0
equal-steps,1,1111222233334444,0,2,0
equal-steps,1,1111222233334444,0,3,0
equal-steps,1,1111222233334444,0,4,0
equal-steps,1,1111222233334444,0,5,0
equal-steps,1,1111222233334444,0,6,0
equal-steps,1,1111222233334444,0,7,0
equal-steps,1,1111222233334444,0,8,0
equal-steps,1,1111222233334444,0,9,0
equal-steps,1,1111222233334444,0,10,0
equal-steps,1,1111222233334444,0,11,0
equal-steps,1,1111222233334444,0,12,0
equal-steps,1,1111222233334444,0,13,0
equal-steps,1,1111222233334444,0,14,0
equal-steps,1,1111222233334444,0,15,0
equal-steps,1,1111222233334444,0,16,0
equal-steps,1,1111222233334444,1,2,0
equal-steps,1,1111222233334444,1,3,0
equal-steps,1,1111222233334444,1,4,0
equal-steps,1,1111222233334444,1,5,0
equal-steps,1,1111222233334444,1,6,0
equal-steps,1,1111222233334444,1,7,0
equal-steps,1,1111222233334444,1,8,0
equal-steps,1,1111222233334444,1,9,0
equal-steps,1,1111222233334444,1,10,0
equal-steps,1,1111222233334444,1,11,0
equal-steps,1,1111222233334444,1,12,0
equal-steps,1,1111222233334444,1,13,0
equal-steps,1,1111222233334444,1,14,0
equal-steps,1,1111222233334444,1,15,0
equal-steps,1,1111222233334444,1,16,0
equal-steps,1,1111222233334444,2,3,0
equal-steps,1,1111222233334444,2,4,0
equal-steps,1,1111222233334444,2,5,0
equal-steps,1,1111222233334444,2,6,0
equal-steps,1,1111222233334444,2,7,0
equal-steps,1,1111222233334444,2,8,0
equal-steps,1,1111222233334444,2,9,0
equal-steps,1,1111222233334444,2,10,0
equal-steps,1,1111222233334444,2,11,0
equal-steps,1,1111222233334444,2,12,0
equal-steps,1,1111222233334444,2,13,0
equal-steps,1,1111222233334444,2,14,0
equal-steps,1,1111222233334444,2,15,0
equal-steps,1,1111222233334444,2,16,0
equal-steps,1,1111222233334444,3,4,0
equal-steps,1,1111222233334444,3,5,0
equal-steps,1,1111222233334444,3,6,0
equal-steps,1,1111222233334444,3,7,0
equal-steps,1,1111222233334444,3,8,0
equal-steps,1,1111222233334444,3,9,0
equal-steps,1,1111222233334444,3,10,0
equal-steps,1,1111222233334444,3,11,0
equal-steps,1,1111222233334444,3,12,0
equal-steps,1,1111222233334444,3,13,0
equal-steps,1,1111222233334444,3,14,0
equal-steps,1,1111222233334444,3,15,0
equal-steps,1,1111222233334444,3,16,0
equal-steps,1,1111222233334444,4,5,0
equal-steps,1,1111222233334444,4,6,0
equal-steps,1,1111222233334444,4,7,0
equal-steps,1,1111222233334444,4,8,0
equal-steps,1,1111222233334444,4,9,0
equal-steps,1,1111222233334444,4,10,0
equal-steps,1,1111222233334444,4,11,0
equal-steps,1,1111222233334444,4,12,0
equal-steps,1,1111222233334444,4,13,0
equal-steps,1,1111222233334444,4,14,0
equal-steps,1,1111222233334444,4,15,0
equal-steps,1,1111222233334444,4,16,0
equal-steps,1,1111222233334444,5,6,0
equal-steps,1,1111222233334444,5,7,0
equal-steps,1,1111222233334444,5,8,0
equal-steps,1,1111222233334444,5,9,0
equal-steps,1,1111222233334444,5,10,0
equal-steps,1,1111222233334444,5,11,0
equal-steps,1,1111222233334444,5,12,0
equal-steps,1,1111222233334444,5,13,0
equal-steps,1,1111222233334444,5,14,0
equal-steps,1,1111222233334444,5,15,0
equal-steps,1,1111222233334444,5,16,0
equal-steps,1,1111222233334444,6,7,0
equal-steps,1,1111222233334444,6,8,0
equal-steps,1,1111222233334444,6,9,0
equal-steps,1,1111222233334444,6,10,0
equal-steps,1,1111222233334444,6,11,0
equal-steps,1,1111222233334444,6,12,0
equal-steps,1,1111222233334444,6,13,0
equal-steps,1,1111222233334444,6,14,0
equal-steps,1,1111222233334444,6,15,0
equal-steps,1,1111222233334444,6,16,0
equal-steps,1,1111222233334444,7,8,0
equal-steps,1,1111222233334444,7,9,0
equal-steps,1,1111222233334444,7,10,0
equal-steps,1,1111222233334444,7,11,0
equal-steps,1,1111222233334444,7,12,0
equal-steps,1,1111222233334444,7,13,0
equal-steps,1,1111222233334444,7,14,0
equal-steps,1,1111222233334444,7,15,0
equal-steps,1,1111222233334444,7,16,0
equal-steps,1,1111222233334444,8,9,0
equal-steps,1,1111222233334444,8,10,0
equal-steps,1,1111222233334444,8,11,0
equal-steps,1,1111222233334444,8,12,0
equal-steps,1,1111222233334444,8,13,0
equal-steps,1,1111222233334444,8,14,0
equal-steps,1,1111222233334444,8,15,0
equal-steps,1,1111222233334444,8,16,0
equal-steps,1,1111222233334444,9,10,0
equal-steps,1,1111222233334444,9,11,0
equal-steps,1,1111222233334444,9,12,0
equal-steps,1,1111222233334444,9,13,0
equal-steps,1,1111222233334444,9,14,0
equal-steps,1,1111222233334444,9,15,0
equal-steps,1,1111222233334444,9,16,0
equal-steps,1,1111222233334444,10,11,0
equal-steps,1,1111222233334444,10,12,0
equal-steps,1,1111222233334444,10,13,0
equal-steps,1,1111222233334444,10,14,0
equal-steps,1,1111222233334444,10,15,0
equal-steps,1,1111222233334444,10,16,0
equal-steps,1,1111222233334444,11,12,0
equal-steps,1,1111222233334444,11,13,0
equal-steps,1,1111222233334444,11,14,0
equal-steps,1,1111222233334444,11,15,0
equal-steps,1,1111222233334444,11,16,0
equal-steps,1,1111222233334444,12,13,0
equal-steps,1,1111222233334444,12,14,0
equal-steps,1,1111222233334444,12,15,0
equal-steps,1,1111222233334444,12,16,0
equal-steps,1,1111222233334444,13,14,0
equal-steps,1,1111222233334444,13,15,0
equal-steps,1,1111222233334444,13,16,0
equal-steps,1,1111222233334444,14,15,0
equal-steps,1,1111222233334444,14,16,0
equal-steps,1,1111222233334444,15,16,0
equal-steps,2,2b7e151628aed2a6,0,1,185
equal-steps,2,2b7e151628aed2a6,0,2,371
equal-steps,2,2b7e151628aed2a6,0,3,371
equal-steps,2,2b7e151628aed2a6,0,4,556
equal-steps,2,2b7e151628aed2a6,0,5,185
equal-steps,2,2b7e151628aed2a6,0,6,185
equal-steps,2,2b7e151628aed2a6,0,7,185
equal-steps,2,2b7e151628aed2a6,0,8,186
equal-steps,2,2b7e151628aed2a6,0,9,186
equal-steps,2,2b7e151628aed2a6,0,10,185
equal-steps,2,2b7e151628aed2a6,0,11,371
equal-steps,2,2b7e151628aed2a6,0,12,185
equal-steps,2,2b7e151628aed2a6,0,13,185
equal-steps,2,2b7e151628aed2a6,0,14,185
equal-steps,2,2b7e151628aed2a6,0,15,186
equal-steps,2,2b7e151628aed2a6,0,16,185
equal-steps,2,2b7e151628aed2a6,1,2,370
equal-steps,2,2b7e151628aed2a6,1,3,186
equal-steps,2,2b7e151628aed2a6,1,4,185
equal-steps,2,2b7e151628aed2a6,1,5,186
equal-steps,2,2b7e151628aed2a6,1,6,185
equal-steps,2,2b7e151628aed2a6,1,7,186
equal-steps,2,2b7e151628aed2a6,1,8,185
equal-steps,2,2b7e151628aed2a6,1,9,371
equal-steps,2,2b7e151628aed2a6,1,10,185
equal-steps,2,2b7e151628aed2a6,1,11,185
equal-steps,2,2b7e151628aed2a6,1,12,185
equal-steps,2,2b7e151628aed2a6,1,13,186
equal-steps,2,2b7e151628aed2a6,1,14,371
equal-steps,2,2b7e151628aed2a6,1,15,371
equal-steps,2,2b7e151628aed2a6,1,16,185
equal-steps,2,2b7e151628aed2a6,2,3,185
equal-steps,2,2b7e151628aed2a6,2,4,185
equal-steps,2,2b7e151628aed2a6,2,5,186
equal-steps,2,2b7e151628aed2a6,2,6,371
equal-steps,2,2b7e151628aed2a6,2,7,186
equal-steps,2,2b7e151628aed2a6,2,8,371
equal-steps,2,2b7e151628aed2a6,2,9,185
equal-steps,2,2b7e151628aed2a6,2,10,186
equal-steps,2,2b7e151628aed2a6,2,11,185
equal-steps,2,2b7e151628aed2a6,2,12,185
equal-steps,2,2b7e151628aed2a6,2,13,185
equal-steps,2,2b7e151628aed2a6,2,14,555
equal-steps,2,2b7e151628aed2a6,2,15,186
equal-steps,2,2b7e151628aed2a6,2,16,185
equal-steps,2,2b7e151628aed2a6,3,4,185
equal-steps,2,2b7e151628aed2a6,3,5,185
equal-steps,2,2b7e151628aed2a6,3,6,185
equal-steps,2,2b7e151628aed2a6,3,7,370
equal-steps,2,2b7e151628aed2a6,3,8,370
equal-steps,2,2b7e151628aed2a6,3,9,186
equal-steps,2,2b7e151628aed2a6,3,10,185
equal-steps,2,2b7e151628aed2a6,3,11,186
equal-steps,2,2b7e151628aed2a6,3,12,186
equal-steps,2,2b7e151628aed2a6,3,13,371
equal-steps,2,2b7e151628aed2a6,3,14,370
equal-steps,2,2b7e151628aed2a6,3,15,185
equal-steps,2,2b7e151628aed2a6,3,16,371
equal-steps,2,2b7e151628aed2a6,4,5,186
equal-steps,2,2b7e151628aed2a6,4,6,186
equal-steps,2,2b7e151628aed2a6,4,7,556
equal-steps,2,2b7e151628aed2a6,4,8,370
equal-steps,2,2b7e151628aed2a6,4,9,186
equal-steps,2,2b7e151628aed2a6,4,10,185
equal-steps,2,2b7e151628aed2a6,4,11,185
equal-steps,2,2b7e151628aed2a6,4,12,186
equal-steps,2,2b7e151628aed2a6,4,13,185
equal-steps,2,2b7e151628aed2a6,4,14,371
equal-steps,2,2b7e151628aed2a6,4,15,370
equal-steps,2,2b7e151628aed2a6,4,16,185
equal-steps,2,2b7e151628aed2a6,5,6,186
equal-steps,2,2b7e151628aed2a6,5,7,185
equal-steps,2,2b7e151628aed2a6,5,8,555
equal-steps,2,2b7e151628aed2a6,5,9,370
equal-steps,2,2b7e151628aed2a6,5,10,185
equal-steps,2,2b7e151628aed2a6,5,11,185
equal-steps,2,2b7e151628aed2a6,5,12,370
equal-steps,2,2b7e151628aed2a6,5,13,371
equal-steps,2,2b7e151628aed2a6,5,14,186
equal-steps,2,2b7e151628aed2a6,5,15,185
equal-steps,2,2b7e151628aed2a6,5,16,371
equal-steps,2,2b7e151628aed2a6,6,7,185
equal-steps,2,2b7e151628aed2a6,6,8,185
equal-steps,2,2b7e151628aed2a6,6,9,370
equal-steps,2,2b7e151628aed2a6,6,10,556
equal-steps,2,2b7e151628aed2a6,6,11,185
equal-steps,2,2b7e151628aed2a6,6,12,185
equal-steps,2,2b7e151628aed2a6,6,13,371
equal-steps,2,2b7e151628aed2a6,6,14,185
equal-steps,2,2b7e151628aed2a6,6,15,186
equal-steps,2,2b7e151628aed2a6,6,16,185
equal-steps,2,2b7e151628aed2a6,7,8,186
equal-steps,2,2b7e151628aed2a6,7,9,370
equal-steps,2,2b7e151628aed2a6,7,10,370
equal-steps,2,2b7e151628aed2a6,7,11,371
equal-steps,2,2b7e151628aed2a6,7,12,186
equal-steps,2,2b7e151628aed2a6,7,13,185
equal-steps,2,2b7e151628aed2a6,7,14,185
equal-steps,2,2b7e151628aed2a6,7,15,185
equal-steps,2,2b7e151628aed2a6,7,16,185
equal-steps,2,2b7e151628aed2a6,8,9,186
equal-steps,2,2b7e151628aed2a6,8,10,185
equal-steps,2,2b7e151628aed2a6,8,11,556
equal-steps,2,2b7e151628aed2a6,8,12,186
equal-steps,2,2b7e151628aed2a6,8,13,185
equal-steps,2,2b7e151628aed2a6,8,14,186
equal-steps,2,2b7e151628aed2a6,8,15,185
equal-steps,2,2b7e151628aed2a6,8,16,185
equal-steps,2,2b7e151628aed2a6,9,10,186
equal-steps,2,2b7e151628aed2a6,9,11,185
equal-steps,2,2b7e151628aed2a6,9,12,185
equal-steps,2,2b7e151628aed2a6,9,13,370
equal-steps,2,2b7e151628aed2a6,9,14,185
equal-steps,2,2b7e151628aed2a6,9,15,370
equal-steps,2,2b7e151628aed2a6,9,16,185
equal-steps,2,2b7e151628aed2a6,10,11,186
equal-steps,2,2b7e151628aed2a6,10,12,370
equal-steps,2,2b7e151628aed2a6,10,13,186
equal-steps,2,2b7e151628aed2a6,10,14,371
equal-steps,2,2b7e151628aed2a6,10,15,185
equal-steps,2,2b7e151628aed2a6,10,16,185
equal-steps,2,2b7e151628aed2a6,11,12,185
equal-steps,2,2b7e151628aed2a6,11,13,186
equal-steps,2,2b7e151628aed2a6,11,14,185
equal-steps,2,2b7e151628aed2a6,11,15,370
equal-steps,2,2b7e151628aed2a6,11,16,186
equal-steps,2,2b7e151628aed2a6,12,13,186
equal-steps,2,2b7e151628aed2a6,12,14,185
equal-steps,2,2b7e151628aed2a6,12,15,186
equal-steps,2,2b7e151628aed2a6,12,16,740
equal-steps,2,2b7e151628aed2a6,13,14,185
equal-steps,2,2b7e151628aed2a6,13,15,370
equal-steps,2,2b7e151628aed2a6,13,16,185
equal-steps,2,2b7e151628aed2a6,14,15,371
equal-steps,2,2b7e151628aed2a6,14,16,186
equal-steps,2,2b7e151628aed2a6,15,16,186
equal-steps,2,77a19d3c4e280b51,0,1,567
equal-steps,2,77a19d3c4e280b51,0,2,190
equal-steps,2,77a19d3c4e280b51,0,3,379
equal-steps,2,77a19d3c4e280b51,0,4,378
equal-steps,2,77a19d3c4e280b51,0,5,190
equal-steps,2,77a19d3c4e280b51,0,6,190
equal-steps,2,77a19d3c4e280b51,0,7,189
equal-steps,2,77a19d3c4e280b51,0,8,189
equal-steps,2,77a19d3c4e280b51,0,9,189
equal-steps,2,77a19d3c4e280b51,0,10,189
equal-steps,2,77a19d3c4e280b51,0,11,379
equal-steps,2,77a19d3c4e280b51,0,12,190
equal-steps,2,77a19d3c4e280b51,0,13,189
equal-steps,2,77a19d3c4e280b51,0,14,190
equal-steps,2,77a19d3c4e280b51,0,15,189
equal-steps,2,77a19d3c4e280b51,0,16,190
equal-steps,2,77a19d3c4e280b51,1,2,190
equal-steps,2,77a19d3c4e280b51,1,3,189
equal-steps,2,77a19d3c4e280b51,1,4,190
