seed,stream,control_slot,axis,bin,events,sum_event_mean_j,mean_event_mean_j,sum_abs_event_mean_j
1111222233334444,L2-phase17-frozen,0,geometry_stratum,stratum_4,4410,-4.642233252525e-3,-1.052660601480e-6,2.057295193275e-1
1111222233334444,L2-phase17-frozen,0,geometry_stratum,stratum_5,4410,-4.304483532906e-3,-9.760733634707e-7,1.193753629923e-1
1111222233334444,L2-phase17-frozen,0,geometry_stratum,stratum_6,4410,-3.645271062851e-3,-8.265920777440e-7,4.425020019213e-2
1111222233334444,L2-phase17-frozen,0,geometry_stratum,stratum_7,4410,-1.112208763758e-2,-2.522015337321e-6,4.233657022317e-1
1111222233334444,L2-phase17-frozen,1,class,class_0,3843,4.104617983103e-5,1.068076498335e-8,1.477370718494e-1
1111222233334444,L2-phase17-frozen,1,class,class_1,3843,-7.687958888710e-3,-2.000509729042e-6,1.281609134749e-1
1111222233334444,L2-phase17-frozen,1,class,class_2,3843,-3.966990858316e-3,-1.032264079708e-6,1.989493817091e-1
1111222233334444,L2-phase17-frozen,1,geometry_stratum,stratum_0,3843,-2.355853716532e-3,-6.130246465086e-7,2.738067309062e-1
1111222233334444,L2-phase17-frozen,1,geometry_stratum,stratum_1,3843,-1.324643691381e-3,-3.446900055636e-7,1.285464465618e-1
1111222233334444,L2-phase17-frozen,1,geometry_stratum,stratum_2,3843,-3.236085176468e-3,-8.420726454509e-7,1.020445823669e-1
1111222233334444,L2-phase17-frozen,1,geometry_stratum,stratum_3,3843,-5.183788637320e-3,-1.348891136435e-6,1.368639642994e-1
1111222233334444,L2-phase17-frozen,1,geometry_stratum,stratum_4,3843,-3.537657360236e-3,-9.205457611855e-7,1.434189602733e-1
1111222233334444,L2-phase17-frozen,1,geometry_stratum,stratum_5,3843,-4.591137170792e-3,-1.194675298150e-6,1.196998457114e-1
1111222233334444,L2-phase17-frozen,1,geometry_stratum,stratum_6,3843,-4.233991106351e-3,-1.101741115366e-6,4.797434310118e-2
1111222233334444,L2-phase17-frozen,1,geometry_stratum,stratum_7,3843,-6.507252653440e-3,-1.693274174718e-6,3.796219180028e-1
2b7e151628aed2a6,L0-original-frozen,0,class,class_0,4095,-4.701862111688e-3,-1.148195875870e-6,1.263020541519e-1
2b7e151628aed2a6,L0-original-frozen,0,class,class_1,4095,-1.961281523108e-3,-4.789454268885e-7,1.475164834410e-1
2b7e151628aed2a6,L0-original-frozen,0,class,class_2,4095,-2.612609416246e-3,-6.379998574472e-7,1.258124448359e-1
2b7e151628aed2a6,L0-original-frozen,0,geometry_stratum,stratum_0,4095,-6.266047557195e-3,-1.530170343637e-6,2.656984726588e-1
2b7e151628aed2a6,L0-original-frozen,0,geometry_stratum,stratum_1,4095,-5.921031037966e-3,-1.445917225389e-6,1.431405246258e-1
2b7e151628aed2a6,L0-original-frozen,0,geometry_stratum,stratum_2,4095,-1.907708744208e-3,-4.658629411985e-7,8.066072314978e-2
2b7e151628aed2a6,L0-original-frozen,0,geometry_stratum,stratum_3,4095,-3.629994889100e-3,-8.864456383640e-7,8.076936254899e-2
2b7e151628aed2a6,L0-original-frozen,0,geometry_stratum,stratum_4,4095,-3.403022885323e-3,-8.310190196148e-7,7.663510739803e-2
2b7e151628aed2a6,L0-original-frozen,0,geometry_stratum,stratum_5,4095,-3.524507085482e-3,-8.606854909603e-7,1.198751678069e-1
2b7e151628aed2a6,L0-original-frozen,0,geometry_stratum,stratum_6,4095,-1.073723038038e-3,-2.622034280922e-7,6.557992597421e-2
2b7e151628aed2a6,L0-original-frozen,0,geometry_stratum,stratum_7,4095,9.906937678655e-4,2.419276600404e-7,2.296005239089e-1
2b7e151628aed2a6,L0-original-frozen,1,class,class_0,3528,-9.266630746424e-3,-2.626596016560e-6,1.238084463403e-1
2b7e151628aed2a6,L0-original-frozen,1,class,class_1,3528,-6.711225956678e-3,-1.902274931031e-6,1.809116229415e-1
2b7e151628aed2a6,L0-original-frozen,1,class,class_2,3528,3.587655723095e-3,1.016909218564e-6,1.162643693388e-1
2b7e151628aed2a6,L0-original-frozen,1,geometry_stratum,stratum_0,3528,-1.117990911007e-2,-3.168908477911e-6,2.974697897832e-1
2b7e151628aed2a6,L0-original-frozen,1,geometry_stratum,stratum_1,3528,-8.433463672797e-3,-2.390437548979e-6,1.490183149775e-1
2b7e151628aed2a6,L0-original-frozen,1,geometry_stratum,stratum_2,3528,-2.472713589668e-3,-7.008825367540e-7,8.258940776189e-2
2b7e151628aed2a6,L0-original-frozen,1,geometry_stratum,stratum_3,3528,-3.189797202746e-3,-9.041375291230e-7,8.226194977760e-2
2b7e151628aed2a6,L0-original-frozen,1,geometry_stratum,stratum_4,3528,-6.531904141108e-3,-1.851446752015e-6,8.448713024457e-2
2b7e151628aed2a6,L0-original-frozen,1,geometry_stratum,stratum_5,3528,-4.292299350103e-3,-1.216638137784e-6,1.235358516375e-1
2b7e151628aed2a6,L0-original-frozen,1,geometry_stratum,stratum_6,3528,-7.663369178772e-4,-2.172156796704e-7,6.786927580833e-2
2b7e151628aed2a6,L0-original-frozen,1,geometry_stratum,stratum_7,3528,3.825888037682e-3,1.084435384830e-6,2.399034152428e-1
2b7e151628aed2a6,L2-phase17-frozen,0,class,class_0,4095,-3.351329825819e-3,-8.183955618604e-7,1.288510179147e-1
2b7e151628aed2a6,L2-phase17-frozen,0,class,class_1,4095,-6.457082927227e-4,-1.576821227650e-7,1.526635065675e-1
2b7e151628aed2a6,L2-phase17-frozen,0,class,class_2,4095,-4.524888470769e-3,-1.104978869541e-6,1.334901805967e-1
2b7e151628aed2a6,L2-phase17-frozen,0,geometry_stratum,stratum_0,4095,-5.207339922587e-3,-1.271633680729e-6,2.843797802925e-1
2b7e151628aed2a6,L2-phase17-frozen,0,geometry_stratum,stratum_1,4095,-3.106206655502e-3,-7.585364238101e-7,1.496662050486e-1
2b7e151628aed2a6,L2-phase17-frozen,0,geometry_stratum,stratum_2,4095,-2.041608095169e-3,-4.985611954015e-7,8.154963950316e-2
2b7e151628aed2a6,L2-phase17-frozen,0,geometry_stratum,stratum_3,4095,-3.389087816079e-3,-8.276160723027e-7,8.567996571461e-2
2b7e151628aed2a6,L2-phase17-frozen,0,geometry_stratum,stratum_4,4095,-1.860966285070e-3,-4.544484212625e-7,8.100770910581e-2
2b7e151628aed2a6,L2-phase17-frozen,0,geometry_stratum,stratum_5,4095,-4.939695199331e-3,-1.206274773951e-6,1.170914371808e-1
2b7e151628aed2a6,L2-phase17-frozen,0,geometry_stratum,stratum_6,4095,-1.118207971255e-3,-2.730666596471e-7,6.533652047316e-2
2b7e151628aed2a6,L2-phase17-frozen,0,geometry_stratum,stratum_7,4095,-1.062025626500e-3,-2.593469173383e-7,2.342332402865e-1
2b7e151628aed2a6,L2-phase17-frozen,1,class,class_0,3528,-8.661406114697e-3,-2.455047084665e-6,1.298306137323e-1
2b7e151628aed2a6,L2-phase17-frozen,1,class,class_1,3528,-4.888638854027e-3,-1.385668609418e-6,1.843765452504e-1
2b7e151628aed2a6,L2-phase17-frozen,1,class,class_2,3528,3.487287089229e-3,9.884600593052e-7,1.242485996336e-1
2b7e151628aed2a6,L2-phase17-frozen,1,geometry_stratum,stratum_0,3528,-6.610661745071e-3,-1.873770335905e-6,3.213081955910e-1
2b7e151628aed2a6,L2-phase17-frozen,1,geometry_stratum,stratum_1,3528,-3.573474784692e-3,-1.012889678201e-6,1.546836718917e-1
2b7e151628aed2a6,L2-phase17-frozen,1,geometry_stratum,stratum_2,3528,-2.452646692594e-3,-6.951946407579e-7,8.419275283813e-2
2b7e151628aed2a6,L2-phase17-frozen,1,geometry_stratum,stratum_3,3528,-4.567352433999e-3,-1.294601030045e-6,8.794982482990e-2
2b7e151628aed2a6,L2-phase17-frozen,1,geometry_stratum,stratum_4,3528,-4.816527167956e-3,-1.365228789103e-6,8.666628102462e-2
2b7e151628aed2a6,L2-phase17-frozen,1,geometry_stratum,stratum_5,3528,-5.904391407967e-3,-1.673580331056e-6,1.316951364279e-1
2b7e151628aed2a6,L2-phase17-frozen,1,geometry_stratum,stratum_6,3528,-2.119928598404e-3,-6.008867909308e-7,6.891458233198e-2
2b7e151628aed2a6,L2-phase17-frozen,1,geometry_stratum,stratum_7,3528,3.210961818695e-3,9.101365699249e-7,2.269054154555e-1
77a19d3c4e280b51,L0-original-frozen,0,class,class_0,4725,-6.869862787426e-3,-1.453939214270e-6,2.364559127018e-1
77a19d3c4e280b51,L0-original-frozen,0,class,class_1,4725,-1.092689577490e-2,-2.312570534371e-6,2.307985192165e-1
77a19d3c4e280b51,L0-original-frozen,0,class,class_2,4725,-6.090357899666e-3,-1.288964634850e-6,2.230131998658e-1
77a19d3c4e280b51,L0-original-frozen,0,geometry_stratum,stratum_0,4725,-9.996985395749e-3,-2.115764104921e-6,3.483774612347e-1
77a19d3c4e280b51,L0-original-frozen,0,geometry_stratum,stratum_1,4725,-5.716234445572e-4,-1.209785067846e-7,2.029655128717e-1
77a19d3c4e280b51,L0-original-frozen,0,geometry_stratum,stratum_2,4725,-1.451392223438e-2,-3.071729573413e-6,2.437920843561e-1
77a19d3c4e280b51,L0-original-frozen,0,geometry_stratum,stratum_3,4725,-8.798964321613e-3,-1.862214671241e-6,1.617270484567e-1
77a19d3c4e280b51,L0-original-frozen,0,geometry_stratum,stratum_4,4725,-9.151791532834e-3,-1.936887096896e-6,2.234000613292e-1
77a19d3c4e280b51,L0-original-frozen,0,geometry_stratum,stratum_5,4725,-3.333990772565e-3,-7.056065127122e-7,1.580991993348e-1
77a19d3c4e280b51,L0-original-frozen,0,geometry_stratum,stratum_6,4725,-1.084863642852e-2,-2.296007709739e-6,1.653839101394e-1
77a19d3c4e280b51,L0-original-frozen,0,geometry_stratum,stratum_7,4725,-6.483063101768e-3,-1.372076846935e-6,4.354125807683e-1
77a19d3c4e280b51,L0-original-frozen,1,class,class_0,3906,-6.366642192006e-3,-1.629964718896e-6,1.930521465838e-1
77a19d3c4e280b51,L0-original-frozen,1,class,class_1,3906,-3.960689529777e-3,-1.014001415713e-6,1.923509966582e-1
77a19d3c4e280b51,L0-original-frozen,1,class,class_2,3906,-7.315870374441e-3,-1.872982686749e-6,1.894468180835e-1
77a19d3c4e280b51,L0-original-frozen,1,geometry_stratum,stratum_0,3906,-8.823255697886e-3,-2.258898028133e-6,3.124964237213e-1
77a19d3c4e280b51,L0-original-frozen,1,geometry_stratum,stratum_1,3906,1.100967327754e-3,2.818656753082e-7,1.713007887204e-1
77a19d3c4e280b51,L0-original-frozen,1,geometry_stratum,stratum_2,3906,-5.806818604469e-3,-1.486640707749e-6,1.946349392335e-1
77a19d3c4e280b51,L0-original-frozen,1,geometry_stratum,stratum_3,3906,-3.102757036686e-3,-7.943566402166e-7,1.364500895143e-1
77a19d3c4e280b51,L0-original-frozen,1,geometry_stratum,stratum_4,3906,-7.802623013655e-3,-1.997599337853e-6,1.727450117469e-1
77a19d3c4e280b51,L0-original-frozen,1,geometry_stratum,stratum_5,3906,-4.904776811600e-3,-1.255703228776e-6,1.273438235124e-1
77a19d3c4e280b51,L0-original-frozen,1,geometry_stratum,stratum_6,3906,-1.207312941551e-2,-3.090918949184e-6,1.311121881008e-1
77a19d3c4e280b51,L0-original-frozen,1,geometry_stratum,stratum_7,3906,-5.636145671209e-3,-1.442945640350e-6,3.719215591749e-1
77a19d3c4e280b51,L2-phase17-frozen,0,class,class_0,4725,-3.460012376308e-3,-7.322777515997e-7,2.396604735404e-1
77a19d3c4e280b51,L2-phase17-frozen,0,class,class_1,4725,-8.016949519515e-3,-1.696708893019e-6,2.374440860003e-1
77a19d3c4e280b51,L2-phase17-frozen,0,class,class_2,4725,-7.239554077387e-3,-1.532180757119e-6,2.243729643524e-1
77a19d3c4e280b51,L2-phase17-frozen,0,geometry_stratum,stratum_0,4725,-6.913547714551e-3,-1.463184701492e-6,3.495560536782e-1
77a19d3c4e280b51,L2-phase17-frozen,0,geometry_stratum,stratum_1,4725,-5.051493644714e-4,-1.069099184067e-7,2.253061234951e-1
77a19d3c4e280b51,L2-phase17-frozen,0,geometry_stratum,stratum_2,4725,-1.261800775925e-2,-2.670477832646e-6,2.476989800731e-1
77a19d3c4e280b51,L2-phase17-frozen,0,geometry_stratum,stratum_3,4725,-7.811285555363e-3,-1.653182128119e-6,1.658159121871e-1
77a19d3c4e280b51,L2-phase17-frozen,0,geometry_stratum,stratum_4,4725,-3.790040810903e-3,-8.021250393445e-7,2.304619650046e-1
77a19d3c4e280b51,L2-phase17-frozen,0,geometry_stratum,stratum_5,4725,-1.202424367269e-3,-2.544813475701e-7,1.604483524958e-1
77a19d3c4e280b51,L2-phase17-frozen,0,geometry_stratum,stratum_6,4725,-1.271134614944e-2,-2.690231989300e-6,1.619697511196e-1
77a19d3c4e280b51,L2-phase17-frozen,0,geometry_stratum,stratum_7,4725,-4.358907540639e-3,-9.225201144210e-7,4.277943472067e-1
77a19d3c4e280b51,L2-phase17-frozen,1,class,class_0,3906,-5.244609899819e-3,-1.342706067542e-6,1.912869969383e-1
77a19d3c4e280b51,L2-phase17-frozen,1,class,class_1,3906,-2.949646674097e-3,-7.551578786730e-7,1.874585626647e-1
77a19d3c4e280b51,L2-phase17-frozen,1,class,class_2,3906,-6.396176293492e-3,-1.637525932794e-6,1.826351080090e-1
77a19d3c4e280b51,L2-phase17-frozen,1,geometry_stratum,stratum_0,3906,-1.672575871150e-3,-4.282068282513e-7,3.052783409754e-1
77a19d3c4e280b51,L2-phase17-frozen,1,geometry_stratum,stratum_1,3906,6.588697433472e-4,1.686814499097e-7,1.740633845329e-1
77a19d3c4e280b51,L2-phase17-frozen,1,geometry_stratum,stratum_2,3906,-4.445309440295e-3,-1.138072053327e-6,1.831657638152e-1
77a19d3c4e280b51,L2-phase17-frozen,1,geometry_stratum,stratum_3,3906,-2.118354042371e-3,-5.423333441810e-7,1.278156936169e-1
77a19d3c4e280b51,L2-phase17-frozen,1,geometry_stratum,stratum_4,3906,-6.726324558258e-3,-1.722049298069e-6,1.739873985449e-1
77a19d3c4e280b51,L2-phase17-frozen,1,geometry_stratum,stratum_5,3906,-5.344038208326e-3,-1.368161343657e-6,1.245096375545e-1
77a19d3c4e280b51,L2-phase17-frozen,1,geometry_stratum,stratum_6,3906,-1.362580060959e-2,-3.488428215460e-6,1.317668358485e-1
77a19d3c4e280b51,L2-phase17-frozen,1,geometry_stratum,stratum_7,3906,-5.634287993113e-3,-1.442470044320e-6,3.566020429134e-1
