seed,stream,control_slot,action_relation,events,sum_j,mean_j,sum_abs_j,positive_j,negative_j
2b7e151628aed2a6,L0-original-frozen,0,direct-overlap,102,7.318470627069e-3,7.174971203009e-5,2.534171566367e-2,1.633009314537e-2,-9.011622518301e-3
2b7e151628aed2a6,L0-original-frozen,0,same-hidden-unit,926,-6.658580154181e-3,-7.190691311210e-6,3.370954468846e-2,1.352548226714e-2,-2.018406242132e-2
2b7e151628aed2a6,L0-original-frozen,0,adjacent-layer-coarse,2352,-2.513613551855e-3,-1.068713244836e-6,4.437198862433e-2,2.092918753624e-2,-2.344280108809e-2
2b7e151628aed2a6,L0-original-frozen,0,same-layer-unrelated,578,-6.793476641178e-4,-1.175341979443e-6,1.043264940381e-2,4.876650869846e-3,-5.555998533964e-3
2b7e151628aed2a6,L0-original-frozen,0,structural-remote,137,-5.581937730312e-4,-4.074407102418e-6,1.756619662046e-3,5.992129445076e-4,-1.157406717539e-3
2b7e151628aed2a6,L0-original-frozen,1,direct-overlap,88,4.430908709764e-3,5.035123533823e-5,3.490849211812e-2,1.966970041394e-2,-1.523879170418e-2
2b7e151628aed2a6,L0-original-frozen,1,same-hidden-unit,761,-6.691627204418e-3,-8.793202633927e-6,3.144591301680e-2,1.237714290619e-2,-1.906877011061e-2
2b7e151628aed2a6,L0-original-frozen,1,adjacent-layer-coarse,2032,2.580843865871e-4,1.270100327693e-7,4.047955945134e-2,2.036882191896e-2,-2.011073753238e-2
2b7e151628aed2a6,L0-original-frozen,1,same-layer-unrelated,499,-1.616112887859e-3,-3.238703182083e-6,1.126219332218e-2,4.823040217161e-3,-6.439153105021e-3
2b7e151628aed2a6,L0-original-frozen,1,structural-remote,148,-5.117543041706e-4,-3.457799352504e-6,2.804864197969e-3,1.146554946899e-3,-1.658309251070e-3
2b7e151628aed2a6,L2-phase17-frozen,0,direct-overlap,97,7.544755935669e-3,7.778098902751e-5,2.666735649109e-2,1.710605621338e-2,-9.561300277710e-3
2b7e151628aed2a6,L2-phase17-frozen,0,same-hidden-unit,879,-4.330862313509e-3,-4.927033348702e-6,3.504001721740e-2,1.535457745194e-2,-1.968543976545e-2
2b7e151628aed2a6,L2-phase17-frozen,0,adjacent-layer-coarse,2376,-7.676564157009e-3,-3.230877170458e-6,4.565151035786e-2,1.898747310042e-2,-2.666403725743e-2
2b7e151628aed2a6,L2-phase17-frozen,0,same-layer-unrelated,623,1.687243580818e-3,2.708256148986e-6,1.338527351618e-2,7.536258548498e-3,-5.849014967680e-3
2b7e151628aed2a6,L2-phase17-frozen,0,structural-remote,120,-6.479769945145e-5,-5.399808287621e-7,1.412570476532e-3,6.738863885403e-4,-7.386840879917e-4
2b7e151628aed2a6,L2-phase17-frozen,1,direct-overlap,84,9.559147059917e-3,1.137993697609e-4,3.374116867781e-2,2.165015786886e-2,-1.209101080894e-2
2b7e151628aed2a6,L2-phase17-frozen,1,same-hidden-unit,710,-4.337359219790e-3,-6.108956647591e-6,3.030895069242e-2,1.298579573631e-2,-1.732315495610e-2
2b7e151628aed2a6,L2-phase17-frozen,1,adjacent-layer-coarse,2065,-8.828528225422e-3,-4.275316331923e-6,4.727325588465e-2,1.922236382961e-2,-2.805089205503e-2
2b7e151628aed2a6,L2-phase17-frozen,1,same-layer-unrelated,549,-1.643598079681e-4,-2.993803423828e-7,1.466111838818e-2,7.248379290104e-3,-7.412739098072e-3
2b7e151628aed2a6,L2-phase17-frozen,1,structural-remote,120,4.170052707195e-4,3.475043922663e-6,2.319652587175e-3,1.368328928947e-3,-9.513236582279e-4
77a19d3c4e280b51,L0-original-frozen,0,direct-overlap,159,1.431215181947e-2,9.001353345577e-5,3.873560950160e-2,2.652388066053e-2,-1.221172884107e-2
77a19d3c4e280b51,L0-original-frozen,0,same-hidden-unit,1171,-1.785615459085e-2,-1.524863756690e-5,7.733521237969e-2,2.973952889442e-2,-4.759568348527e-2
77a19d3c4e280b51,L0-original-frozen,0,adjacent-layer-coarse,2544,-4.237737506628e-3,-1.665777321788e-6,7.458512857556e-2,3.517369553447e-2,-3.941143304110e-2
77a19d3c4e280b51,L0-original-frozen,0,same-layer-unrelated,695,-4.183501005173e-5,-6.019425906723e-8,1.288855820894e-2,6.423361599445e-3,-6.465196609497e-3
77a19d3c4e280b51,L0-original-frozen,0,structural-remote,156,-1.387372612953e-4,-8.893414185597e-7,2.309076488018e-3,1.085169613361e-3,-1.223906874657e-3
77a19d3c4e280b51,L0-original-frozen,1,direct-overlap,135,1.067671179771e-2,7.908675405714e-5,2.890574187040e-2,1.979122683406e-2,-9.114515036345e-3
77a19d3c4e280b51,L0-original-frozen,1,same-hidden-unit,934,-1.167651638389e-2,-1.250162353735e-5,6.016659364104e-2,2.424503862858e-2,-3.592155501246e-2
77a19d3c4e280b51,L0-original-frozen,1,adjacent-layer-coarse,2147,-4.654206335545e-3,-2.167771930854e-6,6.821053475142e-2,3.177816420794e-2,-3.643237054348e-2
77a19d3c4e280b51,L0-original-frozen,1,same-layer-unrelated,565,-2.784170210361e-4,-4.927734885596e-7,1.220001652837e-2,5.960799753666e-3,-6.239216774702e-3
77a19d3c4e280b51,L0-original-frozen,1,structural-remote,125,5.215406417847e-5,4.172325134277e-7,1.709312200546e-3,8.807331323624e-4,-8.285790681839e-4
77a19d3c4e280b51,L2-phase17-frozen,0,direct-overlap,168,1.814795657992e-2,1.080235510710e-4,4.165178909898e-2,2.989987283945e-2,-1.175191625953e-2
77a19d3c4e280b51,L2-phase17-frozen,0,same-hidden-unit,1214,-1.532938331366e-2,-1.262716912163e-5,8.512327820063e-2,3.489694744349e-2,-5.022633075714e-2
77a19d3c4e280b51,L2-phase17-frozen,0,adjacent-layer-coarse,2584,-8.281219750643e-3,-3.204806405048e-6,6.992172077298e-2,3.082025051117e-2,-3.910147026181e-2
77a19d3c4e280b51,L2-phase17-frozen,0,same-layer-unrelated,611,1.215934753418e-5,1.990073246183e-8,1.096209883690e-2,5.487129092216e-3,-5.474969744682e-3
77a19d3c4e280b51,L2-phase17-frozen,0,structural-remote,148,-7.870644330978e-4,-5.318002926337e-6,2.543896436691e-3,8.784160017967e-4,-1.665480434895e-3
77a19d3c4e280b51,L2-phase17-frozen,1,direct-overlap,133,1.600311696529e-2,1.203241877090e-4,3.241371363401e-2,2.420841529965e-2,-8.205298334360e-3
77a19d3c4e280b51,L2-phase17-frozen,1,same-hidden-unit,982,-1.232361793518e-2,-1.254950909896e-5,6.245502084494e-2,2.506570145488e-2,-3.738931939006e-2
77a19d3c4e280b51,L2-phase17-frozen,1,adjacent-layer-coarse,2195,-7.418833673000e-3,-3.379878666515e-6,5.907822400331e-2,2.582969516516e-2,-3.324852883816e-2
77a19d3c4e280b51,L2-phase17-frozen,1,same-layer-unrelated,485,-5.178824067116e-4,-1.067798776725e-6,1.134510338306e-2,5.413610488176e-3,-5.931492894888e-3
77a19d3c4e280b51,L2-phase17-frozen,1,structural-remote,111,-6.052777171135e-4,-5.452952406428e-6,1.835964620113e-3,6.153434514999e-4,-1.220621168613e-3
