seed,comparison_id,stream,control_slot,snapshot_commit,horizon,pair_left,pair_right,action_left,action_right,action_delta_left,action_delta_right,d_before,d_after,j_exact,j_per_example_mean,event_decomposition_residual,class0_mean_j,class1_mean_j,class2_mean_j,stratum0_mean_j,stratum1_mean_j,stratum2_mean_j,stratum3_mean_j,stratum4_mean_j,stratum5_mean_j,stratum6_mean_j,stratum7_mean_j,relu_diff_before,relu_diff_after,relu_newly_different,relu_resolved,action_relation,relu_transition
2b7e151628aed2a6,1,L0-original-frozen,0,50,12,94,4,102,18,0.020000,0.020000,-3.099441528320e-5,-1.895427703857e-5,1.204013824463e-5,1.196128626664e-5,7.885197798411e-8,-6.109289824963e-5,3.385543823242e-5,6.312131881714e-5,4.629294077555e-6,4.549821217855e-6,5.864103635152e-5,-5.761782328288e-6,3.765026728312e-6,3.063182036082e-5,7.649262746175e-7,-1.529852549235e-6,11,9,1,3,same-hidden-unit,contracting
2b7e151628aed2a6,1,L0-original-frozen,0,50,13,94,4,118,4,-0.020000,-0.020000,-1.895427703857e-5,-2.157688140869e-5,-2.622604370117e-6,-2.912556131681e-6,2.899517615636e-7,-3.010593354702e-5,-2.782419323921e-5,4.919245839119e-5,1.837809880575e-6,1.917282740275e-6,-2.846121788025e-5,-1.671910285950e-5,2.091129620870e-6,2.125898996989e-6,5.488594373067e-6,8.419156074524e-6,9,8,0,1,same-hidden-unit,contracting
2b7e151628aed2a6,1,L0-original-frozen,0,50,14,94,4,97,27,0.020000,0.020000,-2.157688140869e-5,-2.133846282959e-5,2.384185791016e-7,6.239861249924e-7,-3.855675458908e-7,1.085922122002e-6,4.060566425323e-7,3.799796104431e-7,5.563100179036e-7,5.761782328288e-7,5.861123402913e-7,6.755193074544e-7,5.463759104411e-7,6.109476089478e-7,6.606181462606e-7,7.798274358114e-7,8,8,0,0,adjacent-layer-coarse,stable-difference
2b7e151628aed2a6,1,L0-original-frozen,0,50,15,94,4,108,18,0.010000,0.020000,-2.133846282959e-5,-1.311302185059e-6,2.002716064453e-5,1.990360518297e-5,1.235554615657e-7,2.568587660789e-6,1.862645149231e-6,5.527958273888e-5,2.543131510417e-6,2.513329188029e-6,1.359482606252e-4,1.111626625061e-5,1.748402913411e-6,1.952052116394e-6,1.708666483561e-6,1.698732376099e-6,8,11,3,0,adjacent-layer-coarse,expanding
2b7e151628aed2a6,1,L0-original-frozen,0,50,16,94,4,120,8,-0.020000,0.020000,-1.311302185059e-6,-2.980232238770e-5,-2.849102020264e-5,-2.828799188137e-5,-2.030283212662e-7,-8.562579751015e-6,-2.626702189445e-5,-5.003437399864e-5,-8.523464202881e-6,-8.593002955119e-6,-3.994504610697e-5,-5.481640497843e-5,-4.038214683533e-5,-8.776783943176e-6,-3.651281197866e-5,-2.875427405039e-5,11,11,3,3,adjacent-layer-coarse,turnover
2b7e151628aed2a6,1,L0-original-frozen,0,50,17,94,4,96,34,-0.020000,0.020000,-2.980232238770e-5,-3.075599670410e-5,-9.536743164062e-7,-8.468826611837e-7,-1.067916552226e-7,-5.885958671570e-7,-7.599592208862e-7,-1.192092895508e-6,-1.152356465658e-6,-1.033147176107e-6,-1.013278961182e-6,-4.768371582031e-7,-1.023213068644e-6,-1.053015391032e-6,-6.208817164103e-7,-4.023313522339e-7,11,11,0,0,adjacent-layer-coarse,stable-difference
2b7e151628aed2a6,1,L0-original-frozen,0,50,18,94,4,4,5,-0.020000,0.020000,-3.075599670410e-5,-4.196166992188e-5,-1.120567321777e-5,-1.106783747673e-5,-1.378357410431e-7,1.188367605209e-6,2.235174179077e-8,-3.441423177719e-5,5.960464477539e-8,-2.980232238770e-8,-9.226799011230e-5,6.357828776042e-7,5.364418029785e-7,2.582867940267e-7,1.107652982076e-6,1.157323519389e-6,11,10,0,1,adjacent-layer-coarse,contracting
2b7e151628aed2a6,1,L0-original-frozen,0,50,19,94,4,4,7,-0.020000,-0.020000,-4.196166992188e-5,-3.910064697266e-5,2.861022949219e-6,2.864748239517e-6,-3.725290298462e-9,8.232891559601e-7,1.047551631927e-5,-2.704560756683e-6,-1.986821492513e-8,0.000000000000e0,-7.996956507365e-6,3.198782602946e-6,-9.437402089437e-7,3.725290298462e-7,2.286334832509e-5,5.443890889486e-6,10,8,0,2,adjacent-layer-coarse,contracting
2b7e151628aed2a6,1,L0-original-frozen,0,50,20,94,4,4,9,-0.020000,-0.020000,-3.910064697266e-5,-4.541873931885e-5,-6.318092346191e-6,-6.359691421191e-6,4.159907499949e-8,1.175329089165e-6,-1.487135887146e-5,-5.383044481277e-6,0.000000000000e0,-3.973642985026e-8,2.483526865641e-7,-3.417332967122e-6,2.751747767131e-6,-1.484155654907e-5,-3.032386302948e-5,-5.255142847697e-6,8,10,3,1,adjacent-layer-coarse,expanding
2b7e151628aed2a6,1,L0-original-frozen,0,50,21,94,4,122,16,0.020000,-0.020000,-4.541873931885e-5,-4.827976226807e-5,-2.861022949219e-6,-3.496805826823e-6,6.357828776042e-7,-5.532056093216e-6,-5.304813385010e-6,3.464519977570e-7,-6.536642710368e-6,-6.477038065592e-6,-4.847844441732e-6,-3.765026728312e-6,-5.592902501424e-6,7.828076680501e-6,-4.390875498454e-6,-4.192193349202e-6,10,9,0,1,adjacent-layer-coarse,contracting
2b7e151628aed2a6,1,L0-original-frozen,0,50,22,94,4,4,13,-0.020000,-0.020000,-4.827976226807e-5,-5.042552947998e-5,-2.145767211914e-6,-1.959502696991e-6,-1.862645149231e-7,9.089708328247e-7,4.880130290985e-7,-7.275491952896e-6,2.980232238770e-8,5.960464477539e-8,-1.883506774902e-5,4.569689432780e-7,5.662441253662e-7,4.818042119344e-7,4.867712656657e-7,1.077850659688e-6,9,10,1,0,adjacent-layer-coarse,expanding
2b7e151628aed2a6,1,L0-original-frozen,0,50,23,94,4,5,14,0.020000,-0.020000,-5.042552947998e-5,-7.677078247070e-5,-2.634525299072e-5,-2.643962701162e-5,9.437402089437e-8,5.401670932770e-7,-8.054077625275e-6,-7.180497050285e-5,-4.967053731283e-8,1.986821492513e-8,-2.736846605937e-5,-1.052021980286e-5,-1.537750164668e-4,-8.443991343180e-8,3.824631373088e-7,-2.012153466543e-5,10,8,2,4,adjacent-layer-coarse,contracting
2b7e151628aed2a6,1,L0-original-frozen,0,50,24,94,4,7,14,-0.020000,-0.020000,-7.677078247070e-5,-1.085996627808e-4,-3.182888031006e-5,-3.132348259290e-5,-5.053977171580e-7,2.719461917877e-7,8.907169103622e-6,-1.031495630741e-4,-1.986821492513e-8,9.934107462565e-9,1.066923141479e-5,1.390775044759e-7,-1.288255055745e-4,-1.541475454966e-4,2.151727676392e-5,6.953875223796e-8,8,10,5,3,adjacent-layer-coarse,expanding
2b7e151628aed2a6,1,L0-original-frozen,0,50,25,94,4,112,34,0.020000,0.020000,-1.085996627808e-4,-1.085996627808e-4,0.000000000000e0,-3.160287936529e-7,3.160287936529e-7,-8.381903171539e-8,-3.837049007416e-7,-4.805624485016e-7,-7.251898447673e-7,-6.655851999919e-7,-3.774960835775e-7,-1.688798268636e-7,-8.443991343180e-8,-3.824631373088e-7,-2.831220626831e-7,1.589457194010e-7,10,10,0,0,adjacent-layer-coarse,stable-difference
2b7e151628aed2a6,1,L0-original-frozen,0,50,26,94,4,4,21,-0.020000,0.020000,-1.085996627808e-4,-1.226663589478e-4,-1.406669616699e-5,-1.412009199460e-5,5.339582761129e-8,7.972121238708e-7,4.954636096954e-7,-4.365295171738e-5,-9.934107462565e-9,-2.980232238770e-8,-2.006689707438e-5,4.768371582031e-7,5.761782328288e-7,-9.522835413615e-5,4.669030507406e-7,8.543332417806e-7,10,9,0,1,adjacent-layer-coarse,contracting
2b7e151628aed2a6,1,L0-original-frozen,0,50,27,94,4,9,18,-0.020000,0.020000,-1.226663589478e-4,-9.298324584961e-5,2.968311309814e-5,2.991966903210e-5,-2.365559339523e-7,3.302469849586e-6,-1.128390431404e-5,9.774044156075e-5,2.960364023844e-6,2.920627593994e-6,5.843242009481e-5,2.096096674601e-6,1.297891139984e-5,1.847296953201e-4,-2.721448739370e-5,2.453724543254e-6,9,9,2,2,adjacent-layer-coarse,turnover
2b7e151628aed2a6,1,L0-original-frozen,0,50,28,94,4,11,18,0.020000,0.020000,-9.298324584961e-5,-9.047985076904e-5,2.503395080566e-6,2.151355147362e-6,3.520399332047e-7,2.907589077950e-6,2.086162567139e-6,1.460313796997e-6,2.851088841756e-6,2.861022949219e-6,4.481275876363e-5,1.937150955200e-6,1.942118008931e-6,-4.080434640249e-5,1.644094785055e-6,1.966953277588e-6,9,9,2,2,adjacent-layer-coarse,turnover
2b7e151628aed2a6,1,L0-original-frozen,0,50,29,94,4,5,26,0.020000,-0.020000,-9.047985076904e-5,-9.047985076904e-5,0.000000000000e0,2.309679985046e-7,-2.309679985046e-7,1.009553670883e-6,-1.341104507446e-7,-1.825392246246e-7,3.476937611898e-7,3.675619761149e-7,-3.734230995178e-5,5.463759104411e-7,2.980232238770e-7,3.576775391897e-5,1.057982444763e-6,8.046627044678e-7,9,8,0,1,adjacent-layer-coarse,contracting
2b7e151628aed2a6,1,L0-original-frozen,0,50,30,94,4,4,29,-0.020000,0.020000,-9.047985076904e-5,-9.512901306152e-5,-4.649162292480e-6,-4.631777604421e-6,-1.738468805949e-8,8.381903171539e-7,4.768371582031e-7,-1.521036028862e-5,-5.960464477539e-8,0.000000000000e0,-4.351139068604e-6,4.371007283529e-7,6.010135014852e-7,-3.508230050405e-5,5.066394805908e-7,8.940696716309e-7,8,7,0,1,adjacent-layer-coarse,contracting
2b7e151628aed2a6,1,L0-original-frozen,0,50,31,94,4,9,26,-0.020000,-0.020000,-9.512901306152e-5,-9.202957153320e-5,3.099441528320e-6,3.055979808172e-6,4.346172014872e-8,8.679926395416e-7,-1.010671257973e-5,1.840665936470e-5,3.973642985026e-7,3.476937611898e-7,4.569689432780e-7,5.066394805908e-7,1.134971777598e-5,2.665817737579e-5,-1.612305641174e-5,8.543332417806e-7,7,5,0,2,adjacent-layer-coarse,contracting
2b7e151628aed2a6,1,L0-original-frozen,0,50,32,94,4,102,58,0.020000,-0.020000,-9.202957153320e-5,-9.548664093018e-5,-3.457069396973e-6,-3.437822063764e-6,-1.924733320872e-8,-6.164424121380e-5,2.717226743698e-5,2.415850758553e-5,2.841154734294e-6,2.861022949219e-6,-2.741813659668e-6,-8.026758829753e-6,-6.859501202901e-6,-1.251697540283e-6,-7.331371307373e-6,-6.993611653646e-6,5,5,0,0,same-hidden-unit,stable-difference
2b7e151628aed2a6,1,L0-original-frozen,0,50,33,94,4,5,34,0.020000,0.020000,-9.548664093018e-5,-9.214878082275e-5,3.337860107422e-6,3.109996517499e-6,2.278635899226e-7,1.745298504829e-6,-1.467764377594e-6,9.052455425262e-6,7.748603820801e-7,7.251898447673e-7,9.139378865560e-7,9.834766387939e-7,7.053216298421e-7,1.773734887441e-5,1.649061838786e-6,1.390775044759e-6,5,6,1,0,adjacent-layer-coarse,expanding
2b7e151628aed2a6,1,L0-original-frozen,0,50,34,94,4,18,23,0.020000,0.020000,-9.214878082275e-5,-4.661083221436e-5,4.553794860840e-5,4.618242383003e-5,-6.444752216339e-7,5.085021257401e-6,4.865229129791e-6,1.285970211029e-4,5.255142847697e-6,4.917383193970e-6,5.936622619629e-5,4.788239796956e-6,2.292046944300e-4,5.967915058136e-5,3.228584925334e-6,3.019968668620e-6,6,7,5,4,adjacent-layer-coarse,expanding
2b7e151628aed2a6,1,L0-original-frozen,0,50,35,94,4,9,34,-0.020000,0.020000,-4.661083221436e-5,-5.030632019043e-5,-3.695487976074e-6,-4.062429070473e-6,3.669410943985e-7,1.596286892891e-6,-3.699213266373e-6,-1.008436083794e-5,7.748603820801e-7,7.847944895426e-7,-2.876917521159e-5,-8.245309193929e-7,3.034869829814e-6,-7.410844167074e-6,-1.281499862671e-6,1.192092895508e-6,7,4,0,3,adjacent-layer-coarse,contracting
2b7e151628aed2a6,1,L0-original-frozen,0,50,36,94,4,97,71,0.020000,0.020000,-5.030632019043e-5,-4.875659942627e-5,1.549720764160e-6,1.347934206327e-6,2.017865578334e-7,1.998618245125e-6,1.028180122375e-6,1.017004251480e-6,1.331170399984e-6,1.291433970133e-6,1.251697540283e-6,1.216928164164e-6,1.291433970133e-6,1.316269238790e-6,1.495083173116e-6,1.589457194010e-6,4,4,0,0,adjacent-layer-coarse,stable-difference
2b7e151628aed2a6,1,L0-original-frozen,0,50,37,94,4,4,43,-0.020000,0.000000,-4.875659942627e-5,-5.173683166504e-5,-2.980232238770e-6,-2.806385358175e-6,-1.738468805949e-7,8.419156074524e-7,6.034970283508e-7,-9.864568710327e-6,0.000000000000e0,4.967053731283e-8,-2.532203992208e-5,5.563100179036e-7,7.301568984985e-7,9.437402089437e-8,4.023313522339e-7,1.038114229838e-6,4,2,0,2,adjacent-layer-coarse,contracting
2b7e151628aed2a6,1,L0-original-frozen,0,50,38,94,4,15,34,0.020000,0.020000,-5.173683166504e-5,-4.994869232178e-5,1.788139343262e-6,1.855815450350e-6,-6.767610708872e-8,1.976266503334e-6,8.344650268555e-7,2.756714820862e-6,8.742014567057e-7,9.834766387939e-7,1.053015391032e-6,1.316269238790e-6,5.682309468587e-6,1.370906829834e-6,1.668930053711e-6,1.897414525350e-6,2,2,0,0,adjacent-layer-coarse,stable-difference
2b7e151628aed2a6,1,L0-original-frozen,0,50,39,94,4,100,74,-0.020000,0.020000,-4.994869232178e-5,-4.923343658447e-5,7.152557373047e-7,5.109856526057e-7,2.042700846990e-7,1.111999154091e-6,4.731118679047e-7,-5.215406417847e-8,2.980232238770e-7,1.986821492513e-7,3.476937611898e-7,5.960464477539e-7,4.420677820841e-7,3.377596537272e-7,8.294979731242e-7,1.038114229838e-6,2,2,0,0,same-hidden-unit,stable-difference
2b7e151628aed2a6,1,L0-original-frozen,0,50,40,94,4,102,74,0.020000,0.020000,-4.923343658447e-5,-5.102157592773e-5,-1.788139343262e-6,-1.431753238042e-6,-3.563861052195e-7,-6.020814180374e-5,2.741441130638e-5,2.849847078323e-5,3.606081008911e-6,3.745158513387e-6,-1.857678095500e-6,-7.132689158122e-6,1.559654871623e-6,1.122554143270e-6,-6.606181462606e-6,-5.890925725301e-6,2,2,0,0,same-hidden-unit,stable-difference
2b7e151628aed2a6,1,L0-original-frozen,0,50,41,94,4,21,34,0.020000,0.020000,-5.102157592773e-5,-5.006790161133e-5,9.536743164062e-7,8.437782526016e-7,1.098960638046e-7,1.532956957817e-6,8.642673492432e-7,1.341104507446e-7,9.139378865560e-7,8.841355641683e-7,8.742014567057e-7,9.238719940186e-7,9.189049402873e-7,4.569689432780e-7,6.059805552165e-7,1.172224680583e-6,2,2,0,0,adjacent-layer-coarse,stable-difference
2b7e151628aed2a6,1,L0-original-frozen,0,50,42,94,4,97,83,0.020000,0.000000,-5.006790161133e-5,-4.851818084717e-5,1.549720764160e-6,1.452863216400e-6,9.685754776001e-8,2.168118953705e-6,1.169741153717e-6,1.020729541779e-6,1.380840937297e-6,1.390775044759e-6,1.370906829834e-6,1.326203346252e-6,1.440445582072e-6,1.390775044759e-6,1.594424247742e-6,1.728534698486e-6,2,2,0,0,adjacent-layer-coarse,stable-difference
2b7e151628aed2a6,1,L0-original-frozen,0,50,43,94,4,4,55,-0.020000,0.000000,-4.851818084717e-5,-4.804134368896e-5,4.768371582031e-7,4.538645346959e-7,2.297262350718e-8,9.890645742416e-7,7.115304470062e-7,-3.390014171600e-7,9.934107462565e-9,9.934107462565e-9,2.185503641764e-7,6.755193074544e-7,8.394320805868e-7,1.688798268636e-7,4.818042119344e-7,1.226862271627e-6,2,2,0,0,adjacent-layer-coarse,stable-difference
2b7e151628aed2a6,1,L0-original-frozen,0,50,44,94,4,4,57,-0.020000,0.000000,-4.804134368896e-5,-4.780292510986e-5,2.384185791016e-7,4.613151152929e-7,-2.228965361913e-7,9.778887033463e-7,6.929039955139e-7,-2.868473529816e-7,0.000000000000e0,9.934107462565e-9,2.284844716390e-7,6.357828776042e-7,7.847944895426e-7,3.228584925334e-7,5.215406417847e-7,1.187125841777e-6,2,2,0,0,adjacent-layer-coarse,stable-difference
2b7e151628aed2a6,1,L0-original-frozen,0,50,45,94,4,112,74,0.020000,0.020000,-4.780292510986e-5,-4.708766937256e-5,7.152557373047e-7,1.837809880575e-7,5.314747492472e-7,7.860362529755e-7,2.235174179077e-7,-4.582107067108e-7,-2.384185791016e-7,-2.384185791016e-7,2.980232238770e-8,4.271666208903e-7,5.960464477539e-8,-2.483526865641e-8,5.712111790975e-7,8.841355641683e-7,2,2,0,0,same-hidden-unit,stable-difference
2b7e151628aed2a6,1,L0-original-frozen,0,50,46,94,4,96,92,-0.020000,0.020000,-4.708766937256e-5,-5.149841308594e-5,-4.410743713379e-6,-4.200264811516e-6,-2.104789018631e-7,-4.375353455544e-6,-3.807246685028e-6,-4.418194293976e-6,-5.443890889486e-6,-5.394220352173e-6,-4.460414250692e-6,-3.476937611898e-6,-4.907449086507e-6,-3.998478253682e-6,-2.592802047729e-6,-3.327925999959e-6,2,2,0,0,adjacent-layer-coarse,stable-difference
2b7e151628aed2a6,1,L0-original-frozen,0,50,47,94,4,116,74,0.020000,0.020000,-5.149841308594e-5,-5.114078521729e-5,3.576278686523e-7,6.140520175298e-7,-2.564241488775e-7,1.249834895134e-6,5.960464477539e-7,-3.725290298462e-9,3.079573313395e-7,2.880891164144e-7,4.569689432780e-7,7.351239522298e-7,5.563100179036e-7,4.520018895467e-7,9.238719940186e-7,1.192092895508e-6,2,2,0,0,same-hidden-unit,stable-difference
2b7e151628aed2a6,1,L0-original-frozen,0,50,48,94,4,118,74,-0.020000,0.020000,-5.114078521729e-5,-4.899501800537e-5,2.145767211914e-6,1.826013127963e-6,3.197540839513e-7,-2.769194543362e-5,-2.091005444527e-5,5.408003926277e-5,3.059705098470e-6,3.079573313395e-6,-8.006890614827e-6,-1.879533131917e-5,-1.400709152222e-6,5.940596262614e-6,1.499553521474e-5,1.573562622070e-5,2,2,0,0,same-hidden-unit,stable-difference
2b7e151628aed2a6,1,L0-original-frozen,0,50,49,94,4,18,53,0.020000,0.000000,-4.899501800537e-5,-3.361701965332e-5,1.537799835205e-5,1.546243826548e-5,-8.443991343180e-8,4.690140485764e-6,3.341585397720e-6,3.835558891296e-5,4.629294077555e-6,4.659096399943e-6,9.827812512716e-5,3.168980280558e-6,3.089507420858e-6,3.606081008911e-6,3.129243850708e-6,3.139177958171e-6,2,4,2,0,adjacent-layer-coarse,expanding
2b7e151628aed2a6,1,L0-original-frozen,0,50,50,94,4,14,59,-0.020000,0.020000,-3.361701965332e-5,-5.936622619629e-5,-2.574920654297e-5,-2.590753138065e-5,1.583248376846e-7,-2.700835466385e-7,-4.097819328308e-7,-7.704272866249e-5,-9.834766387939e-7,-9.636084238688e-7,-3.039836883545e-6,-3.774960835775e-7,-1.634756724040e-4,-3.809730211894e-5,-1.142422358195e-7,-2.086162567139e-7,4,6,3,1,adjacent-layer-coarse,expanding
2b7e151628aed2a6,1,L0-original-frozen,0,50,51,94,4,102,96,0.020000,-0.020000,-5.936622619629e-5,-6.270408630371e-5,-3.337860107422e-6,-3.404915332794e-6,6.705522537231e-8,-6.187334656715e-5,2.609565854073e-5,2.556294202805e-5,1.619259516398e-6,1.639127731323e-6,-9.834766387939e-7,-8.364518483480e-6,-4.723668098450e-6,-1.738468805949e-6,-7.763504981995e-6,-6.924072901408e-6,6,6,0,0,same-hidden-unit,stable-difference
2b7e151628aed2a6,1,L0-original-frozen,0,50,52,94,4,4,73,-0.020000,0.000000,-6.270408630371e-5,-7.295608520508e-5,-1.025199890137e-5,-9.726732969284e-6,-5.252659320831e-7,1.322478055954e-6,8.642673492432e-7,-3.136694431305e-5,9.934107462565e-9,9.934107462565e-9,-8.219480514526e-5,7.798274358114e-7,1.018246014913e-6,3.278255462646e-7,7.748603820801e-7,1.460313796997e-6,6,5,0,1,adjacent-layer-coarse,contracting
2b7e151628aed2a6,1,L0-original-frozen,0,50,53,94,4,102,100,0.020000,-0.020000,-7.295608520508e-5,-7.569789886475e-5,-2.741813659668e-6,-3.077710668246e-6,3.358970085780e-7,-6.109289824963e-5,2.663955092430e-5,2.522021532059e-5,2.304712931315e-6,2.344449361165e-6,-2.592802047729e-6,-7.862846056620e-6,-4.102786382039e-6,-1.147389411926e-6,-7.182359695435e-6,-6.382664044698e-6,5,5,0,0,same-hidden-unit,stable-difference
2b7e151628aed2a6,1,L0-original-frozen,0,50,54,94,4,112,92,0.020000,0.020000,-7.569789886475e-5,-8.022785186768e-5,-4.529953002930e-6,-4.669030507406e-6,1.390775044759e-7,-5.416572093964e-6,-4.176050424576e-6,-4.414469003677e-6,-5.960464477539e-6,-6.010135014852e-6,-4.996856053670e-6,-3.769993782043e-6,-4.564722379049e-6,-4.813075065613e-6,-3.625949223836e-6,-3.611048062642e-6,5,5,0,0,adjacent-layer-coarse,stable-difference
2b7e151628aed2a6,1,L0-original-frozen,0,50,55,94,4,4,79,-0.020000,0.020000,-8.022785186768e-5,-6.794929504395e-5,1.227855682373e-5,1.217673222224e-5,1.018246014913e-7,1.855194568634e-6,1.013278961182e-6,3.366172313690e-5,2.086162567139e-7,2.682209014893e-7,-1.154343287150e-5,1.057982444763e-6,6.860494613647e-5,3.560384114583e-5,1.291433970133e-6,1.922249794006e-6,5,4,0,1,same-hidden-unit,contracting
2b7e151628aed2a6,1,L0-original-frozen,0,50,56,94,4,11,74,0.020000,0.020000,-6.794929504395e-5,-7.426738739014e-5,-6.318092346191e-6,-5.882854262988e-6,-4.352380832036e-7,2.251937985420e-6,1.296401023865e-6,-2.119690179825e-5,1.301368077596e-6,1.271565755208e-6,1.251697540283e-6,1.405676205953e-6,-2.829730510712e-5,-2.649426460266e-5,1.038114229838e-6,1.460313796997e-6,4,4,0,0,same-hidden-unit,stable-difference
2b7e151628aed2a6,1,L0-original-frozen,0,50,57,94,4,113,97,-0.020000,0.020000,-7.426738739014e-5,-7.128715515137e-5,2.980232238770e-6,2.934907873472e-6,4.532436529795e-8,4.412606358528e-6,2.436339855194e-6,1.955777406693e-6,2.771615982056e-6,2.821286519368e-6,2.731879552205e-6,2.726912498474e-6,2.885858217875e-6,2.826253573100e-6,3.208716710409e-6,3.506739934285e-6,4,4,0,0,adjacent-layer-coarse,stable-difference
