seed,family,replicate,global_commit,control_slot,matched,g3_utility,g3_regret,control_utility,regret_gap,initial_control_better,first_reversal_horizon,persistent_reversal,transient_reversal,no_reversal,horizon,g3_train_loss,control_train_loss,g3_vs_control_train_delta,g3_validation_loss,control_validation_loss,g3_control_parameter_distance
2b7e151628aed2a6,L0-original,0,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,64,1.08638334,1.08816183,-0.00177848,1.08672130,1.08848464,0.21977262
2b7e151628aed2a6,L1-new-evidence,0,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,2,false,true,false,1,1.11040628,1.11038017,0.00002611,1.11015093,1.11012053,0.03000000
2b7e151628aed2a6,L1-new-evidence,0,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,2,false,true,false,2,1.10950637,1.10953212,-0.00002575,1.10925043,1.10927200,0.03000000
2b7e151628aed2a6,L1-new-evidence,0,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,2,false,true,false,4,1.10874474,1.10886574,-0.00012100,1.10850489,1.10864711,0.04582575
2b7e151628aed2a6,L1-new-evidence,0,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,2,false,true,false,8,1.10577595,1.10595000,-0.00017405,1.10555732,1.10574949,0.04582575
2b7e151628aed2a6,L1-new-evidence,0,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,2,false,true,false,16,1.10155642,1.10143960,0.00011683,1.10143912,1.10131931,0.05744562
2b7e151628aed2a6,L1-new-evidence,0,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,2,false,true,false,32,1.09694099,1.09688628,0.00005472,1.09701025,1.09692085,0.10049875
2b7e151628aed2a6,L1-new-evidence,0,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,2,false,true,false,64,1.08820057,1.08639002,0.00181055,1.08865249,1.08684194,0.15459625
2b7e151628aed2a6,L1-new-evidence,0,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,1,1.11040628,1.11137617,-0.00096989,1.11015093,1.11112082,0.02000000
2b7e151628aed2a6,L1-new-evidence,0,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,2,1.10950637,1.11043227,-0.00092590,1.10925043,1.11017716,0.02000000
2b7e151628aed2a6,L1-new-evidence,0,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,4,1.10874474,1.10920024,-0.00045550,1.10850489,1.10896540,0.04123105
2b7e151628aed2a6,L1-new-evidence,0,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,8,1.10577595,1.10624945,-0.00047350,1.10555732,1.10603392,0.04123105
2b7e151628aed2a6,L1-new-evidence,0,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,16,1.10155642,1.10183561,-0.00027919,1.10143912,1.10171616,0.04123105
2b7e151628aed2a6,L1-new-evidence,0,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,32,1.09694099,1.09695232,-0.00001132,1.09701025,1.09699738,0.07549833
2b7e151628aed2a6,L1-new-evidence,0,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,64,1.08820057,1.08934426,-0.00114369,1.08865249,1.08978558,0.18867965
2b7e151628aed2a6,L1-new-evidence,1,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,16,false,true,false,1,1.11040628,1.11038017,0.00002611,1.11015093,1.11012053,0.03000000
2b7e151628aed2a6,L1-new-evidence,1,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,16,false,true,false,2,1.10956979,1.10950637,0.00006342,1.10931826,1.10925043,0.03000000
2b7e151628aed2a6,L1-new-evidence,1,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,16,false,true,false,4,1.10802436,1.10788572,0.00013864,1.10777068,1.10762823,0.03000000
2b7e151628aed2a6,L1-new-evidence,1,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,16,false,true,false,8,1.10645199,1.10631430,0.00013769,1.10627472,1.10613143,0.03000000
2b7e151628aed2a6,L1-new-evidence,1,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,16,false,true,false,16,1.10188937,1.10190547,-0.00001609,1.10182667,1.10184634,0.04123105
2b7e151628aed2a6,L1-new-evidence,1,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,16,false,true,false,32,1.09565771,1.09538579,0.00027192,1.09577358,1.09551537,0.07549834
2b7e151628aed2a6,L1-new-evidence,1,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,16,false,true,false,64,1.08202124,1.08124781,0.00077343,1.08255303,1.08181977,0.13490738
2b7e151628aed2a6,L1-new-evidence,1,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,1,1.11040628,1.11137617,-0.00096989,1.11015093,1.11112082,0.02000000
2b7e151628aed2a6,L1-new-evidence,1,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,2,1.10956979,1.11045873,-0.00088894,1.10931826,1.11020756,0.02000000
2b7e151628aed2a6,L1-new-evidence,1,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,4,1.10802436,1.10874701,-0.00072265,1.10777068,1.10849380,0.02000000
2b7e151628aed2a6,L1-new-evidence,1,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,8,1.10645199,1.10717523,-0.00072324,1.10627472,1.10699832,0.02000000
2b7e151628aed2a6,L1-new-evidence,1,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,16,1.10188937,1.10249734,-0.00060797,1.10182667,1.10244119,0.05123475
2b7e151628aed2a6,L1-new-evidence,1,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,32,1.09565771,1.09587228,-0.00021458,1.09577358,1.09598672,0.06946222
2b7e151628aed2a6,L1-new-evidence,1,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,64,1.08202124,1.08233726,-0.00031602,1.08255303,1.08289421,0.14008927
2b7e151628aed2a6,L2-shifted-schedule,0,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,8,true,false,false,1,1.11040628,1.11038017,0.00002611,1.11015093,1.11012053,0.03000000
2b7e151628aed2a6,L2-shifted-schedule,0,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,8,true,false,false,2,1.10931420,1.10925555,0.00005865,1.10906029,1.10899711,0.03000000
2b7e151628aed2a6,L2-shifted-schedule,0,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,8,true,false,false,4,1.10776615,1.10763347,0.00013268,1.10750794,1.10737097,0.03000000
2b7e151628aed2a6,L2-shifted-schedule,0,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,8,true,false,false,8,1.10481203,1.10488486,-0.00007284,1.10459387,1.10465467,0.03605551
2b7e151628aed2a6,L2-shifted-schedule,0,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,8,true,false,false,16,1.10192835,1.10214686,-0.00021851,1.10178030,1.10198104,0.08306623
2b7e151628aed2a6,L2-shifted-schedule,0,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,8,true,false,false,32,1.09801686,1.09826100,-0.00024414,1.09804881,1.09826028,0.20566961
2b7e151628aed2a6,L2-shifted-schedule,0,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,8,true,false,false,64,1.08958900,1.09016609,-0.00057709,1.09005415,1.09056890,0.21354154
2b7e151628aed2a6,L2-shifted-schedule,0,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,1,1.11040628,1.11137617,-0.00096989,1.11015093,1.11112082,0.02000000
2b7e151628aed2a6,L2-shifted-schedule,0,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,2,1.10931420,1.11019862,-0.00088441,1.10906029,1.10994470,0.02000000
2b7e151628aed2a6,L2-shifted-schedule,0,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,4,1.10776615,1.10848343,-0.00071728,1.10750794,1.10822570,0.02000000
2b7e151628aed2a6,L2-shifted-schedule,0,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,8,1.10481203,1.10542667,-0.00061464,1.10459387,1.10520911,0.02000000
2b7e151628aed2a6,L2-shifted-schedule,0,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,16,1.10192835,1.10257185,-0.00064349,1.10178030,1.10241687,0.07745966
2b7e151628aed2a6,L2-shifted-schedule,0,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,32,1.09801686,1.09849131,-0.00047445,1.09804881,1.09846437,0.13341664
2b7e151628aed2a6,L2-shifted-schedule,0,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,64,1.08958900,1.09051526,-0.00092626,1.09005415,1.09092939,0.18466185
2b7e151628aed2a6,L2-shifted-schedule,1,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,2,false,true,false,1,1.11040628,1.11038017,0.00002611,1.11015093,1.11012053,0.03000000
2b7e151628aed2a6,L2-shifted-schedule,1,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,2,false,true,false,2,1.10928595,1.10931206,-0.00002611,1.10903370,1.10905552,0.03000000
2b7e151628aed2a6,L2-shifted-schedule,1,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,2,false,true,false,4,1.10747659,1.10742843,0.00004816,1.10722828,1.10717595,0.03000000
2b7e151628aed2a6,L2-shifted-schedule,1,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,2,false,true,false,8,1.10472333,1.10473847,-0.00001514,1.10450554,1.10451698,0.03000000
2b7e151628aed2a6,L2-shifted-schedule,1,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,2,false,true,false,16,1.10186255,1.10167253,0.00019002,1.10169864,1.10148203,0.05477225
2b7e151628aed2a6,L2-shifted-schedule,1,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,2,false,true,false,32,1.09712660,1.09720457,-0.00007796,1.09710729,1.09716702,0.05999999
2b7e151628aed2a6,L2-shifted-schedule,1,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,2,false,true,false,64,1.08633232,1.08693123,-0.00059891,1.08694315,1.08747113,0.14999998
2b7e151628aed2a6,L2-shifted-schedule,1,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,1,1.11040628,1.11137617,-0.00096989,1.11015093,1.11112082,0.02000000
2b7e151628aed2a6,L2-shifted-schedule,1,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,2,1.10928595,1.11020672,-0.00092077,1.10903370,1.10995483,0.02000000
2b7e151628aed2a6,L2-shifted-schedule,1,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,4,1.10747659,1.10822666,-0.00075006,1.10722828,1.10797846,0.02000000
2b7e151628aed2a6,L2-shifted-schedule,1,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,8,1.10472333,1.10537791,-0.00065458,1.10450554,1.10516059,0.02000000
2b7e151628aed2a6,L2-shifted-schedule,1,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,16,1.10186255,1.10205996,-0.00019741,1.10169864,1.10188365,0.02828427
2b7e151628aed2a6,L2-shifted-schedule,1,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,32,1.09712660,1.09739685,-0.00027025,1.09710729,1.09737313,0.03999999
2b7e151628aed2a6,L2-shifted-schedule,1,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,64,1.08633232,1.08670855,-0.00037622,1.08694315,1.08729744,0.07348467
2b7e151628aed2a6,L3-new-evidence-and-schedule,0,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,0,false,false,true,1,1.11040628,1.11038017,0.00002611,1.11015093,1.11012053,0.03000000
2b7e151628aed2a6,L3-new-evidence-and-schedule,0,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,0,false,false,true,2,1.10931420,1.10925555,0.00005865,1.10906029,1.10899711,0.03000000
2b7e151628aed2a6,L3-new-evidence-and-schedule,0,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,0,false,false,true,4,1.10778010,1.10764658,0.00013351,1.10752356,1.10738575,0.03000000
2b7e151628aed2a6,L3-new-evidence-and-schedule,0,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,0,false,false,true,8,1.10482323,1.10477006,0.00005317,1.10460687,1.10455191,0.01000001
2b7e151628aed2a6,L3-new-evidence-and-schedule,0,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,0,false,false,true,16,1.10214734,1.10180497,0.00034237,1.10199380,1.10163224,0.04242641
2b7e151628aed2a6,L3-new-evidence-and-schedule,0,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,0,false,false,true,32,1.09813344,1.09751618,0.00061727,1.09815586,1.09752989,0.13638180
2b7e151628aed2a6,L3-new-evidence-and-schedule,0,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,0,false,false,true,64,1.08967245,1.08894944,0.00072300,1.09016335,1.08939314,0.13076696
2b7e151628aed2a6,L3-new-evidence-and-schedule,0,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,1,1.11040628,1.11137617,-0.00096989,1.11015093,1.11112082,0.02000000
2b7e151628aed2a6,L3-new-evidence-and-schedule,0,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,2,1.10931420,1.11019862,-0.00088441,1.10906029,1.10994470,0.02000000
2b7e151628aed2a6,L3-new-evidence-and-schedule,0,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,4,1.10778010,1.10849774,-0.00071764,1.10752356,1.10824192,0.02000000
2b7e151628aed2a6,L3-new-evidence-and-schedule,0,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,8,1.10482323,1.10550666,-0.00068343,1.10460687,1.10529077,0.02000000
2b7e151628aed2a6,L3-new-evidence-and-schedule,0,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,16,1.10214734,1.10216892,-0.00002158,1.10199380,1.10200930,0.04582575
2b7e151628aed2a6,L3-new-evidence-and-schedule,0,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,32,1.09813344,1.09792483,0.00020862,1.09815586,1.09793532,0.18574174
2b7e151628aed2a6,L3-new-evidence-and-schedule,0,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,64,1.08967245,1.08967328,-0.00000083,1.09016335,1.09012330,0.16155492
2b7e151628aed2a6,L3-new-evidence-and-schedule,1,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,0,false,false,true,1,1.11040628,1.11038017,0.00002611,1.11015093,1.11012053,0.03000000
2b7e151628aed2a6,L3-new-evidence-and-schedule,1,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,0,false,false,true,2,1.10951889,1.10945547,0.00006342,1.10926282,1.10919511,0.03000000
2b7e151628aed2a6,L3-new-evidence-and-schedule,1,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,0,false,false,true,4,1.10778022,1.10764205,0.00013816,1.10752738,1.10738480,0.03000000
2b7e151628aed2a6,L3-new-evidence-and-schedule,1,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,0,false,false,true,8,1.10619307,1.10605466,0.00013840,1.10602641,1.10588408,0.03000000
2b7e151628aed2a6,L3-new-evidence-and-schedule,1,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,0,false,false,true,16,1.10212910,1.10185492,0.00027418,1.10205007,1.10175490,0.03162277
2b7e151628aed2a6,L3-new-evidence-and-schedule,1,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,0,false,false,true,32,1.09728718,1.09717119,0.00011599,1.09742141,1.09731472,0.06244997
2b7e151628aed2a6,L3-new-evidence-and-schedule,1,0,control_a,true,0.00096989,0.00007677,0.00099599,0.00002611,true,0,false,false,true,64,1.08471823,1.08425570,0.00046253,1.08532882,1.08487213,0.08440971
2b7e151628aed2a6,L3-new-evidence-and-schedule,1,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,1,1.11040628,1.11137617,-0.00096989,1.11015093,1.11112082,0.02000000
2b7e151628aed2a6,L3-new-evidence-and-schedule,1,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,2,1.10951889,1.11040628,-0.00088739,1.10926282,1.11015093,0.02000000
2b7e151628aed2a6,L3-new-evidence-and-schedule,1,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,4,1.10778022,1.10849679,-0.00071657,1.10752738,1.10824406,0.02000000
2b7e151628aed2a6,L3-new-evidence-and-schedule,1,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,8,1.10619307,1.10694015,-0.00074708,1.10602641,1.10677445,0.04472135
2b7e151628aed2a6,L3-new-evidence-and-schedule,1,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,16,1.10212910,1.10210776,0.00002134,1.10205007,1.10198307,0.13304134
2b7e151628aed2a6,L3-new-evidence-and-schedule,1,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,32,1.09728718,1.09796047,-0.00067329,1.09742141,1.09797275,0.25709918
2b7e151628aed2a6,L3-new-evidence-and-schedule,1,0,control_b,false,0.00096989,0.00007677,0.00000000,0.00000000,false,0,false,false,false,64,1.08471823,1.08794856,-0.00323033,1.08532882,1.08845270,0.34803012
2b7e151628aed2a6,L0-original,0,50,control_a,true,0.00032341,0.00011647,0.00032699,0.00000358,true,2,false,true,false,1,1.09102809,1.09102452,0.00000358,1.09116483,1.09116161,0.00500000
2b7e151628aed2a6,L0-original,0,50,control_a,true,0.00032341,0.00011647,0.00032699,0.00000358,true,2,false,true,false,2,1.09058368,1.09058475,-0.00000107,1.09073889,1.09073651,0.00500000
2b7e151628aed2a6,L0-original,0,50,control_a,true,0.00032341,0.00011647,0.00032699,0.00000358,true,2,false,true,false,4,1.08998334,1.08995283,0.00003052,1.09013069,1.09011054,0.00500000
2b7e151628aed2a6,L0-original,0,50,control_a,true,0.00032341,0.00011647,0.00032699,0.00000358,true,2,false,true,false,8,1.08849680,1.08849907,-0.00000226,1.08869517,1.08869898,0.00500000
2b7e151628aed2a6,L0-original,0,50,control_a,true,0.00032341,0.00011647,0.00032699,0.00000358,true,2,false,true,false,16,1.08553100,1.08592474,-0.00039375,1.08587992,1.08632016,0.05024937
2b7e151628aed2a6,L0-original,0,50,control_a,true,0.00032341,0.00011647,0.00032699,0.00000358,true,2,false,true,false,32,1.07938898,1.07985699,-0.00046802,1.08013356,1.08060992,0.09962430
2b7e151628aed2a6,L0-original,0,50,control_a,true,0.00032341,0.00011647,0.00032699,0.00000358,true,2,false,true,false,64,1.06285429,1.06414449,-0.00129020,1.06436408,1.06571925,0.14008927
2b7e151628aed2a6,L0-original,0,50,control_b,true,0.00032341,0.00011647,0.00029695,0.00002646,false,0,false,false,false,1,1.09102809,1.09105456,-0.00002646,1.09116483,1.09118032,0.02872281
2b7e151628aed2a6,L0-original,0,50,control_b,true,0.00032341,0.00011647,0.00029695,0.00002646,false,0,false,false,false,2,1.09058368,1.09061158,-0.00002789,1.09073889,1.09074628,0.02872281
2b7e151628aed2a6,L0-original,0,50,control_b,true,0.00032341,0.00011647,0.00029695,0.00002646,false,0,false,false,false,4,1.08998334,1.09000134,-0.00001800,1.09013069,1.09016573,0.02872281
2b7e151628aed2a6,L0-original,0,50,control_b,true,0.00032341,0.00011647,0.00029695,0.00002646,false,0,false,false,false,8,1.08849680,1.08854210,-0.00004530,1.08869517,1.08873463,0.04031128
2b7e151628aed2a6,L0-original,0,50,control_b,true,0.00032341,0.00011647,0.00029695,0.00002646,false,0,false,false,false,16,1.08553100,1.08596241,-0.00043142,1.08587992,1.08632994,0.07297260
2b7e151628aed2a6,L0-original,0,50,control_b,true,0.00032341,0.00011647,0.00029695,0.00002646,false,0,false,false,false,32,1.07938898,1.07984483,-0.00045586,1.08013356,1.08053470,0.09013878
2b7e151628aed2a6,L0-original,0,50,control_b,true,0.00032341,0.00011647,0.00029695,0.00002646,false,0,false,false,false,64,1.06285429,1.06296980,-0.00011551,1.06436408,1.06440783,0.15402927
2b7e151628aed2a6,L1-new-evidence,0,50,control_a,true,0.00032341,0.00011647,0.00032699,0.00000358,true,2,false,true,false,1,1.09102809,1.09102452,0.00000358,1.09116483,1.09116161,0.00500000
2b7e151628aed2a6,L1-new-evidence,0,50,control_a,true,0.00032341,0.00011647,0.00032699,0.00000358,true,2,false,true,false,2,1.09058368,1.09058475,-0.00000107,1.09073889,1.09073651,0.00500000
2b7e151628aed2a6,L1-new-evidence,0,50,control_a,true,0.00032341,0.00011647,0.00032699,0.00000358,true,2,false,true,false,4,1.08998334,1.08995283,0.00003052,1.09013069,1.09011054,0.00500000
2b7e151628aed2a6,L1-new-evidence,0,50,control_a,true,0.00032341,0.00011647,0.00032699,0.00000358,true,2,false,true,false,8,1.08874357,1.08869803,0.00004554,1.08893812,1.08889282,0.00500000
2b7e151628aed2a6,L1-new-evidence,0,50,control_a,true,0.00032341,0.00011647,0.00032699,0.00000358,true,2,false,true,false,16,1.08528793,1.08525681,0.00003111,1.08560765,1.08557510,0.00500000
2b7e151628aed2a6,L1-new-evidence,0,50,control_a,true,0.00032341,0.00011647,0.00032699,0.00000358,true,2,false,true,false,32,1.07920134,1.07921207,-0.00001073,1.07989466,1.07990253,0.00500000
2b7e151628aed2a6,L1-new-evidence,0,50,control_a,true,0.00032341,0.00011647,0.00032699,0.00000358,true,2,false,true,false,64,1.06340671,1.06285155,0.00055516,1.06497204,1.06437552,0.09178779
2b7e151628aed2a6,L1-new-evidence,0,50,control_b,true,0.00032341,0.00011647,0.00029695,0.00002646,false,0,false,false,false,1,1.09102809,1.09105456,-0.00002646,1.09116483,1.09118032,0.02872281
2b7e151628aed2a6,L1-new-evidence,0,50,control_b,true,0.00032341,0.00011647,0.00029695,0.00002646,false,0,false,false,false,2,1.09058368,1.09061158,-0.00002789,1.09073889,1.09074628,0.02872281
2b7e151628aed2a6,L1-new-evidence,0,50,control_b,true,0.00032341,0.00011647,0.00029695,0.00002646,false,0,false,false,false,4,1.08998334,1.09000134,-0.00001800,1.09013069,1.09016573,0.02872281
2b7e151628aed2a6,L1-new-evidence,0,50,control_b,true,0.00032341,0.00011647,0.00029695,0.00002646,false,0,false,false,false,8,1.08874357,1.08857310,0.00017047,1.08893812,1.08877218,0.03354102
2b7e151628aed2a6,L1-new-evidence,0,50,control_b,true,0.00032341,0.00011647,0.00029695,0.00002646,false,0,false,false,false,16,1.08528793,1.08559656,-0.00030863,1.08560765,1.08588278,0.07500000
2b7e151628aed2a6,L1-new-evidence,0,50,control_b,true,0.00032341,0.00011647,0.00029695,0.00002646,false,0,false,false,false,32,1.07920134,1.07994115,-0.00073981,1.07989466,1.08057225,0.08732124
2b7e151628aed2a6,L1-new-evidence,0,50,control_b,true,0.00032341,0.00011647,0.00029695,0.00002646,false,0,false,false,false,64,1.06340671,1.06422973,-0.00082302,1.06497204,1.06577575,0.14637281
2b7e151628aed2a6,L1-new-evidence,1,50,control_a,true,0.00032341,0.00011647,0.00032699,0.00000358,true,2,true,false,false,1,1.09102809,1.09102452,0.00000358,1.09116483,1.09116161,0.00500000
2b7e151628aed2a6,L1-new-evidence,1,50,control_a,true,0.00032341,0.00011647,0.00032699,0.00000358,true,2,true,false,false,2,1.09058368,1.09058475,-0.00000107,1.09073889,1.09073651,0.00500000
2b7e151628aed2a6,L1-new-evidence,1,50,control_a,true,0.00032341,0.00011647,0.00032699,0.00000358,true,2,true,false,false,4,1.08995616,1.08998883,-0.00003266,1.09016240,1.09019911,0.04031130
2b7e151628aed2a6,L1-new-evidence,1,50,control_a,true,0.00032341,0.00011647,0.00032699,0.00000358,true,2,true,false,false,8,1.08878446,1.08884084,-0.00005639,1.08905625,1.08911598,0.04924428
2b7e151628aed2a6,L1-new-evidence,1,50,control_a,true,0.00032341,0.00011647,0.00032699,0.00000358,true,2,true,false,false,16,1.08513033,1.08534157,-0.00021124,1.08547819,1.08568418,0.06344288
