arm,seed,final_train_loss,final_validation_loss,final_train_accuracy,final_validation_accuracy,final_mse,proposal_evaluations,compound_evaluations,committed_programs,committed_primitives,ever_pairs,possible_pairs,rounds,shortlist_misses,verification_noise,scheduler_misorders,mean_reference_regret,max_reference_regret
E5-independent-m2,2b7e151628aed2a6,0.44892240,0.47763100,0.77083331,0.75000000,0.56250000,4132800,1176000,4800,9564,7503,7503,4800,45,59,28,0.00134877,0.01227266
E5-independent-m2,77a19d3c4e280b51,0.29938599,0.32033899,0.88541669,0.87500000,0.25000000,4132800,1176000,4800,9575,7503,7503,4800,54,67,24,0.00114717,0.00785911
E5-independent-m2,1111222233334444,0.42686513,0.45228401,0.81250000,0.81250000,0.25000000,4132800,1176000,4800,9570,7503,7503,4800,45,65,21,0.00115382,0.00480086
E6-independent-m4,2b7e151628aed2a6,0.36421022,0.38658750,0.90625000,0.87500000,0.31250000,4132800,1176000,4800,9560,7503,7503,4800,45,57,28,0.00165546,0.00741565
E6-independent-m4,77a19d3c4e280b51,0.36392131,0.38979375,0.86458331,0.85416669,0.33333334,4132800,1176000,4800,9562,7503,7503,4800,61,63,30,0.00174303,0.01330951
E6-independent-m4,1111222233334444,0.32993877,0.35217300,0.90625000,0.91666669,0.08333334,4132800,1176000,4800,9571,7503,7503,4800,54,61,31,0.00128653,0.00730669
E7-independent-m8,2b7e151628aed2a6,0.49212262,0.51795143,0.80208331,0.79166669,0.58333331,4132800,1176000,4800,9572,7503,7503,4800,60,64,27,0.00190536,0.00994122
E7-independent-m8,77a19d3c4e280b51,0.26429287,0.28963372,0.94791669,0.93750000,0.18750000,4132800,1176000,4800,9572,7503,7503,4800,56,64,27,0.00176054,0.01032370
E7-independent-m8,1111222233334444,0.31226641,0.33250520,0.89583331,0.87500000,0.25000000,4132800,1176000,4800,9574,7503,7503,4800,53,55,33,0.00210583,0.00816828
E8-full-m1,2b7e151628aed2a6,0.00481977,0.01508081,1.00000000,1.00000000,0.00000000,4132800,1176000,4800,9570,7503,7503,4800,64,8,54,0.00003283,0.00031909
E8-full-m1,77a19d3c4e280b51,0.00392719,0.01213798,1.00000000,1.00000000,0.00000000,4132800,1176000,4800,9579,7503,7503,4800,64,17,46,0.00003614,0.00027192
E8-full-m1,1111222233334444,0.00053951,0.00160949,1.00000000,1.00000000,0.00000000,4132800,1176000,4800,9564,7503,7503,4800,63,12,51,0.00004365,0.00042152
E9-full-m2,2b7e151628aed2a6,0.00456558,0.00973532,1.00000000,1.00000000,0.00000000,4132800,1176000,4800,9569,7503,7503,4800,67,10,57,0.00004952,0.00056502
E9-full-m2,77a19d3c4e280b51,0.00807707,0.01439921,1.00000000,1.00000000,0.00000000,4132800,1176000,4800,9574,7503,7503,4800,70,11,59,0.00003837,0.00034356
E9-full-m2,1111222233334444,0.00318465,0.00601073,1.00000000,1.00000000,0.00000000,4132800,1176000,4800,9568,7503,7503,4800,70,14,55,0.00005094,0.00045747
E10-full-m4,2b7e151628aed2a6,0.00374085,0.00646452,1.00000000,1.00000000,0.00000000,4132800,1176000,4800,9576,7503,7503,4800,65,9,55,0.00005758,0.00053477
E10-full-m4,77a19d3c4e280b51,0.00744008,0.01458311,1.00000000,1.00000000,0.00000000,4132800,1176000,4799,9567,7503,7503,4800,71,16,55,0.00006173,0.00048289
E10-full-m4,1111222233334444,0.00339942,0.00619198,1.00000000,1.00000000,0.00000000,4132800,1176000,4798,9563,7503,7503,4800,72,13,59,0.00004837,0.00032577
E11-full-m8,2b7e151628aed2a6,0.00299656,0.00521668,1.00000000,1.00000000,0.00000000,4132800,1176000,4791,9552,7503,7503,4800,71,22,49,0.00008356,0.00073004
E11-full-m8,77a19d3c4e280b51,0.00250648,0.00522485,1.00000000,1.00000000,0.00000000,4132800,1176000,4800,9570,7503,7503,4800,75,15,59,0.00007635,0.00039369
E11-full-m8,1111222233334444,0.00282008,0.00591528,1.00000000,1.00000000,0.00000000,4132800,1176000,4799,9566,7503,7503,4800,79,21,57,0.00007939,0.00055921
E12-adamw,2b7e151628aed2a6,0.00026558,0.00071143,1.00000000,1.00000000,0.00000000,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
E12-adamw,77a19d3c4e280b51,0.00019948,0.00435707,1.00000000,1.00000000,0.00000000,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
E12-adamw,1111222233334444,0.00013360,0.00098291,1.00000000,1.00000000,0.00000000,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
E13-sign,2b7e151628aed2a6,0.15240337,0.19579625,0.95833331,0.93750000,0.12500000,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
E13-sign,77a19d3c4e280b51,0.19102831,0.24640729,0.96875000,0.95833331,0.04166667,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
E13-sign,1111222233334444,0.09160417,0.10434081,0.97916669,0.95833331,0.10416666,0,0,0,0,0,7503,0,0,0,0,0.00000000,0.00000000
