role,seed,step,action_split,block,left_parameter,right_parameter,left_rank,right_rank,left_delta,right_delta,exact_train_utility
development,8a6d39c17f02b4e5,600,evaluation,31,15,76,0,1,0.02000000,-0.01000000,1.552756875753e-4
development,8a6d39c17f02b4e5,600,evaluation,31,15,76,1,0,0.01000000,-0.02000000,1.337372959824e-4
development,8a6d39c17f02b4e5,600,evaluation,32,16,75,0,1,0.01000000,-0.01000000,-3.668299468700e-4
development,8a6d39c17f02b4e5,600,evaluation,32,16,75,1,0,0.00500000,-0.02000000,-2.442840486765e-4
development,8a6d39c17f02b4e5,600,evaluation,33,17,74,0,0,0.02000000,-0.02000000,-1.966767013073e-4
development,8a6d39c17f02b4e5,600,evaluation,33,17,74,1,1,0.01000000,-0.01000000,-9.355942165712e-5
development,8a6d39c17f02b4e5,600,evaluation,34,18,73,0,0,-0.02000000,-0.02000000,2.260009495103e-7
development,8a6d39c17f02b4e5,600,evaluation,34,18,73,1,1,-0.01000000,-0.01000000,1.324526965618e-5
development,8a6d39c17f02b4e5,600,evaluation,35,19,72,0,0,0.02000000,0.02000000,-7.606111466885e-5
development,8a6d39c17f02b4e5,600,evaluation,35,19,72,1,1,0.01000000,0.01000000,-3.579507392715e-5
development,8a6d39c17f02b4e5,600,evaluation,36,20,71,0,1,0.02000000,0.01000000,3.084366617259e-4
development,8a6d39c17f02b4e5,600,evaluation,36,20,71,1,0,0.01000000,0.02000000,2.057471574517e-4
development,8a6d39c17f02b4e5,600,evaluation,37,21,70,0,0,-0.02000000,0.02000000,-4.642891508411e-5
development,8a6d39c17f02b4e5,600,evaluation,37,21,70,1,1,-0.01000000,0.01000000,6.016343832016e-7
development,8a6d39c17f02b4e5,600,evaluation,38,22,69,0,0,-0.02000000,-0.02000000,-1.468248665333e-4
development,8a6d39c17f02b4e5,600,evaluation,38,22,69,1,1,-0.01000000,-0.01000000,-5.199573934078e-5
development,8a6d39c17f02b4e5,600,evaluation,39,23,68,0,0,-0.02000000,-0.02000000,-1.017078757286e-4
development,8a6d39c17f02b4e5,600,evaluation,39,23,68,1,1,-0.01000000,-0.01000000,1.179551054520e-5
development,8a6d39c17f02b4e5,600,evaluation,40,24,67,0,1,-0.02000000,-0.01000000,-1.788592635421e-4
development,8a6d39c17f02b4e5,600,evaluation,40,24,67,1,0,-0.01000000,-0.02000000,-9.201591456076e-5
development,8a6d39c17f02b4e5,600,evaluation,41,25,66,0,1,0.02000000,-0.01000000,8.986021384771e-6
development,8a6d39c17f02b4e5,600,evaluation,41,25,66,1,0,0.01000000,-0.02000000,-1.728907227516e-5
development,8a6d39c17f02b4e5,600,evaluation,42,26,65,0,0,0.02000000,-0.02000000,-4.768371582031e-7
development,8a6d39c17f02b4e5,600,evaluation,42,26,65,1,1,0.01000000,-0.01000000,3.772291165660e-5
development,8a6d39c17f02b4e5,600,evaluation,43,27,64,0,0,0.02000000,-0.02000000,3.872811794281e-5
development,8a6d39c17f02b4e5,600,evaluation,43,27,64,1,1,0.01000000,-0.01000000,1.983034053410e-5
development,8a6d39c17f02b4e5,600,evaluation,44,28,63,0,1,0.02000000,-0.01000000,6.595253944397e-5
development,8a6d39c17f02b4e5,600,evaluation,44,28,63,1,0,0.01000000,-0.02000000,6.360188126564e-5
development,8a6d39c17f02b4e5,600,evaluation,45,29,62,0,1,-0.02000000,-0.00500000,-1.176639125333e-4
development,8a6d39c17f02b4e5,600,evaluation,45,29,62,1,0,-0.01000000,-0.01000000,1.179675223284e-6
development,8a6d39c17f02b4e5,600,evaluation,46,30,61,0,1,-0.02000000,-0.01000000,1.683166919975e-4
development,8a6d39c17f02b4e5,600,evaluation,46,30,61,1,0,-0.01000000,-0.02000000,-2.817250788212e-5
development,8a6d39c17f02b4e5,600,evaluation,47,31,60,0,0,-0.02000000,0.02000000,1.186324880109e-4
development,8a6d39c17f02b4e5,600,evaluation,47,31,60,1,1,-0.01000000,0.01000000,6.095940989326e-5
development,8a6d39c17f02b4e5,600,evaluation,48,32,59,0,0,0.02000000,0.02000000,-1.864141522674e-4
development,8a6d39c17f02b4e5,600,evaluation,48,32,59,1,1,0.01000000,0.01000000,-9.298883378506e-5
development,8a6d39c17f02b4e5,600,evaluation,49,33,58,0,1,-0.02000000,0.01000000,1.019624396577e-4
development,8a6d39c17f02b4e5,600,evaluation,49,33,58,1,0,-0.01000000,0.02000000,1.794211566448e-4
development,8a6d39c17f02b4e5,600,evaluation,50,34,57,0,0,-0.02000000,0.02000000,-2.200324088335e-4
development,8a6d39c17f02b4e5,600,evaluation,50,34,57,1,1,-0.01000000,0.01000000,-1.075367108569e-4
development,8a6d39c17f02b4e5,600,evaluation,51,35,56,0,0,-0.02000000,-0.02000000,-1.866215170594e-4
development,8a6d39c17f02b4e5,600,evaluation,51,35,56,1,1,-0.01000000,-0.01000000,-9.304285049438e-5
development,8a6d39c17f02b4e5,600,evaluation,52,36,55,0,1,-0.02000000,-0.02000000,4.752476888825e-5
development,8a6d39c17f02b4e5,600,evaluation,52,36,55,1,0,-0.01000000,0.00000000,2.405792474747e-5
development,8a6d39c17f02b4e5,600,evaluation,53,37,54,0,1,0.02000000,-0.02000000,-1.750451774569e-4
development,8a6d39c17f02b4e5,600,evaluation,53,37,54,1,0,0.01000000,0.00000000,-8.740462362766e-5
development,8a6d39c17f02b4e5,600,evaluation,54,38,53,0,1,0.02000000,-0.02000000,2.341518847970e-4
development,8a6d39c17f02b4e5,600,evaluation,54,38,53,1,0,0.01000000,0.00000000,1.172690317617e-4
development,8a6d39c17f02b4e5,600,evaluation,55,39,52,0,1,0.02000000,-0.02000000,9.475523984293e-5
development,8a6d39c17f02b4e5,600,evaluation,55,39,52,1,0,0.01000000,0.00000000,4.765950143337e-5
development,8a6d39c17f02b4e5,600,evaluation,56,40,51,0,0,0.00000000,0.00000000,0.000000000000e0
development,8a6d39c17f02b4e5,600,evaluation,56,40,51,1,1,-0.02000000,-0.02000000,-3.395602107048e-6
development,8a6d39c17f02b4e5,600,evaluation,57,41,50,0,1,0.00000000,-0.02000000,0.000000000000e0
development,8a6d39c17f02b4e5,600,evaluation,57,41,50,1,0,-0.02000000,0.00000000,0.000000000000e0
development,8a6d39c17f02b4e5,600,evaluation,58,42,49,0,0,-0.02000000,0.00000000,-7.464177906513e-5
development,8a6d39c17f02b4e5,600,evaluation,58,42,49,1,1,-0.01000000,-0.02000000,-3.589254993130e-5
development,8a6d39c17f02b4e5,600,evaluation,59,43,48,0,1,-0.02000000,-0.02000000,-6.500631570816e-6
development,8a6d39c17f02b4e5,600,evaluation,59,43,48,1,0,-0.01000000,0.00000000,-3.252178430557e-6
development,8a6d39c17f02b4e5,600,evaluation,60,44,47,0,0,-0.02000000,0.00000000,8.967394933279e-6
development,8a6d39c17f02b4e5,600,evaluation,60,44,47,1,1,-0.01000000,-0.02000000,-1.120132674259e-5
development,8a6d39c17f02b4e5,600,evaluation,61,45,46,0,0,0.00000000,-0.02000000,4.470348358154e-8
development,8a6d39c17f02b4e5,600,evaluation,61,45,46,1,1,-0.02000000,-0.01000000,-1.722946763039e-6
development,8a6d39c17f02b4e5,2400,development,1,63,61,0,1,-0.02000000,0.01000000,2.275363804074e-4
development,8a6d39c17f02b4e5,2400,development,1,63,61,1,0,-0.01000000,0.02000000,1.914588065119e-4
development,8a6d39c17f02b4e5,2400,development,2,64,60,0,1,-0.02000000,0.02000000,2.883250454033e-5
development,8a6d39c17f02b4e5,2400,development,2,64,60,1,0,-0.01000000,0.01000000,3.559856486390e-5
development,8a6d39c17f02b4e5,2400,development,3,65,59,0,1,0.02000000,-0.01000000,1.602029988135e-5
development,8a6d39c17f02b4e5,2400,development,3,65,59,1,0,0.01000000,-0.02000000,3.427484261920e-5
development,8a6d39c17f02b4e5,2400,development,4,66,58,0,1,-0.02000000,0.01000000,9.674640750745e-5
development,8a6d39c17f02b4e5,2400,development,4,66,58,1,0,-0.01000000,0.02000000,1.555941998959e-4
