method,seed,n_states,within_stratum_utility_variance,predicted_finite_population_rmse,observed_panel_rmse,sign_error_rate,cross_block_regret,selected_program_regret,false_authorization_rate
hash_placebo_mean,d43c6a107e95b281,3,4.876186114592e-5,6.514699458233e-4,6.618967995108e-4,0.290641804,4.228478717370e-4,6.072077837563e-4,0.122395833
input_only,205ad7c3918e64fb,3,3.121300824970e-5,4.976407983575e-4,5.153492498124e-4,0.193288319,4.299469541138e-4,4.914257298575e-4,0.036458333
input_only,3bc9704ea251d68f,3,4.395874014320e-5,5.918961269987e-4,6.006572124251e-4,0.282103595,5.817497590215e-4,8.499150476003e-4,0.171875000
input_only,5e8f13a2c64970bd,3,3.518317777515e-5,5.336775252612e-4,5.448957982273e-4,0.181716461,4.490523133166e-4,4.692635318785e-4,0.057291667
input_only,96e104bd3c72a85f,3,2.920611239033e-5,4.893415990359e-4,4.747423783321e-4,0.245321621,5.257692920016e-4,6.158185872209e-4,0.104166667
input_only,a17c2d48f03695e2,3,3.274473726279e-5,5.101779321907e-4,5.201169551822e-4,0.196655254,4.345764294461e-4,4.853177349939e-4,0.156250000
input_only,d43c6a107e95b281,3,3.653178037177e-5,5.367362656846e-4,5.300544768124e-4,0.233200937,3.467338466028e-4,4.800368951692e-4,0.098958333
state_stats,205ad7c3918e64fb,3,3.847628822412e-5,5.639407727654e-4,5.537628663147e-4,0.212178753,4.434103431568e-4,5.466662752459e-4,0.093750000
state_stats,3bc9704ea251d68f,3,5.626029073561e-5,6.764607692112e-4,6.597145269314e-4,0.296340022,6.074144751077e-4,8.714255614564e-4,0.213541667
state_stats,5e8f13a2c64970bd,3,5.221740778356e-5,6.573859841308e-4,6.340239467068e-4,0.223877251,6.510681415553e-4,7.324029660616e-4,0.078125000
state_stats,96e104bd3c72a85f,3,3.881348908480e-5,5.703063257466e-4,5.827939033775e-4,0.269294631,6.102350511507e-4,7.497514345687e-4,0.151041667
state_stats,a17c2d48f03695e2,3,4.340134145292e-5,5.976515649893e-4,6.084196806543e-4,0.250743918,5.855154180002e-4,6.716684265484e-4,0.260416667
state_stats,d43c6a107e95b281,3,4.734071693965e-5,6.190085330647e-4,6.356779090096e-4,0.265141875,4.118096299711e-4,5.754988504047e-4,0.114583333
