role,seed,step,action_split,block,left_parameter,right_parameter,left_rank,right_rank,left_delta,right_delta,utility_alpha_0_5,utility_alpha_1,utility_alpha_2
development,1e27c8d46a90b35f,600,development,11,97,75,1,1,0.01000000,0.01000000,1.724809408188e-6,5.122894890519e-6,1.340856124443e-5
development,1e27c8d46a90b35f,600,development,12,98,74,0,1,0.02000000,0.01000000,3.012561646756e-4,5.959601257928e-4,1.168817281723e-3
development,1e27c8d46a90b35f,600,development,12,98,74,1,0,0.01000000,0.02000000,1.511735172244e-4,3.103868511971e-4,6.265112315305e-4
development,1e27c8d46a90b35f,600,development,13,99,73,0,0,0.02000000,0.02000000,-1.237479300471e-4,-2.500017581042e-4,-5.064637516625e-4
development,1e27c8d46a90b35f,600,development,13,99,73,1,1,0.01000000,0.01000000,-6.156476592878e-5,-1.237479300471e-4,-2.500017581042e-4
development,1e27c8d46a90b35f,600,development,14,100,72,0,0,-0.02000000,0.02000000,-1.044012606144e-5,-2.183516880905e-5,-4.747323691845e-5
development,1e27c8d46a90b35f,600,development,14,100,72,1,1,-0.01000000,0.01000000,-5.098059773445e-6,-1.044012606144e-5,-2.183516880905e-5
development,1e27c8d46a90b35f,600,development,15,101,71,0,0,0.02000000,0.02000000,-5.042615157436e-5,-5.970460551907e-5,-9.687058627605e-5
development,1e27c8d46a90b35f,600,development,15,101,71,1,1,0.01000000,0.01000000,-2.608262002468e-5,-5.042615157436e-5,-5.970460551907e-5
development,1e27c8d46a90b35f,600,development,16,102,70,0,0,0.02000000,0.02000000,-5.996103209327e-5,-1.248680055141e-4,-2.785983087961e-4
development,1e27c8d46a90b35f,600,development,16,102,70,1,1,0.01000000,0.01000000,-2.981349825859e-5,-5.996103209327e-5,-1.248680055141e-4
development,1e27c8d46a90b35f,600,development,17,103,69,0,0,0.02000000,-0.02000000,4.855096340179e-4,9.678769856691e-4,1.931921928190e-3
development,1e27c8d46a90b35f,600,development,17,103,69,1,1,0.01000000,-0.01000000,2.435377537040e-4,4.855096340179e-4,9.678769856691e-4
development,1e27c8d46a90b35f,600,development,18,104,68,0,1,0.02000000,-0.01000000,1.426413655281e-5,2.836560270225e-5,4.566584902932e-5
development,1e27c8d46a90b35f,600,development,18,104,68,1,0,0.01000000,-0.02000000,5.157664418221e-6,9.745980605658e-6,-1.792671719159e-5
development,1e27c8d46a90b35f,600,development,19,105,67,0,0,0.00000000,-0.02000000,-2.210835555161e-5,-4.358403384686e-5,-8.922815322876e-5
development,1e27c8d46a90b35f,600,development,19,105,67,1,1,-0.02000000,-0.01000000,-1.139380037785e-5,-2.210835555161e-5,-4.358403384686e-5
development,1e27c8d46a90b35f,600,development,20,106,66,0,1,0.00000000,0.01000000,-1.591692307557e-5,-3.605273741414e-5,-2.168298960896e-4
development,1e27c8d46a90b35f,600,development,20,106,66,1,0,-0.02000000,0.02000000,8.412326678808e-6,-1.358942390652e-4,-5.383398383856e-4
development,1e27c8d46a90b35f,600,development,21,107,65,0,1,0.02000000,-0.01000000,-4.647299647331e-6,-1.291309763474e-5,-3.648487108876e-5
development,1e27c8d46a90b35f,600,development,21,107,65,1,0,0.01000000,-0.02000000,-2.957011201943e-5,-5.559126657317e-5,-1.343122421531e-4
development,1e27c8d46a90b35f,600,development,22,108,64,0,0,0.02000000,-0.02000000,-8.404254913330e-5,-1.536601484986e-4,-2.324096858501e-4
development,1e27c8d46a90b35f,600,development,22,108,64,1,1,0.01000000,-0.01000000,-4.164315760136e-5,-8.404254913330e-5,-1.536601484986e-4
development,1e27c8d46a90b35f,600,development,23,109,63,0,1,0.00000000,-0.01000000,-3.006123006344e-5,-5.924391371082e-5,-6.025905531715e-5
development,1e27c8d46a90b35f,600,development,23,109,63,1,0,-0.02000000,-0.02000000,-5.924391371082e-5,-6.025905531715e-5,-5.293513459037e-5
development,1e27c8d46a90b35f,600,development,24,110,62,0,0,0.02000000,-0.02000000,-1.460375915485e-5,-3.966068106820e-5,-1.588569284650e-4
development,1e27c8d46a90b35f,600,development,24,110,62,1,1,0.01000000,-0.01000000,-6.384526841430e-6,-1.460375915485e-5,-3.966068106820e-5
development,1e27c8d46a90b35f,600,development,25,111,61,0,0,0.02000000,0.02000000,1.007833852782e-4,2.271632401971e-4,3.898367285728e-4
development,1e27c8d46a90b35f,600,development,25,111,61,1,1,0.01000000,0.01000000,5.128979682922e-5,1.007833852782e-4,2.271632401971e-4
development,1e27c8d46a90b35f,600,development,26,112,60,0,1,0.00000000,-0.01000000,1.394084392814e-4,2.793657185975e-4,5.901902914047e-4
development,1e27c8d46a90b35f,600,development,26,112,60,1,0,-0.02000000,-0.02000000,2.793657185975e-4,5.901902914047e-4,1.194973126985e-3
development,1e27c8d46a90b35f,600,development,27,113,59,0,1,0.00000000,-0.00500000,-6.496906280518e-6,-1.260017324967e-5,-2.526057323848e-5
development,1e27c8d46a90b35f,600,development,27,113,59,1,0,-0.02000000,0.00000000,0.000000000000e0,0.000000000000e0,0.000000000000e0
development,1e27c8d46a90b35f,600,development,28,114,58,0,1,0.00000000,0.02000000,1.837797462940e-4,3.639366477728e-4,7.140226662159e-4
development,1e27c8d46a90b35f,600,development,28,114,58,1,0,-0.02000000,-0.02000000,-1.557463110657e-4,-2.652425318956e-4,-5.675479769707e-4
development,1e27c8d46a90b35f,600,development,29,115,57,0,1,0.00000000,0.01000000,1.542574464111e-4,3.004545869771e-4,5.946134333499e-4
development,1e27c8d46a90b35f,600,development,29,115,57,1,0,-0.02000000,0.02000000,3.004545869771e-4,5.946134333499e-4,1.169471652247e-3
development,1e27c8d46a90b35f,600,development,30,116,56,0,0,0.00000000,0.02000000,3.366948512848e-4,6.729997694492e-4,1.322928234003e-3
development,1e27c8d46a90b35f,600,development,30,116,56,1,1,-0.02000000,0.01000000,1.684986054897e-4,3.366948512848e-4,6.729997694492e-4
development,1e27c8d46a90b35f,600,development,31,117,55,0,0,0.00000000,-0.02000000,4.163135963609e-5,7.353039836744e-5,1.202883795486e-4
development,1e27c8d46a90b35f,600,development,31,117,55,1,1,-0.02000000,-0.01000000,2.175942063332e-5,4.163135963609e-5,7.353039836744e-5
development,1e27c8d46a90b35f,600,development,32,118,54,0,0,0.00000000,0.02000000,9.030289947987e-5,1.725591719151e-4,3.186122921761e-4
development,1e27c8d46a90b35f,600,development,32,118,54,1,1,-0.02000000,0.01000000,4.775201159646e-5,9.030289947987e-5,1.725591719151e-4
development,1e27c8d46a90b35f,600,development,33,119,53,0,1,0.00000000,0.01000000,-1.390712986904e-5,-2.720020711422e-5,-5.402415990829e-5
development,1e27c8d46a90b35f,600,development,33,119,53,1,0,-0.02000000,0.02000000,-2.720020711422e-5,-5.402415990829e-5,-1.245408057002e-4
development,1e27c8d46a90b35f,600,development,34,120,52,0,1,-0.02000000,-0.01000000,-3.444651838436e-6,1.523643732071e-6,9.501352906227e-6
development,1e27c8d46a90b35f,600,development,34,120,52,1,0,-0.01000000,-0.02000000,4.933215677738e-5,1.007765531540e-4,2.084181905957e-4
development,1e27c8d46a90b35f,600,development,35,121,51,0,0,-0.02000000,0.02000000,4.153698682785e-7,-2.694626573430e-6,-2.738274633884e-5
development,1e27c8d46a90b35f,600,development,35,121,51,1,1,-0.01000000,0.01000000,9.064873296438e-8,4.153698682785e-7,-2.694626573430e-6
development,1e27c8d46a90b35f,600,development,36,122,50,0,0,-0.02000000,0.02000000,7.413638377329e-5,1.406508235959e-4,2.220732421847e-4
development,1e27c8d46a90b35f,600,development,36,122,50,1,1,-0.01000000,0.01000000,3.729636591743e-5,7.413638377329e-5,1.406508235959e-4
development,1e27c8d46a90b35f,600,development,37,123,49,0,1,0.02000000,0.01000000,4.784886914422e-5,9.549657261232e-5,2.257749438286e-4
development,1e27c8d46a90b35f,600,development,37,123,49,1,0,0.01000000,0.02000000,9.417533874512e-6,1.674331724644e-5,2.327002584934e-5
development,1e27c8d46a90b35f,600,development,38,124,48,0,0,0.02000000,-0.02000000,5.067202073405e-5,1.006803140626e-4,2.054590731859e-4
development,1e27c8d46a90b35f,600,development,38,124,48,1,1,0.01000000,-0.01000000,2.541889807617e-5,5.067202073405e-5,1.006803140626e-4
development,1e27c8d46a90b35f,600,development,39,125,47,0,1,-0.02000000,0.01000000,-1.002512872219e-4,-2.027085720329e-4,-4.045566020068e-4
development,1e27c8d46a90b35f,600,development,39,125,47,1,0,-0.01000000,0.02000000,-1.270261873287e-5,-1.757467725838e-5,-7.662300959055e-6
development,1e27c8d46a90b35f,600,development,40,126,46,0,1,-0.02000000,-0.01000000,-3.040085175599e-5,-5.967977267574e-5,-1.219883561134e-4
development,1e27c8d46a90b35f,600,development,40,126,46,1,0,-0.01000000,-0.02000000,-3.867534178426e-5,-8.525947487215e-5,-2.434824855300e-4
development,1e27c8d46a90b35f,600,development,41,127,45,0,1,-0.02000000,-0.01000000,1.683402806520e-4,3.441919980105e-4,6.920217419975e-4
development,1e27c8d46a90b35f,600,development,41,127,45,1,0,-0.01000000,-0.02000000,9.769015014172e-5,2.008918672800e-4,3.933832049370e-4
development,1e27c8d46a90b35f,600,development,42,128,44,0,0,-0.02000000,0.02000000,-7.775115227560e-5,-1.587513834238e-4,-3.343323769514e-4
development,1e27c8d46a90b35f,600,development,42,128,44,1,1,-0.01000000,0.01000000,-3.856979310513e-5,-7.775115227560e-5,-1.587513834238e-4
development,1e27c8d46a90b35f,600,development,43,129,43,0,0,-0.02000000,-0.02000000,-3.772353011300e-5,-7.806593930582e-5,-1.722536981106e-4
development,1e27c8d46a90b35f,600,development,43,129,43,1,1,-0.01000000,-0.01000000,-1.853207686509e-5,-3.772353011300e-5,-7.806593930582e-5
development,1e27c8d46a90b35f,600,development,44,130,42,0,0,-0.02000000,0.02000000,-5.040814357926e-5,-1.027137041092e-4,-2.127476036549e-4
development,1e27c8d46a90b35f,600,development,44,130,42,1,1,-0.01000000,0.01000000,-2.486507037247e-5,-5.040814357926e-5,-1.027137041092e-4
development,1e27c8d46a90b35f,600,development,45,131,41,0,1,-0.02000000,0.01000000,-7.320816166612e-6,-1.525754760223e-5,-3.177858889103e-5
development,1e27c8d46a90b35f,600,development,45,131,41,1,0,-0.01000000,0.02000000,2.155266702175e-5,4.256268221070e-5,7.450580596924e-5
development,1e27c8d46a90b35f,600,development,46,132,40,0,1,-0.02000000,0.01000000,-1.055896282196e-4,-2.117672265740e-4,-4.302983579691e-4
development,1e27c8d46a90b35f,600,development,46,132,40,1,0,-0.01000000,0.02000000,-1.675548701314e-4,-3.411887737457e-4,-7.111864979379e-4
development,1e27c8d46a90b35f,600,development,47,133,39,0,1,-0.02000000,0.01000000,-2.068901994789e-5,-4.175429421593e-5,-8.508438622812e-5
development,1e27c8d46a90b35f,600,development,47,133,39,1,0,-0.01000000,0.02000000,-9.387110367243e-6,-1.932308077812e-5,-1.353956758976e-5
development,1e27c8d46a90b35f,600,development,48,134,38,0,0,-0.02000000,-0.02000000,-4.646554589272e-5,-9.393878281116e-5,-2.170832158299e-4
development,1e27c8d46a90b35f,600,development,48,134,38,1,1,-0.01000000,-0.01000000,-2.310176751052e-5,-4.646554589272e-5,-9.393878281116e-5
development,1e27c8d46a90b35f,600,development,49,135,37,0,1,-0.02000000,-0.01000000,6.624435627600e-5,1.320671290159e-4,2.343468368053e-4
development,1e27c8d46a90b35f,600,development,49,135,37,1,0,-0.01000000,-0.02000000,2.432490327919e-5,4.795814675163e-5,1.221013517352e-4
development,1e27c8d46a90b35f,600,development,50,136,36,0,0,0.02000000,0.02000000,4.750365860673e-6,1.419459749741e-5,6.257742643356e-5
development,1e27c8d46a90b35f,600,development,50,136,36,1,1,0.01000000,0.01000000,1.287708641939e-6,4.750365860673e-6,1.419459749741e-5
development,1e27c8d46a90b35f,600,development,51,137,35,0,0,0.00000000,-0.02000000,5.883475296287e-6,1.109329332394e-5,-1.921939292515e-5
development,1e27c8d46a90b35f,600,development,51,137,35,1,1,-0.02000000,-0.01000000,3.029902700291e-6,5.883475296287e-6,1.109329332394e-5
development,1e27c8d46a90b35f,600,development,52,138,34,0,1,-0.02000000,0.01000000,-2.210500388173e-4,-4.803147166967e-4,-1.045693992637e-3
development,1e27c8d46a90b35f,600,development,52,138,34,1,0,-0.01000000,0.02000000,-1.473898737459e-4,-3.108257951681e-4,-6.257736240514e-4
development,1e27c8d46a90b35f,600,development,53,139,33,0,0,0.02000000,-0.02000000,8.857250213623e-5,1.407191157341e-4,1.660753041506e-4
development,1e27c8d46a90b35f,600,development,53,139,33,1,1,0.01000000,-0.01000000,4.657854515244e-5,8.857250213623e-5,1.407191157341e-4
development,1e27c8d46a90b35f,600,development,54,140,32,0,0,0.02000000,-0.02000000,1.740374864312e-4,3.025469777640e-4,4.678244295064e-4
development,1e27c8d46a90b35f,600,development,54,140,32,1,1,0.01000000,-0.01000000,9.018989658216e-5,1.740374864312e-4,3.025469777640e-4
development,1e27c8d46a90b35f,600,development,55,141,31,0,1,0.00000000,0.01000000,1.781682112778e-5,3.563488644431e-5,7.118595385691e-5
development,1e27c8d46a90b35f,600,development,55,141,31,1,0,-0.02000000,0.02000000,3.563488644431e-5,7.118595385691e-5,1.420726330252e-4
development,1e27c8d46a90b35f,600,development,56,142,30,0,1,-0.02000000,-0.01000000,-1.529927103547e-4,-3.015262482222e-4,-5.342575605027e-4
development,1e27c8d46a90b35f,600,development,56,142,30,1,0,-0.01000000,-0.02000000,-6.021310764481e-5,-1.117344945669e-4,-2.165126352338e-4
development,1e27c8d46a90b35f,600,development,57,143,29,0,0,-0.02000000,0.02000000,-4.371876639198e-5,-8.897980296751e-5,-1.770618109731e-4
development,1e27c8d46a90b35f,600,development,57,143,29,1,1,-0.01000000,0.01000000,-2.167373895645e-5,-4.371876639198e-5,-8.897980296751e-5
development,1e27c8d46a90b35f,600,development,58,144,28,0,0,0.02000000,-0.02000000,-2.065797707473e-5,-4.090741276741e-5,-8.074442303041e-5
development,1e27c8d46a90b35f,600,development,58,144,28,1,1,0.01000000,-0.01000000,-1.037927995640e-5,-2.065797707473e-5,-4.090741276741e-5
development,1e27c8d46a90b35f,600,development,59,145,27,0,0,0.00000000,0.02000000,-1.877111753856e-5,-3.755775469472e-5,-6.808713078499e-5
development,1e27c8d46a90b35f,600,development,59,145,27,1,1,-0.02000000,0.01000000,-9.380280971527e-6,-1.877111753856e-5,-3.755775469472e-5
development,1e27c8d46a90b35f,600,development,60,146,26,0,0,0.02000000,-0.02000000,-2.180828450946e-4,-4.383288323879e-4,-8.817538619041e-4
development,1e27c8d46a90b35f,600,development,60,146,26,1,1,0.01000000,-0.01000000,-1.087704076781e-4,-2.180828450946e-4,-4.383288323879e-4
development,1e27c8d46a90b35f,600,development,61,147,25,0,1,0.02000000,-0.01000000,4.437578318175e-4,8.753581787460e-4,1.702183857560e-3
development,1e27c8d46a90b35f,600,development,61,147,25,1,0,0.01000000,-0.02000000,2.609944494907e-4,5.196736310609e-4,1.031385734677e-3
development,1e27c8d46a90b35f,600,development,62,148,24,0,1,0.02000000,-0.01000000,3.777258098125e-5,7.583076512674e-5,1.507109700469e-4
development,1e27c8d46a90b35f,600,development,62,148,24,1,0,0.01000000,-0.02000000,2.806633710861e-5,5.641641837428e-5,1.119337975979e-4
development,1e27c8d46a90b35f,600,development,63,149,23,0,1,0.00000000,-0.01000000,8.647827053210e-5,1.596299262019e-4,2.402017562417e-4
development,1e27c8d46a90b35f,600,development,63,149,23,1,0,-0.02000000,-0.02000000,1.596299262019e-4,2.402017562417e-4,3.155749291182e-4
development,1e27c8d46a90b35f,600,development,64,150,22,0,1,-0.02000000,0.01000000,1.368261873722e-4,2.088205219479e-4,4.021028580610e-4
development,1e27c8d46a90b35f,600,development,64,150,22,1,0,-0.01000000,0.02000000,-4.767129667016e-6,-2.383937498962e-5,5.447492003441e-5
development,1e27c8d46a90b35f,600,development,65,151,21,0,0,0.02000000,0.02000000,-3.062287869398e-4,-6.727420841344e-4,-1.407514675520e-3
development,1e27c8d46a90b35f,600,development,65,151,21,1,1,0.01000000,0.01000000,-1.277464180021e-4,-3.062287869398e-4,-6.727420841344e-4
development,1e27c8d46a90b35f,600,development,66,152,20,0,1,0.02000000,0.01000000,-1.022194846882e-4,-2.083542494802e-4,-4.411190748215e-4
development,1e27c8d46a90b35f,600,development,66,152,20,1,0,0.01000000,0.02000000,-2.033815981122e-4,-4.313345998526e-4,-9.938701987267e-4
development,1e27c8d46a90b35f,600,development,67,153,19,0,0,0.00000000,0.02000000,1.202455387102e-4,1.508494169684e-4,1.139553860412e-4
development,1e27c8d46a90b35f,600,development,67,153,19,1,1,-0.02000000,0.01000000,6.618164479733e-5,1.202455387102e-4,1.508494169684e-4
development,1e27c8d46a90b35f,600,development,68,154,18,0,1,0.02000000,-0.01000000,1.144098714576e-4,2.240544854430e-4,4.215768130962e-4
development,1e27c8d46a90b35f,600,development,68,154,18,1,0,0.01000000,-0.02000000,1.821151672630e-4,3.455299884081e-4,5.204286426306e-4
development,1e27c8d46a90b35f,600,development,69,155,17,0,0,0.02000000,-0.02000000,-1.308688224526e-4,-2.783102390822e-4,-7.100508664735e-4
development,1e27c8d46a90b35f,600,development,69,155,17,1,1,0.01000000,-0.01000000,-6.335849320749e-5,-1.308688224526e-4,-2.783102390822e-4
development,1e27c8d46a90b35f,600,development,70,156,16,0,0,0.02000000,-0.02000000,2.514428051654e-4,4.738606512547e-4,8.432294125669e-4
development,1e27c8d46a90b35f,600,development,70,156,16,1,1,0.01000000,-0.01000000,1.269504427910e-4,2.514428051654e-4,4.738606512547e-4
development,1e27c8d46a90b35f,600,development,71,157,15,0,1,0.00000000,0.01000000,1.609822174942e-5,3.905718403985e-5,8.544884622097e-5
development,1e27c8d46a90b35f,600,development,71,157,15,1,0,-0.02000000,0.02000000,3.905718403985e-5,8.544884622097e-5,1.712180674076e-4
development,1e27c8d46a90b35f,600,development,72,158,14,0,1,0.02000000,-0.01000000,-5.091230195831e-5,-1.034463421092e-4,-2.118560223607e-4
development,1e27c8d46a90b35f,600,development,72,158,14,1,0,0.01000000,-0.02000000,-8.224820339819e-5,-1.681422145339e-4,-3.650138678495e-4
development,1e27c8d46a90b35f,600,development,73,159,13,0,1,0.02000000,-0.01000000,-2.718282303249e-5,-5.598738789558e-5,-1.158018931164e-4
development,1e27c8d46a90b35f,600,development,73,159,13,1,0,0.01000000,-0.02000000,-2.965331077576e-6,-1.105169417315e-6,6.249795205804e-6
development,1e27c8d46a90b35f,600,development,74,160,12,0,0,-0.02000000,0.02000000,-9.038795724337e-6,-2.177866736019e-5,-5.629037696053e-5
development,1e27c8d46a90b35f,600,development,74,160,12,1,1,-0.01000000,0.01000000,-4.459793217393e-6,-9.038795724337e-6,-2.177866736019e-5
development,1e27c8d46a90b35f,600,development,75,161,11,0,0,0.00000000,-0.02000000,8.832042112772e-6,1.564001081533e-6,-3.760059553315e-5
development,1e27c8d46a90b35f,600,development,75,161,11,1,1,-0.02000000,-0.01000000,5.626430265693e-6,8.832042112772e-6,1.564001081533e-6
development,1e27c8d46a90b35f,600,development,76,162,10,0,0,-0.02000000,-0.01000000,-2.050356270047e-4,-4.172368498985e-4,-8.550534839742e-4
development,1e27c8d46a90b35f,600,development,76,162,10,1,1,-0.01000000,-0.00500000,-1.020108684315e-4,-2.050356270047e-4,-4.172368498985e-4
development,1e27c8d46a90b35f,600,development,77,163,9,0,0,-0.02000000,-0.02000000,1.835972070694e-4,3.608601691667e-4,6.581284105778e-4
development,1e27c8d46a90b35f,600,development,77,163,9,1,1,-0.01000000,-0.01000000,9.200225031236e-5,1.835972070694e-4,3.608601691667e-4
development,1e27c8d46a90b35f,600,development,78,164,8,0,1,-0.02000000,0.01000000,-1.155460904556e-5,-2.323587796127e-5,-4.609612005879e-5
development,1e27c8d46a90b35f,600,development,78,164,8,1,0,-0.01000000,0.02000000,-5.153131860425e-5,-1.024796292768e-4,-2.203161566285e-4
development,1e27c8d46a90b35f,600,development,79,165,7,0,1,0.00000000,0.01000000,1.333095133305e-5,2.634525299072e-5,5.946308374405e-5
development,1e27c8d46a90b35f,600,development,79,165,7,1,0,-0.02000000,0.02000000,2.634525299072e-5,5.946308374405e-5,1.182109117508e-4
development,1e27c8d46a90b35f,600,development,80,166,6,0,0,-0.02000000,-0.02000000,-1.833091228036e-4,-3.615009190980e-4,-7.130447775126e-4
development,1e27c8d46a90b35f,600,development,80,166,6,1,1,-0.01000000,-0.01000000,-9.126588702202e-5,-1.833091228036e-4,-3.615009190980e-4
development,1e27c8d46a90b35f,600,development,81,167,5,0,1,-0.02000000,-0.01000000,-5.078688263893e-5,-8.687252557138e-5,-1.623705029488e-4
development,1e27c8d46a90b35f,600,development,81,167,5,1,0,-0.01000000,-0.02000000,3.480042096271e-6,2.901318111981e-5,1.059751957655e-4
development,1e27c8d46a90b35f,600,development,82,168,4,0,0,0.02000000,0.02000000,7.083950185915e-5,9.790807962418e-5,8.085928857327e-5
development,1e27c8d46a90b35f,600,development,82,168,4,1,1,0.01000000,0.01000000,4.428935426404e-5,7.083950185915e-5,9.790807962418e-5
development,1e27c8d46a90b35f,600,development,83,169,3,0,1,0.02000000,-0.01000000,-1.441184431314e-4,-2.984019520227e-4,-6.134684081189e-4
development,1e27c8d46a90b35f,600,development,83,169,3,1,0,0.01000000,-0.02000000,-8.530107879778e-5,-1.098755747080e-4,-1.778795121936e-4
development,1e27c8d46a90b35f,600,development,84,170,2,0,0,-0.02000000,0.02000000,-2.811159938574e-4,-5.827769637108e-4,-1.209945767187e-3
development,1e27c8d46a90b35f,600,development,84,170,2,1,1,-0.01000000,0.01000000,-1.375339925289e-4,-2.811159938574e-4,-5.827769637108e-4
development,1e27c8d46a90b35f,600,development,85,0,1,0,0,0.02000000,-0.02000000,-2.019330859184e-4,-3.661556693260e-4,-6.162412464619e-4
development,1e27c8d46a90b35f,600,development,85,0,1,1,1,0.01000000,-0.01000000,-1.036177054630e-4,-2.019330859184e-4,-3.661556693260e-4
development,1e27c8d46a90b35f,600,evaluation,1,87,85,0,0,0.00000000,0.00000000,0.000000000000e0,0.000000000000e0,0.000000000000e0
development,1e27c8d46a90b35f,600,evaluation,1,87,85,1,1,-0.02000000,-0.02000000,0.000000000000e0,0.000000000000e0,0.000000000000e0
development,1e27c8d46a90b35f,600,evaluation,2,88,84,0,1,-0.02000000,-0.02000000,-6.947914516786e-5,-1.402273774147e-4,-2.855770289898e-4
development,1e27c8d46a90b35f,600,evaluation,2,88,84,1,0,-0.01000000,0.00000000,-3.457441926003e-5,-6.947914516786e-5,-1.402273774147e-4
development,1e27c8d46a90b35f,600,evaluation,3,89,83,0,1,-0.02000000,-0.02000000,-9.352403139928e-5,-1.963985414477e-4,-4.257137479726e-4
development,1e27c8d46a90b35f,600,evaluation,3,89,83,1,0,-0.01000000,0.00000000,-4.641960185836e-5,-9.352403139928e-5,-1.963985414477e-4
development,1e27c8d46a90b35f,600,evaluation,4,90,82,0,1,-0.02000000,-0.02000000,1.380741596222e-4,2.501681447029e-4,4.627040179912e-4
development,1e27c8d46a90b35f,600,evaluation,4,90,82,1,0,-0.01000000,0.00000000,8.055754005909e-5,1.380741596222e-4,2.501681447029e-4
development,1e27c8d46a90b35f,600,evaluation,5,91,81,0,1,-0.02000000,-0.02000000,-1.425811351510e-4,-2.871546894312e-4,-5.822908133268e-4
development,1e27c8d46a90b35f,600,evaluation,5,91,81,1,0,-0.01000000,0.00000000,-7.104998076102e-5,-1.425811351510e-4,-2.871546894312e-4
development,1e27c8d46a90b35f,600,evaluation,6,92,80,0,0,0.02000000,0.00000000,4.981892925571e-5,9.853454685071e-5,1.926422119141e-4
development,1e27c8d46a90b35f,600,evaluation,6,92,80,1,1,0.01000000,-0.02000000,2.504947224224e-5,4.981892925571e-5,9.853454685071e-5
development,1e27c8d46a90b35f,600,evaluation,7,93,79,0,1,-0.02000000,0.01000000,-1.478530466557e-4,-3.027158381883e-4,-6.404655869119e-4
development,1e27c8d46a90b35f,600,evaluation,7,93,79,1,0,-0.01000000,0.02000000,-5.618669092655e-5,-1.110869125114e-4,-2.197188587161e-4
development,1e27c8d46a90b35f,600,evaluation,8,94,78,0,0,-0.02000000,0.02000000,-6.994232535362e-5,-1.394351274939e-4,-2.702046185732e-4
development,1e27c8d46a90b35f,600,evaluation,8,94,78,1,1,-0.01000000,0.01000000,-3.476254642010e-5,-6.994232535362e-5,-1.394351274939e-4
development,1e27c8d46a90b35f,600,evaluation,9,95,77,0,0,-0.02000000,0.02000000,2.831915917341e-4,5.645074998029e-4,1.126379356720e-3
