seed,global_commit,control_slot,matched,g3_stratum,g3_utility,g3_regret,control_utility,control_regret,regret_gap,initial_control_better,first_reversal_horizon,persistent_reversal,transient_reversal,no_reversal,horizon,g3_train_loss,control_train_loss,g3_vs_control_train_delta,g3_validation_loss,control_validation_loss,g3_control_parameter_distance,g3_vs_greedy_train_delta
2b7e151628aed2a6,50,control_b,true,1,0.00032341,0.00011647,0.00029695,0.00014293,0.00002646,false,0,false,false,false,2,1.09058368,1.09061158,-0.00002789,1.09073889,1.09074628,0.02872281,0.00011075
2b7e151628aed2a6,50,control_b,true,1,0.00032341,0.00011647,0.00029695,0.00014293,0.00002646,false,0,false,false,false,4,1.08998334,1.09000134,-0.00001800,1.09013069,1.09016573,0.02872281,0.00012732
2b7e151628aed2a6,50,control_b,true,1,0.00032341,0.00011647,0.00029695,0.00014293,0.00002646,false,0,false,false,false,8,1.08849680,1.08854210,-0.00004530,1.08869517,1.08873463,0.04031128,0.00012314
2b7e151628aed2a6,50,control_b,true,1,0.00032341,0.00011647,0.00029695,0.00014293,0.00002646,false,0,false,false,false,16,1.08553100,1.08596241,-0.00043142,1.08587992,1.08632994,0.07297260,-0.00025523
2b7e151628aed2a6,50,control_b,true,1,0.00032341,0.00011647,0.00029695,0.00014293,0.00002646,false,0,false,false,false,32,1.07938898,1.07984483,-0.00045586,1.08013356,1.08053470,0.09013878,-0.00066352
2b7e151628aed2a6,50,control_b,true,1,0.00032341,0.00011647,0.00029695,0.00014293,0.00002646,false,0,false,false,false,64,1.06285429,1.06296980,-0.00011551,1.06436408,1.06440783,0.15402927,-0.00166833
2b7e151628aed2a6,100,control_a,false,1,0.00060034,0.00000000,0.00000000,0.00000000,0.00000000,false,0,false,false,false,1,1.07093799,1.07153833,-0.00060034,1.07211781,1.07270348,0.02828428,0.00000000
2b7e151628aed2a6,100,control_a,false,1,0.00060034,0.00000000,0.00000000,0.00000000,0.00000000,false,0,false,false,false,2,1.07040632,1.07101715,-0.00061083,1.07161462,1.07220984,0.02828428,0.00000000
2b7e151628aed2a6,100,control_a,false,1,0.00060034,0.00000000,0.00000000,0.00000000,0.00000000,false,0,false,false,false,4,1.06931984,1.06992614,-0.00060630,1.07053912,1.07112992,0.02828428,0.00000000
2b7e151628aed2a6,100,control_a,false,1,0.00060034,0.00000000,0.00000000,0.00000000,0.00000000,false,0,false,false,false,8,1.06704104,1.06766331,-0.00062227,1.06837738,1.06897902,0.04000001,0.00000000
2b7e151628aed2a6,100,control_a,false,1,0.00060034,0.00000000,0.00000000,0.00000000,0.00000000,false,0,false,false,false,16,1.06183910,1.06256998,-0.00073087,1.06340516,1.06408489,0.04898980,0.00000000
2b7e151628aed2a6,100,control_a,false,1,0.00060034,0.00000000,0.00000000,0.00000000,0.00000000,false,0,false,false,false,32,1.05186021,1.05301440,-0.00115418,1.05404449,1.05513799,0.08774965,0.00000000
2b7e151628aed2a6,100,control_a,false,1,0.00060034,0.00000000,0.00000000,0.00000000,0.00000000,false,0,false,false,false,64,1.03127444,1.03346813,-0.00219369,1.03463089,1.03689015,0.11000000,0.00000000
2b7e151628aed2a6,100,control_b,false,1,0.00060034,0.00000000,0.00000000,0.00000000,0.00000000,false,0,false,false,false,1,1.07093799,1.07153833,-0.00060034,1.07211781,1.07270348,0.02828428,0.00000000
2b7e151628aed2a6,100,control_b,false,1,0.00060034,0.00000000,0.00000000,0.00000000,0.00000000,false,0,false,false,false,2,1.07040632,1.07101715,-0.00061083,1.07161462,1.07220984,0.02828428,0.00000000
2b7e151628aed2a6,100,control_b,false,1,0.00060034,0.00000000,0.00000000,0.00000000,0.00000000,false,0,false,false,false,4,1.06931984,1.06992614,-0.00060630,1.07053912,1.07112992,0.02828428,0.00000000
2b7e151628aed2a6,100,control_b,false,1,0.00060034,0.00000000,0.00000000,0.00000000,0.00000000,false,0,false,false,false,8,1.06704104,1.06766331,-0.00062227,1.06837738,1.06897902,0.04000001,0.00000000
2b7e151628aed2a6,100,control_b,false,1,0.00060034,0.00000000,0.00000000,0.00000000,0.00000000,false,0,false,false,false,16,1.06183910,1.06256998,-0.00073087,1.06340516,1.06408489,0.04898980,0.00000000
2b7e151628aed2a6,100,control_b,false,1,0.00060034,0.00000000,0.00000000,0.00000000,0.00000000,false,0,false,false,false,32,1.05186021,1.05301440,-0.00115418,1.05404449,1.05513799,0.08774965,0.00000000
2b7e151628aed2a6,100,control_b,false,1,0.00060034,0.00000000,0.00000000,0.00000000,0.00000000,false,0,false,false,false,64,1.03127444,1.03346813,-0.00219369,1.03463089,1.03689015,0.11000000,0.00000000
2b7e151628aed2a6,150,control_a,true,1,0.00051415,0.00016427,0.00053513,0.00014329,0.00002098,true,8,false,true,false,1,1.04014456,1.04012358,0.00002098,1.04295766,1.04289985,0.03464101,0.00016427
2b7e151628aed2a6,150,control_a,true,1,0.00051415,0.00016427,0.00053513,0.00014329,0.00002098,true,8,false,true,false,2,1.03945923,1.03943539,0.00002384,1.04233682,1.04227698,0.03464101,0.00012219
2b7e151628aed2a6,150,control_a,true,1,0.00051415,0.00016427,0.00053513,0.00014329,0.00002098,true,8,false,true,false,4,1.03831279,1.03828394,0.00002885,1.04127395,1.04121947,0.03464101,0.00002539
2b7e151628aed2a6,150,control_a,true,1,0.00051415,0.00016427,0.00053513,0.00014329,0.00002098,true,8,false,true,false,8,1.03501654,1.03503788,-0.00002134,1.03819788,1.03819788,0.03464102,-0.00002468
2b7e151628aed2a6,150,control_a,true,1,0.00051415,0.00016427,0.00053513,0.00014329,0.00002098,true,8,false,true,false,16,1.02983248,1.02981436,0.00001812,1.03325880,1.03321671,0.03464102,-0.00001431
2b7e151628aed2a6,150,control_a,true,1,0.00051415,0.00016427,0.00053513,0.00014329,0.00002098,true,8,false,true,false,32,1.01701343,1.01672566,0.00028777,1.02150714,1.02115631,0.04898981,0.00000310
2b7e151628aed2a6,150,control_a,true,1,0.00051415,0.00016427,0.00053513,0.00014329,0.00002098,true,8,false,true,false,64,0.99139041,0.99049807,0.00089234,0.99778169,0.99690467,0.10547511,0.00128907
2b7e151628aed2a6,150,control_b,true,1,0.00051415,0.00016427,0.00053513,0.00014329,0.00002098,true,8,false,true,false,1,1.04014456,1.04012358,0.00002098,1.04295766,1.04289985,0.04000000,0.00016427
2b7e151628aed2a6,150,control_b,true,1,0.00051415,0.00016427,0.00053513,0.00014329,0.00002098,true,8,false,true,false,2,1.03945923,1.03943539,0.00002384,1.04233682,1.04227698,0.04000000,0.00012219
2b7e151628aed2a6,150,control_b,true,1,0.00051415,0.00016427,0.00053513,0.00014329,0.00002098,true,8,false,true,false,4,1.03831279,1.03828394,0.00002885,1.04127395,1.04121947,0.04000000,0.00002539
2b7e151628aed2a6,150,control_b,true,1,0.00051415,0.00016427,0.00053513,0.00014329,0.00002098,true,8,false,true,false,8,1.03501654,1.03503788,-0.00002134,1.03819788,1.03819788,0.04000000,-0.00002468
2b7e151628aed2a6,150,control_b,true,1,0.00051415,0.00016427,0.00053513,0.00014329,0.00002098,true,8,false,true,false,16,1.02983248,1.02981436,0.00001812,1.03325880,1.03321671,0.04000000,-0.00001431
2b7e151628aed2a6,150,control_b,true,1,0.00051415,0.00016427,0.00053513,0.00014329,0.00002098,true,8,false,true,false,32,1.01701343,1.01672566,0.00028777,1.02150714,1.02115631,0.05291504,0.00000310
2b7e151628aed2a6,150,control_b,true,1,0.00051415,0.00016427,0.00053513,0.00014329,0.00002098,true,8,false,true,false,64,0.99139041,0.99049807,0.00089234,0.99778169,0.99690467,0.10735456,0.00128907
2b7e151628aed2a6,200,control_a,true,1,0.00104606,0.00000906,0.00105512,0.00000000,0.00000906,true,4,false,true,false,1,1.00281823,1.00280917,0.00000906,1.00858080,1.00849235,0.03999999,0.00000906
2b7e151628aed2a6,200,control_a,true,1,0.00104606,0.00000906,0.00105512,0.00000000,0.00000906,true,4,false,true,false,2,1.00167644,1.00152409,0.00015235,1.00745213,1.00723946,0.04123105,0.00015235
2b7e151628aed2a6,200,control_a,true,1,0.00104606,0.00000906,0.00105512,0.00000000,0.00000906,true,4,false,true,false,4,0.99972314,0.99999928,-0.00027615,1.00552273,1.00582778,0.04582575,-0.00027615
2b7e151628aed2a6,200,control_a,true,1,0.00104606,0.00000906,0.00105512,0.00000000,0.00000906,true,4,false,true,false,8,0.99614930,0.99606204,0.00008726,1.00209868,1.00213981,0.04582575,0.00008726
2b7e151628aed2a6,200,control_a,true,1,0.00104606,0.00000906,0.00105512,0.00000000,0.00000906,true,4,false,true,false,16,0.99045491,0.99018043,0.00027448,0.99702477,0.99678439,0.04582576,0.00027448
2b7e151628aed2a6,200,control_a,true,1,0.00104606,0.00000906,0.00105512,0.00000000,0.00000906,true,4,false,true,false,32,0.97853082,0.97818965,0.00034118,0.98635674,0.98599380,0.06082763,0.00034118
2b7e151628aed2a6,200,control_a,true,1,0.00104606,0.00000906,0.00105512,0.00000000,0.00000906,true,4,false,true,false,64,0.95711637,0.95687342,0.00024295,0.96692538,0.96655029,0.12767145,0.00024295
2b7e151628aed2a6,200,control_b,true,1,0.00104606,0.00000906,0.00103223,0.00002289,0.00001383,false,0,false,false,false,1,1.00281823,1.00283206,-0.00001383,1.00858080,1.00851738,0.03605551,0.00000906
2b7e151628aed2a6,200,control_b,true,1,0.00104606,0.00000906,0.00103223,0.00002289,0.00001383,false,0,false,false,false,2,1.00167644,1.00154626,0.00013018,1.00745213,1.00726402,0.03741657,0.00015235
2b7e151628aed2a6,200,control_b,true,1,0.00104606,0.00000906,0.00103223,0.00002289,0.00001383,false,0,false,false,false,4,0.99972314,1.00002182,-0.00029868,1.00552273,1.00585234,0.04242640,-0.00027615
2b7e151628aed2a6,200,control_b,true,1,0.00104606,0.00000906,0.00103223,0.00002289,0.00001383,false,0,false,false,false,8,0.99614930,0.99608392,0.00006539,1.00209868,1.00216365,0.04242640,0.00008726
2b7e151628aed2a6,200,control_b,true,1,0.00104606,0.00000906,0.00103223,0.00002289,0.00001383,false,0,false,false,false,16,0.99045491,0.99020272,0.00025219,0.99702477,0.99680895,0.04242641,0.00027448
2b7e151628aed2a6,200,control_b,true,1,0.00104606,0.00000906,0.00103223,0.00002289,0.00001383,false,0,false,false,false,32,0.97853082,0.97821164,0.00031918,0.98635674,0.98601812,0.05830952,0.00034118
2b7e151628aed2a6,200,control_b,true,1,0.00104606,0.00000906,0.00103223,0.00002289,0.00001383,false,0,false,false,false,64,0.95711637,0.95689684,0.00021952,0.96692538,0.96657640,0.12649110,0.00024295
2b7e151628aed2a6,250,control_a,true,1,0.00078160,0.00000000,0.00077993,0.00000167,0.00000167,false,0,false,false,false,1,0.96500683,0.96500850,-0.00000167,0.97391587,0.97380257,0.03999999,0.00000000
2b7e151628aed2a6,250,control_a,true,1,0.00078160,0.00000000,0.00077993,0.00000167,0.00000167,false,0,false,false,false,2,0.96462923,0.96459389,0.00003535,0.97362751,0.97347730,0.03999999,0.00000000
2b7e151628aed2a6,250,control_a,true,1,0.00078160,0.00000000,0.00077993,0.00000167,0.00000167,false,0,false,false,false,4,0.96316558,0.96359366,-0.00042808,0.97221690,0.97270221,0.06324553,0.00000000
2b7e151628aed2a6,250,control_a,true,1,0.00078160,0.00000000,0.00077993,0.00000167,0.00000167,false,0,false,false,false,8,0.96053600,0.96080542,-0.00026941,0.97004396,0.97035271,0.07745966,0.00000000
2b7e151628aed2a6,250,control_a,true,1,0.00078160,0.00000000,0.00077993,0.00000167,0.00000167,false,0,false,false,false,16,0.95652509,0.95664334,-0.00011826,0.96621418,0.96659011,0.09380832,0.00000000
2b7e151628aed2a6,250,control_a,true,1,0.00078160,0.00000000,0.00077993,0.00000167,0.00000167,false,0,false,false,false,32,0.94900090,0.95001417,-0.00101328,0.96003777,0.96095127,0.09165150,0.00000000
2b7e151628aed2a6,250,control_a,true,1,0.00078160,0.00000000,0.00077993,0.00000167,0.00000167,false,0,false,false,false,64,0.93936276,0.94008678,-0.00072402,0.95309114,0.95390487,0.14352705,0.00000000
2b7e151628aed2a6,250,control_b,true,1,0.00078160,0.00000000,0.00073934,0.00004226,0.00004226,false,0,false,false,false,1,0.96500683,0.96504909,-0.00004226,0.97391587,0.97351497,0.03999998,0.00000000
2b7e151628aed2a6,250,control_b,true,1,0.00078160,0.00000000,0.00073934,0.00004226,0.00004226,false,0,false,false,false,2,0.96462923,0.96463317,-0.00000393,0.97362751,0.97318345,0.03999998,0.00000000
2b7e151628aed2a6,250,control_b,true,1,0.00078160,0.00000000,0.00073934,0.00004226,0.00004226,false,0,false,false,false,4,0.96316558,0.96317893,-0.00001335,0.97221690,0.97179586,0.03999998,0.00000000
2b7e151628aed2a6,250,control_b,true,1,0.00078160,0.00000000,0.00073934,0.00004226,0.00004226,false,0,false,false,false,8,0.96053600,0.96028966,0.00024635,0.97004396,0.96957487,0.05656855,0.00000000
2b7e151628aed2a6,250,control_b,true,1,0.00078160,0.00000000,0.00073934,0.00004226,0.00004226,false,0,false,false,false,16,0.95652509,0.95652419,0.00000089,0.96621418,0.96587652,0.06928202,0.00000000
2b7e151628aed2a6,250,control_b,true,1,0.00078160,0.00000000,0.00073934,0.00004226,0.00004226,false,0,false,false,false,32,0.94900090,0.94925851,-0.00025761,0.96003777,0.95946670,0.07999998,0.00000000
2b7e151628aed2a6,250,control_b,true,1,0.00078160,0.00000000,0.00073934,0.00004226,0.00004226,false,0,false,false,false,64,0.93936276,0.93989009,-0.00052732,0.95309114,0.95352221,0.12124355,0.00000000
2b7e151628aed2a6,300,control_a,true,2,-0.00034600,0.00106502,-0.00034744,0.00106645,0.00000143,false,0,false,false,false,1,0.94464135,0.94464278,-0.00000143,0.95720840,0.95703906,0.02645751,0.00106502
2b7e151628aed2a6,300,control_a,true,2,-0.00034600,0.00106502,-0.00034744,0.00106645,0.00000143,false,0,false,false,false,2,0.94465709,0.94469804,-0.00004095,0.95742720,0.95721149,0.03872982,0.00106436
2b7e151628aed2a6,300,control_a,true,2,-0.00034600,0.00106502,-0.00034744,0.00106645,0.00000143,false,0,false,false,false,4,0.94393134,0.94397622,-0.00004488,0.95686942,0.95665693,0.03872985,0.00098914
2b7e151628aed2a6,300,control_a,true,2,-0.00034600,0.00106502,-0.00034744,0.00106645,0.00000143,false,0,false,false,false,8,0.94250947,0.94223517,0.00027430,0.95590812,0.95559758,0.05916081,0.00077736
2b7e151628aed2a6,300,control_a,true,2,-0.00034600,0.00106502,-0.00034744,0.00106645,0.00000143,false,0,false,false,false,16,0.93855447,0.93901539,-0.00046092,0.95232469,0.95292217,0.11445520,-0.00014478
2b7e151628aed2a6,300,control_a,true,2,-0.00034600,0.00106502,-0.00034744,0.00106645,0.00000143,false,0,false,false,false,32,0.93622667,0.93686056,-0.00063390,0.95139980,0.95204633,0.12569804,0.00135338
2b7e151628aed2a6,300,control_a,true,2,-0.00034600,0.00106502,-0.00034744,0.00106645,0.00000143,false,0,false,false,false,64,0.91910762,0.91956735,-0.00045973,0.93381947,0.93395662,0.15041611,0.00003290
2b7e151628aed2a6,300,control_b,true,2,-0.00034600,0.00106502,-0.00034273,0.00106174,0.00000328,true,2,true,false,false,1,0.94464135,0.94463807,0.00000328,0.95720840,0.95710635,0.03162277,0.00106502
2b7e151628aed2a6,300,control_b,true,2,-0.00034600,0.00106502,-0.00034273,0.00106174,0.00000328,true,2,true,false,false,2,0.94465709,0.94472075,-0.00006366,0.95742720,0.95731974,0.04242639,0.00106436
2b7e151628aed2a6,300,control_b,true,2,-0.00034600,0.00106502,-0.00034273,0.00106174,0.00000328,true,2,true,false,false,4,0.94393134,0.94397449,-0.00004315,0.95686942,0.95674139,0.04242642,0.00098914
2b7e151628aed2a6,300,control_b,true,2,-0.00034600,0.00106502,-0.00034273,0.00106174,0.00000328,true,2,true,false,false,8,0.94250947,0.94259816,-0.00008869,0.95590812,0.95587140,0.05567765,0.00077736
2b7e151628aed2a6,300,control_b,true,2,-0.00034600,0.00106502,-0.00034273,0.00106174,0.00000328,true,2,true,false,false,16,0.93855447,0.93922204,-0.00066757,0.95232469,0.95314151,0.11269425,-0.00014478
2b7e151628aed2a6,300,control_b,true,2,-0.00034600,0.00106502,-0.00034273,0.00106174,0.00000328,true,2,true,false,false,32,0.93622667,0.93662316,-0.00039649,0.95139980,0.95155567,0.11747337,0.00135338
2b7e151628aed2a6,300,control_b,true,2,-0.00034600,0.00106502,-0.00034273,0.00106174,0.00000328,true,2,true,false,false,64,0.91910762,0.92001790,-0.00091028,0.93381947,0.93470091,0.14177446,0.00003290
2b7e151628aed2a6,350,control_a,false,1,0.00087309,0.00011981,0.00000000,0.00000000,0.00000000,false,0,false,false,false,1,0.92687827,0.92775136,-0.00087309,0.94181085,0.94277948,0.02828429,0.00011981
2b7e151628aed2a6,350,control_a,false,1,0.00087309,0.00011981,0.00000000,0.00000000,0.00000000,false,0,false,false,false,2,0.92621917,0.92707843,-0.00085926,0.94101691,0.94193673,0.02828429,0.00008714
2b7e151628aed2a6,350,control_a,false,1,0.00087309,0.00011981,0.00000000,0.00000000,0.00000000,false,0,false,false,false,4,0.92482519,0.92564207,-0.00081688,0.93942922,0.94033265,0.02828429,0.00009042
2b7e151628aed2a6,350,control_a,false,1,0.00087309,0.00011981,0.00000000,0.00000000,0.00000000,false,0,false,false,false,8,0.92213529,0.92299324,-0.00085795,0.93654251,0.93755537,0.02828427,-0.00026000
2b7e151628aed2a6,350,control_a,false,1,0.00087309,0.00011981,0.00000000,0.00000000,0.00000000,false,0,false,false,false,16,0.91950625,0.92048746,-0.00098121,0.93421453,0.93533540,0.02828427,-0.00034744
2b7e151628aed2a6,350,control_a,false,1,0.00087309,0.00011981,0.00000000,0.00000000,0.00000000,false,0,false,false,false,32,0.91142941,0.91089171,0.00053769,0.92623454,0.92560244,0.03464103,0.00010759
2b7e151628aed2a6,350,control_a,false,1,0.00087309,0.00011981,0.00000000,0.00000000,0.00000000,false,0,false,false,false,64,0.89553541,0.89666176,-0.00112635,0.91037893,0.91156369,0.10049875,-0.00163519
2b7e151628aed2a6,350,control_b,false,1,0.00087309,0.00011981,0.00000000,0.00000000,0.00000000,false,0,false,false,false,1,0.92687827,0.92775136,-0.00087309,0.94181085,0.94277948,0.02828429,0.00011981
2b7e151628aed2a6,350,control_b,false,1,0.00087309,0.00011981,0.00000000,0.00000000,0.00000000,false,0,false,false,false,2,0.92621917,0.92707843,-0.00085926,0.94101691,0.94193673,0.02828429,0.00008714
2b7e151628aed2a6,350,control_b,false,1,0.00087309,0.00011981,0.00000000,0.00000000,0.00000000,false,0,false,false,false,4,0.92482519,0.92564207,-0.00081688,0.93942922,0.94033265,0.02828429,0.00009042
2b7e151628aed2a6,350,control_b,false,1,0.00087309,0.00011981,0.00000000,0.00000000,0.00000000,false,0,false,false,false,8,0.92213529,0.92299324,-0.00085795,0.93654251,0.93755537,0.02828427,-0.00026000
2b7e151628aed2a6,350,control_b,false,1,0.00087309,0.00011981,0.00000000,0.00000000,0.00000000,false,0,false,false,false,16,0.91950625,0.92048746,-0.00098121,0.93421453,0.93533540,0.02828427,-0.00034744
2b7e151628aed2a6,350,control_b,false,1,0.00087309,0.00011981,0.00000000,0.00000000,0.00000000,false,0,false,false,false,32,0.91142941,0.91089171,0.00053769,0.92623454,0.92560244,0.03464103,0.00010759
2b7e151628aed2a6,350,control_b,false,1,0.00087309,0.00011981,0.00000000,0.00000000,0.00000000,false,0,false,false,false,64,0.89553541,0.89666176,-0.00112635,0.91037893,0.91156369,0.10049875,-0.00163519
2b7e151628aed2a6,400,control_a,true,1,0.00066572,0.00008345,0.00063974,0.00010943,0.00002599,false,0,false,false,false,1,0.89747763,0.89750361,-0.00002599,0.91102713,0.91104048,0.00999999,0.00008345
2b7e151628aed2a6,400,control_a,true,1,0.00066572,0.00008345,0.00063974,0.00010943,0.00002599,false,0,false,false,false,2,0.89808649,0.89810890,-0.00002241,0.91195846,0.91196871,0.00999999,0.00009012
2b7e151628aed2a6,400,control_a,true,1,0.00066572,0.00008345,0.00063974,0.00010943,0.00002599,false,0,false,false,false,4,0.89787316,0.89788514,-0.00001198,0.91202980,0.91203159,0.00999999,0.00012469
2b7e151628aed2a6,400,control_a,true,1,0.00066572,0.00008345,0.00063974,0.00010943,0.00002599,false,0,false,false,false,8,0.89577430,0.89612025,-0.00034595,0.90981317,0.91019851,0.03605550,-0.00020278
2b7e151628aed2a6,400,control_a,true,1,0.00066572,0.00008345,0.00063974,0.00010943,0.00002599,false,0,false,false,false,16,0.89431095,0.89447087,-0.00015992,0.90914363,0.90929574,0.06403122,-0.00000906
2b7e151628aed2a6,400,control_a,true,1,0.00066572,0.00008345,0.00063974,0.00010943,0.00002599,false,0,false,false,false,32,0.88960713,0.88958067,0.00002646,0.90512729,0.90515703,0.09486832,0.00045532
2b7e151628aed2a6,400,control_a,true,1,0.00066572,0.00008345,0.00063974,0.00010943,0.00002599,false,0,false,false,false,64,0.87037510,0.87104511,-0.00067002,0.88593370,0.88668197,0.11269427,-0.00113994
2b7e151628aed2a6,400,control_b,false,1,0.00066572,0.00008345,0.00000000,0.00000000,0.00000000,false,0,false,false,false,1,0.89747763,0.89814335,-0.00066572,0.91102713,0.91178459,0.02828428,0.00008345
2b7e151628aed2a6,400,control_b,false,1,0.00066572,0.00008345,0.00000000,0.00000000,0.00000000,false,0,false,false,false,2,0.89808649,0.89878541,-0.00069892,0.91195846,0.91275209,0.02828428,0.00009012
2b7e151628aed2a6,400,control_b,false,1,0.00066572,0.00008345,0.00000000,0.00000000,0.00000000,false,0,false,false,false,4,0.89787316,0.89856142,-0.00068825,0.91202980,0.91282004,0.02828428,0.00012469
2b7e151628aed2a6,400,control_b,false,1,0.00066572,0.00008345,0.00000000,0.00000000,0.00000000,false,0,false,false,false,8,0.89577430,0.89683789,-0.00106359,0.90981317,0.91101366,0.04582575,-0.00020278
2b7e151628aed2a6,400,control_b,false,1,0.00066572,0.00008345,0.00000000,0.00000000,0.00000000,false,0,false,false,false,16,0.89431095,0.89388418,0.00042677,0.90914363,0.90838981,0.06403122,-0.00000906
2b7e151628aed2a6,400,control_b,false,1,0.00066572,0.00008345,0.00000000,0.00000000,0.00000000,false,0,false,false,false,32,0.88960713,0.88991529,-0.00030816,0.90512729,0.90533423,0.09055384,0.00045532
2b7e151628aed2a6,400,control_b,false,1,0.00066572,0.00008345,0.00000000,0.00000000,0.00000000,false,0,false,false,false,64,0.87037510,0.87042600,-0.00005090,0.88593370,0.88635772,0.15968719,-0.00113994
2b7e151628aed2a6,450,control_a,true,1,0.00067598,0.00010681,0.00067735,0.00010544,0.00000137,true,2,true,false,false,1,0.87623143,0.87623006,0.00000137,0.89136332,0.89136076,0.03605550,0.00010681
