role,dataset_index,initialization_index,stream_seed,step,method,sample_index,stratum,kmeans_iterations,within_sse
development,0,1,,0,development_response_oracle,29,1,6,2.942965935761e0
development,0,1,,0,development_response_oracle,30,7,6,2.942965935761e0
development,0,1,,0,development_response_oracle,31,5,6,2.942965935761e0
development,0,1,,0,development_response_oracle,32,5,6,2.942965935761e0
development,0,1,,0,development_response_oracle,33,2,6,2.942965935761e0
development,0,1,,0,development_response_oracle,34,7,6,2.942965935761e0
development,0,1,,0,development_response_oracle,35,11,6,2.942965935761e0
development,0,1,,0,development_response_oracle,36,10,6,2.942965935761e0
development,0,1,,0,development_response_oracle,37,5,6,2.942965935761e0
development,0,1,,0,development_response_oracle,38,3,6,2.942965935761e0
development,0,1,,0,development_response_oracle,39,6,6,2.942965935761e0
development,0,1,,0,development_response_oracle,40,11,6,2.942965935761e0
development,0,1,,0,development_response_oracle,41,6,6,2.942965935761e0
development,0,1,,0,development_response_oracle,42,1,6,2.942965935761e0
development,0,1,,0,development_response_oracle,43,1,6,2.942965935761e0
development,0,1,,0,development_response_oracle,44,4,6,2.942965935761e0
development,0,1,,0,development_response_oracle,45,0,6,2.942965935761e0
development,0,1,,0,development_response_oracle,46,1,6,2.942965935761e0
development,0,1,,0,development_response_oracle,47,4,6,2.942965935761e0
development,0,1,,0,development_response_oracle,48,0,6,2.942965935761e0
development,0,1,,0,development_response_oracle,49,9,6,2.942965935761e0
development,0,1,,0,development_response_oracle,50,4,6,2.942965935761e0
development,0,1,,0,development_response_oracle,51,9,6,2.942965935761e0
development,0,1,,0,development_response_oracle,52,3,6,2.942965935761e0
development,0,1,,0,development_response_oracle,53,8,6,2.942965935761e0
development,0,1,,0,development_response_oracle,54,1,6,2.942965935761e0
development,0,1,,0,development_response_oracle,55,3,6,2.942965935761e0
development,0,1,,0,development_response_oracle,56,10,6,2.942965935761e0
development,0,1,,0,development_response_oracle,57,0,6,2.942965935761e0
development,0,1,,0,development_response_oracle,58,4,6,2.942965935761e0
development,0,1,,0,development_response_oracle,59,6,6,2.942965935761e0
development,0,1,,0,development_response_oracle,60,5,6,2.942965935761e0
development,0,1,,0,development_response_oracle,61,3,6,2.942965935761e0
development,0,1,,0,development_response_oracle,62,7,6,2.942965935761e0
development,0,1,,0,development_response_oracle,63,0,6,2.942965935761e0
development,0,1,,0,development_response_oracle,64,7,6,2.942965935761e0
development,0,1,,0,development_response_oracle,65,7,6,2.942965935761e0
development,0,1,,0,development_response_oracle,66,3,6,2.942965935761e0
development,0,1,,0,development_response_oracle,67,7,6,2.942965935761e0
development,0,1,,0,development_response_oracle,68,5,6,2.942965935761e0
development,0,1,,0,development_response_oracle,69,8,6,2.942965935761e0
development,0,1,,0,development_response_oracle,70,10,6,2.942965935761e0
development,0,1,,0,development_response_oracle,71,4,6,2.942965935761e0
development,0,1,,0,development_response_oracle,72,3,6,2.942965935761e0
development,0,1,,0,development_response_oracle,73,6,6,2.942965935761e0
development,0,1,,0,development_response_oracle,74,9,6,2.942965935761e0
development,0,1,,0,development_response_oracle,75,9,6,2.942965935761e0
development,0,1,,0,development_response_oracle,76,5,6,2.942965935761e0
development,0,1,,0,development_response_oracle,77,10,6,2.942965935761e0
development,0,1,,0,development_response_oracle,78,9,6,2.942965935761e0
development,0,1,,0,development_response_oracle,79,11,6,2.942965935761e0
development,0,1,,0,development_response_oracle,80,2,6,2.942965935761e0
development,0,1,,0,development_response_oracle,81,11,6,2.942965935761e0
development,0,1,,0,development_response_oracle,82,8,6,2.942965935761e0
development,0,1,,0,development_response_oracle,83,0,6,2.942965935761e0
development,0,1,,0,development_response_oracle,84,9,6,2.942965935761e0
development,0,1,,0,development_response_oracle,85,8,6,2.942965935761e0
development,0,1,,0,development_response_oracle,86,1,6,2.942965935761e0
development,0,1,,0,development_response_oracle,87,1,6,2.942965935761e0
development,0,1,,0,development_response_oracle,88,10,6,2.942965935761e0
development,0,1,,0,development_response_oracle,89,1,6,2.942965935761e0
development,0,1,,0,development_response_oracle,90,6,6,2.942965935761e0
development,0,1,,0,development_response_oracle,91,10,6,2.942965935761e0
development,0,1,,0,development_response_oracle,92,2,6,2.942965935761e0
development,0,1,,0,development_response_oracle,93,7,6,2.942965935761e0
development,0,1,,0,development_response_oracle,94,4,6,2.942965935761e0
development,0,1,,0,development_response_oracle,95,6,6,2.942965935761e0
development,0,2,,0,development_response_oracle,0,9,2,1.932669621622e0
development,0,2,,0,development_response_oracle,1,8,2,1.932669621622e0
development,0,2,,0,development_response_oracle,2,3,2,1.932669621622e0
development,0,2,,0,development_response_oracle,3,8,2,1.932669621622e0
development,0,2,,0,development_response_oracle,4,5,2,1.932669621622e0
development,0,2,,0,development_response_oracle,5,5,2,1.932669621622e0
development,0,2,,0,development_response_oracle,6,11,2,1.932669621622e0
development,0,2,,0,development_response_oracle,7,4,2,1.932669621622e0
development,0,2,,0,development_response_oracle,8,9,2,1.932669621622e0
development,0,2,,0,development_response_oracle,9,0,2,1.932669621622e0
development,0,2,,0,development_response_oracle,10,2,2,1.932669621622e0
development,0,2,,0,development_response_oracle,11,11,2,1.932669621622e0
development,0,2,,0,development_response_oracle,12,5,2,1.932669621622e0
development,0,2,,0,development_response_oracle,13,6,2,1.932669621622e0
development,0,2,,0,development_response_oracle,14,10,2,1.932669621622e0
development,0,2,,0,development_response_oracle,15,0,2,1.932669621622e0
development,0,2,,0,development_response_oracle,16,7,2,1.932669621622e0
development,0,2,,0,development_response_oracle,17,11,2,1.932669621622e0
development,0,2,,0,development_response_oracle,18,7,2,1.932669621622e0
development,0,2,,0,development_response_oracle,19,10,2,1.932669621622e0
development,0,2,,0,development_response_oracle,20,10,2,1.932669621622e0
development,0,2,,0,development_response_oracle,21,5,2,1.932669621622e0
development,0,2,,0,development_response_oracle,22,7,2,1.932669621622e0
development,0,2,,0,development_response_oracle,23,2,2,1.932669621622e0
development,0,2,,0,development_response_oracle,24,7,2,1.932669621622e0
development,0,2,,0,development_response_oracle,25,0,2,1.932669621622e0
development,0,2,,0,development_response_oracle,26,9,2,1.932669621622e0
development,0,2,,0,development_response_oracle,27,2,2,1.932669621622e0
development,0,2,,0,development_response_oracle,28,6,2,1.932669621622e0
development,0,2,,0,development_response_oracle,29,1,2,1.932669621622e0
development,0,2,,0,development_response_oracle,30,3,2,1.932669621622e0
development,0,2,,0,development_response_oracle,31,5,2,1.932669621622e0
development,0,2,,0,development_response_oracle,32,10,2,1.932669621622e0
development,0,2,,0,development_response_oracle,33,8,2,1.932669621622e0
development,0,2,,0,development_response_oracle,34,2,2,1.932669621622e0
development,0,2,,0,development_response_oracle,35,7,2,1.932669621622e0
development,0,2,,0,development_response_oracle,36,10,2,1.932669621622e0
development,0,2,,0,development_response_oracle,37,7,2,1.932669621622e0
development,0,2,,0,development_response_oracle,38,8,2,1.932669621622e0
development,0,2,,0,development_response_oracle,39,4,2,1.932669621622e0
development,0,2,,0,development_response_oracle,40,10,2,1.932669621622e0
development,0,2,,0,development_response_oracle,41,11,2,1.932669621622e0
development,0,2,,0,development_response_oracle,42,6,2,1.932669621622e0
development,0,2,,0,development_response_oracle,43,9,2,1.932669621622e0
development,0,2,,0,development_response_oracle,44,2,2,1.932669621622e0
development,0,2,,0,development_response_oracle,45,11,2,1.932669621622e0
development,0,2,,0,development_response_oracle,46,9,2,1.932669621622e0
development,0,2,,0,development_response_oracle,47,2,2,1.932669621622e0
development,0,2,,0,development_response_oracle,48,6,2,1.932669621622e0
development,0,2,,0,development_response_oracle,49,6,2,1.932669621622e0
development,0,2,,0,development_response_oracle,50,1,2,1.932669621622e0
development,0,2,,0,development_response_oracle,51,8,2,1.932669621622e0
development,0,2,,0,development_response_oracle,52,8,2,1.932669621622e0
development,0,2,,0,development_response_oracle,53,3,2,1.932669621622e0
development,0,2,,0,development_response_oracle,54,6,2,1.932669621622e0
development,0,2,,0,development_response_oracle,55,11,2,1.932669621622e0
development,0,2,,0,development_response_oracle,56,0,2,1.932669621622e0
development,0,2,,0,development_response_oracle,57,1,2,1.932669621622e0
development,0,2,,0,development_response_oracle,58,3,2,1.932669621622e0
development,0,2,,0,development_response_oracle,59,4,2,1.932669621622e0
development,0,2,,0,development_response_oracle,60,4,2,1.932669621622e0
development,0,2,,0,development_response_oracle,61,0,2,1.932669621622e0
development,0,2,,0,development_response_oracle,62,1,2,1.932669621622e0
development,0,2,,0,development_response_oracle,63,0,2,1.932669621622e0
development,0,2,,0,development_response_oracle,64,1,2,1.932669621622e0
development,0,2,,0,development_response_oracle,65,3,2,1.932669621622e0
development,0,2,,0,development_response_oracle,66,10,2,1.932669621622e0
development,0,2,,0,development_response_oracle,67,1,2,1.932669621622e0
development,0,2,,0,development_response_oracle,68,7,2,1.932669621622e0
development,0,2,,0,development_response_oracle,69,1,2,1.932669621622e0
development,0,2,,0,development_response_oracle,70,0,2,1.932669621622e0
development,0,2,,0,development_response_oracle,71,9,2,1.932669621622e0
development,0,2,,0,development_response_oracle,72,3,2,1.932669621622e0
development,0,2,,0,development_response_oracle,73,11,2,1.932669621622e0
development,0,2,,0,development_response_oracle,74,8,2,1.932669621622e0
development,0,2,,0,development_response_oracle,75,8,2,1.932669621622e0
development,0,2,,0,development_response_oracle,76,4,2,1.932669621622e0
development,0,2,,0,development_response_oracle,77,0,2,1.932669621622e0
development,0,2,,0,development_response_oracle,78,4,2,1.932669621622e0
development,0,2,,0,development_response_oracle,79,10,2,1.932669621622e0
development,0,2,,0,development_response_oracle,80,5,2,1.932669621622e0
development,0,2,,0,development_response_oracle,81,5,2,1.932669621622e0
development,0,2,,0,development_response_oracle,82,9,2,1.932669621622e0
development,0,2,,0,development_response_oracle,83,9,2,1.932669621622e0
development,0,2,,0,development_response_oracle,84,11,2,1.932669621622e0
development,0,2,,0,development_response_oracle,85,2,2,1.932669621622e0
development,0,2,,0,development_response_oracle,86,1,2,1.932669621622e0
development,0,2,,0,development_response_oracle,87,6,2,1.932669621622e0
development,0,2,,0,development_response_oracle,88,7,2,1.932669621622e0
development,0,2,,0,development_response_oracle,89,6,2,1.932669621622e0
development,0,2,,0,development_response_oracle,90,4,2,1.932669621622e0
development,0,2,,0,development_response_oracle,91,2,2,1.932669621622e0
development,0,2,,0,development_response_oracle,92,5,2,1.932669621622e0
development,0,2,,0,development_response_oracle,93,3,2,1.932669621622e0
development,0,2,,0,development_response_oracle,94,3,2,1.932669621622e0
development,0,2,,0,development_response_oracle,95,4,2,1.932669621622e0
development,1,0,,0,development_response_oracle,0,5,6,2.371301577738e0
development,1,0,,0,development_response_oracle,1,3,6,2.371301577738e0
development,1,0,,0,development_response_oracle,2,0,6,2.371301577738e0
development,1,0,,0,development_response_oracle,3,4,6,2.371301577738e0
development,1,0,,0,development_response_oracle,4,1,6,2.371301577738e0
development,1,0,,0,development_response_oracle,5,5,6,2.371301577738e0
development,1,0,,0,development_response_oracle,6,7,6,2.371301577738e0
development,1,0,,0,development_response_oracle,7,9,6,2.371301577738e0
development,1,0,,0,development_response_oracle,8,9,6,2.371301577738e0
development,1,0,,0,development_response_oracle,9,3,6,2.371301577738e0
development,1,0,,0,development_response_oracle,10,7,6,2.371301577738e0
development,1,0,,0,development_response_oracle,11,10,6,2.371301577738e0
development,1,0,,0,development_response_oracle,12,2,6,2.371301577738e0
development,1,0,,0,development_response_oracle,13,4,6,2.371301577738e0
development,1,0,,0,development_response_oracle,14,9,6,2.371301577738e0
development,1,0,,0,development_response_oracle,15,3,6,2.371301577738e0
development,1,0,,0,development_response_oracle,16,4,6,2.371301577738e0
development,1,0,,0,development_response_oracle,17,2,6,2.371301577738e0
development,1,0,,0,development_response_oracle,18,11,6,2.371301577738e0
development,1,0,,0,development_response_oracle,19,10,6,2.371301577738e0
development,1,0,,0,development_response_oracle,20,1,6,2.371301577738e0
development,1,0,,0,development_response_oracle,21,1,6,2.371301577738e0
development,1,0,,0,development_response_oracle,22,9,6,2.371301577738e0
development,1,0,,0,development_response_oracle,23,2,6,2.371301577738e0
development,1,0,,0,development_response_oracle,24,3,6,2.371301577738e0
development,1,0,,0,development_response_oracle,25,5,6,2.371301577738e0
development,1,0,,0,development_response_oracle,26,10,6,2.371301577738e0
development,1,0,,0,development_response_oracle,27,0,6,2.371301577738e0
development,1,0,,0,development_response_oracle,28,3,6,2.371301577738e0
development,1,0,,0,development_response_oracle,29,8,6,2.371301577738e0
development,1,0,,0,development_response_oracle,30,10,6,2.371301577738e0
development,1,0,,0,development_response_oracle,31,3,6,2.371301577738e0
development,1,0,,0,development_response_oracle,32,10,6,2.371301577738e0
development,1,0,,0,development_response_oracle,33,2,6,2.371301577738e0
development,1,0,,0,development_response_oracle,34,5,6,2.371301577738e0
development,1,0,,0,development_response_oracle,35,5,6,2.371301577738e0
development,1,0,,0,development_response_oracle,36,9,6,2.371301577738e0
development,1,0,,0,development_response_oracle,37,8,6,2.371301577738e0
development,1,0,,0,development_response_oracle,38,6,6,2.371301577738e0
development,1,0,,0,development_response_oracle,39,11,6,2.371301577738e0
development,1,0,,0,development_response_oracle,40,7,6,2.371301577738e0
development,1,0,,0,development_response_oracle,41,11,6,2.371301577738e0
development,1,0,,0,development_response_oracle,42,0,6,2.371301577738e0
development,1,0,,0,development_response_oracle,43,1,6,2.371301577738e0
development,1,0,,0,development_response_oracle,44,3,6,2.371301577738e0
development,1,0,,0,development_response_oracle,45,9,6,2.371301577738e0
development,1,0,,0,development_response_oracle,46,4,6,2.371301577738e0
development,1,0,,0,development_response_oracle,47,4,6,2.371301577738e0
development,1,0,,0,development_response_oracle,48,2,6,2.371301577738e0
development,1,0,,0,development_response_oracle,49,8,6,2.371301577738e0
development,1,0,,0,development_response_oracle,50,7,6,2.371301577738e0
development,1,0,,0,development_response_oracle,51,6,6,2.371301577738e0
development,1,0,,0,development_response_oracle,52,4,6,2.371301577738e0
development,1,0,,0,development_response_oracle,53,11,6,2.371301577738e0
development,1,0,,0,development_response_oracle,54,2,6,2.371301577738e0
development,1,0,,0,development_response_oracle,55,5,6,2.371301577738e0
development,1,0,,0,development_response_oracle,56,1,6,2.371301577738e0
development,1,0,,0,development_response_oracle,57,6,6,2.371301577738e0
development,1,0,,0,development_response_oracle,58,2,6,2.371301577738e0
development,1,0,,0,development_response_oracle,59,6,6,2.371301577738e0
development,1,0,,0,development_response_oracle,60,10,6,2.371301577738e0
development,1,0,,0,development_response_oracle,61,3,6,2.371301577738e0
development,1,0,,0,development_response_oracle,62,7,6,2.371301577738e0
development,1,0,,0,development_response_oracle,63,0,6,2.371301577738e0
development,1,0,,0,development_response_oracle,64,1,6,2.371301577738e0
development,1,0,,0,development_response_oracle,65,8,6,2.371301577738e0
development,1,0,,0,development_response_oracle,66,6,6,2.371301577738e0
development,1,0,,0,development_response_oracle,67,6,6,2.371301577738e0
development,1,0,,0,development_response_oracle,68,11,6,2.371301577738e0
development,1,0,,0,development_response_oracle,69,8,6,2.371301577738e0
development,1,0,,0,development_response_oracle,70,7,6,2.371301577738e0
development,1,0,,0,development_response_oracle,71,9,6,2.371301577738e0
development,1,0,,0,development_response_oracle,72,8,6,2.371301577738e0
development,1,0,,0,development_response_oracle,73,4,6,2.371301577738e0
development,1,0,,0,development_response_oracle,74,10,6,2.371301577738e0
development,1,0,,0,development_response_oracle,75,0,6,2.371301577738e0
development,1,0,,0,development_response_oracle,76,8,6,2.371301577738e0
development,1,0,,0,development_response_oracle,77,7,6,2.371301577738e0
development,1,0,,0,development_response_oracle,78,8,6,2.371301577738e0
development,1,0,,0,development_response_oracle,79,5,6,2.371301577738e0
development,1,0,,0,development_response_oracle,80,6,6,2.371301577738e0
development,1,0,,0,development_response_oracle,81,9,6,2.371301577738e0
development,1,0,,0,development_response_oracle,82,0,6,2.371301577738e0
development,1,0,,0,development_response_oracle,83,1,6,2.371301577738e0
development,1,0,,0,development_response_oracle,84,11,6,2.371301577738e0
development,1,0,,0,development_response_oracle,85,11,6,2.371301577738e0
development,1,0,,0,development_response_oracle,86,7,6,2.371301577738e0
development,1,0,,0,development_response_oracle,87,4,6,2.371301577738e0
development,1,0,,0,development_response_oracle,88,0,6,2.371301577738e0
development,1,0,,0,development_response_oracle,89,2,6,2.371301577738e0
development,1,0,,0,development_response_oracle,90,11,6,2.371301577738e0
development,1,0,,0,development_response_oracle,91,0,6,2.371301577738e0
development,1,0,,0,development_response_oracle,92,6,6,2.371301577738e0
development,1,0,,0,development_response_oracle,93,1,6,2.371301577738e0
development,1,0,,0,development_response_oracle,94,5,6,2.371301577738e0
development,1,0,,0,development_response_oracle,95,10,6,2.371301577738e0
development,1,1,,0,development_response_oracle,0,0,5,1.929376308999e0
development,1,1,,0,development_response_oracle,1,4,5,1.929376308999e0
development,1,1,,0,development_response_oracle,2,9,5,1.929376308999e0
development,1,1,,0,development_response_oracle,3,7,5,1.929376308999e0
development,1,1,,0,development_response_oracle,4,10,5,1.929376308999e0
development,1,1,,0,development_response_oracle,5,5,5,1.929376308999e0
development,1,1,,0,development_response_oracle,6,3,5,1.929376308999e0
development,1,1,,0,development_response_oracle,7,2,5,1.929376308999e0
development,1,1,,0,development_response_oracle,8,8,5,1.929376308999e0
development,1,1,,0,development_response_oracle,9,9,5,1.929376308999e0
development,1,1,,0,development_response_oracle,10,11,5,1.929376308999e0
development,1,1,,0,development_response_oracle,11,11,5,1.929376308999e0
development,1,1,,0,development_response_oracle,12,0,5,1.929376308999e0
development,1,1,,0,development_response_oracle,13,1,5,1.929376308999e0
development,1,1,,0,development_response_oracle,14,2,5,1.929376308999e0
development,1,1,,0,development_response_oracle,15,5,5,1.929376308999e0
development,1,1,,0,development_response_oracle,16,4,5,1.929376308999e0
development,1,1,,0,development_response_oracle,17,10,5,1.929376308999e0
development,1,1,,0,development_response_oracle,18,6,5,1.929376308999e0
development,1,1,,0,development_response_oracle,19,11,5,1.929376308999e0
development,1,1,,0,development_response_oracle,20,10,5,1.929376308999e0
development,1,1,,0,development_response_oracle,21,7,5,1.929376308999e0
development,1,1,,0,development_response_oracle,22,0,5,1.929376308999e0
development,1,1,,0,development_response_oracle,23,8,5,1.929376308999e0
development,1,1,,0,development_response_oracle,24,1,5,1.929376308999e0
development,1,1,,0,development_response_oracle,25,8,5,1.929376308999e0
development,1,1,,0,development_response_oracle,26,2,5,1.929376308999e0
development,1,1,,0,development_response_oracle,27,11,5,1.929376308999e0
development,1,1,,0,development_response_oracle,28,11,5,1.929376308999e0
development,1,1,,0,development_response_oracle,29,9,5,1.929376308999e0
development,1,1,,0,development_response_oracle,30,1,5,1.929376308999e0
development,1,1,,0,development_response_oracle,31,1,5,1.929376308999e0
development,1,1,,0,development_response_oracle,32,1,5,1.929376308999e0
development,1,1,,0,development_response_oracle,33,8,5,1.929376308999e0
development,1,1,,0,development_response_oracle,34,5,5,1.929376308999e0
development,1,1,,0,development_response_oracle,35,5,5,1.929376308999e0
development,1,1,,0,development_response_oracle,36,1,5,1.929376308999e0
development,1,1,,0,development_response_oracle,37,9,5,1.929376308999e0
development,1,1,,0,development_response_oracle,38,4,5,1.929376308999e0
development,1,1,,0,development_response_oracle,39,11,5,1.929376308999e0
development,1,1,,0,development_response_oracle,40,3,5,1.929376308999e0
development,1,1,,0,development_response_oracle,41,7,5,1.929376308999e0
development,1,1,,0,development_response_oracle,42,0,5,1.929376308999e0
development,1,1,,0,development_response_oracle,43,10,5,1.929376308999e0
development,1,1,,0,development_response_oracle,44,4,5,1.929376308999e0
development,1,1,,0,development_response_oracle,45,0,5,1.929376308999e0
development,1,1,,0,development_response_oracle,46,7,5,1.929376308999e0
development,1,1,,0,development_response_oracle,47,4,5,1.929376308999e0
development,1,1,,0,development_response_oracle,48,8,5,1.929376308999e0
development,1,1,,0,development_response_oracle,49,11,5,1.929376308999e0
